0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.084,-0.111,-0.14,0.091,0.031,0.031,-0.04,-0.04,0.465,0.256,0.256,0.392,0.392,0.124,0.01,0.01,-0.264,-0.264,0.123,0.123
-0.08,-0.095,-0.592,-0.697,-0.018,-0.018,-0.157,-0.157,0.196,0.032,0.032,0.174,0.174,0.224,-0.114,-0.114,0.036,0.036,0.139,0.139
0.197,0.242,0.195,-0.061,0.38,0.38,-0.117,-0.117,0.088,-0.37,-0.37,-0.141,-0.141,-0.04,0.055,0.055,-0.142,-0.142,0.135,0.135
0.162,0.034,0.143,-0.03,0.097,0.097,0.116,0.116,0.095,0.249,0.249,0.242,0.242,0.259,0.209,0.209,-0.316,-0.316,0.242,0.242
0.147,-0.485,0.018,-0.119,0.074,0.074,0.07,0.07,-0.086,0.007,0.007,0.006,0.006,-0.289,-0.015,-0.015,0.165,0.165,-0.259,-0.259
0.404,0.09,-0.128,-0.14,0.151,0.151,-0.131,-0.131,0.027,0.202,0.202,-0.096,-0.096,0.056,0.044,0.044,-0.191,-0.191,0.232,0.232
-0.048,-0.024,0.259,-0.069,0.013,0.013,-0.031,-0.031,0.081,-0.006,-0.006,0.196,0.196,0.212,0.072,0.072,-0.007,-0.007,-0.21,-0.21
-0.265,0.169,-0.185,-0.132,0.364,0.364,-0.145,-0.145,0.395,0.05,0.05,-0.003,-0.003,-0.153,-0.174,-0.174,0.233,0.233,-0.138,-0.138
-0.047,-0.299,-0.199,-0.18,-0.18,-0.18,0.123,0.123,-0.264,0.081,0.081,0.141,0.141,-0.437,-0.001,-0.001,-0.239,-0.239,0.4,0.4
0.084,0.216,-0.068,-0.079,0.292,0.292,-0.175,-0.175,0.117,0.242,0.242,0.205,0.205,-0.372,0.154,0.154,-0.077,-0.077,-0.115,-0.115
0.122,-0.26,-0.062,0.061,0.366,0.366,-0.16,-0.16,-0.223,-0.125,-0.125,-0.001,-0.001,0.504,0.27,0.27,-0.185,-0.185,-0.029,-0.029
-0.131,0.109,0.531,0.306,0.128,0.128,-0.356,-0.356,0.245,0.145,0.145,0.27,0.27,-0.113,-0.276,-0.276,-0.072,-0.072,0.37,0.37
-0.105,-0.2,0.016,0.103,-0.19,-0.19,-0.423,-0.423,0.307,-0.027,-0.027,0.163,0.163,0.148,0.374,0.374,-0.113,-0.113,-0.102,-0.102
-0.176,0.283,-0.075,0.058,-0.002,-0.002,0.267,0.267,-0.03,0.03,0.03,0.354,0.354,0.083,0.41,0.41,-0.351,-0.351,-0.065,-0.065
0.158,-0.247,-0.025,0.039,-0.059,-0.059,-0.182,-0.182,0.456,-0.254,-0.254,-0.198,-0.198,-0.186,0.265,0.265,-0.066,-0.066,-0.115,-0.115
-0.611,0.192,-0.002,-0.15,0.056,0.056,-0.202,-0.202,-0.057,-0.196,-0.196,-0.268,-0.268,0.063,0.193,0.193,-0.211,-0.211,-0.024,-0.024
-0.109,0.015,0.257,-0.512,-0.42,-0.42,0.261,0.261,-0.094,0.087,0.087,-0.044,-0.044,0.149,0.114,0.114,-0.137,-0.137,0.04,0.04
0.177,0.38,0.092,-0.067,0.046,0.046,0.072,0.072,0.193,-0.261,-0.261,-0.025,-0.025,-0.041,-0.018,-0.018,0.364,0.364,-0.317,-0.317
-0.259,-0.224,-0.069,0.063,0.147,0.147,0.036,0.036,0.071,-0.013,-0.013,-0.236,-0.236,0.113,-0.156,-0.156,-0.039,-0.039,0.22,0.22
0.27,0.131,-0.195,-0.005,-0.31,-0.31,-0.082,-0.082,-0.077,-0.27,-0.27,-0.207,-0.207,0.106,-0.112,-0.112,-0.137,-0.137,0.013,0.013
