0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.386,-0.386,0.0,0.234,-0.234,0.0,0.0,0.0,0.021,-0.021,0.0,0.0,0.01,-0.01,0.017,-0.017,0.009,-0.009
0.326,-0.326,0.0,0.0,0.145,-0.145,0.0,0.018,-0.018,0.0,0.0,0.0,0.009,-0.009,0.019,-0.019,0.007,-0.007
0.005,-0.005,0.135,-0.135,0.195,-0.195,0.0,0.0,0.0,0.007,-0.007,0.016,-0.016,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.216,-0.216,0.098,-0.098,0.0,0.019,-0.019,0.0,0.0,0.0,0.009,-0.009,0.0,0.0,0.017,-0.017
0.019,-0.019,0.175,-0.175,0.205,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.009,-0.009,0.017,-0.017,0.0,0.0
0.0,0.007,-0.007,0.0,0.057,-0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,-0.017,0.0,0.0,0.0
0.0,0.0,0.17,-0.17,0.19,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-0.007,0.016,-0.016,0.0,0.0
0.257,-0.257,0.0,0.0,0.115,-0.115,0.0,0.017,-0.017,0.0,0.0,0.0,0.009,-0.009,0.006,-0.006,0.018,-0.018
0.0,0.176,-0.176,0.138,-0.138,0.046,-0.046,0.0,0.0,0.0,0.0,0.009,-0.009,0.017,-0.017,0.008,-0.008,0.0
0.255,-0.255,0.0,0.0,0.08,-0.08,0.0,0.013,-0.013,0.0,0.0,0.0,0.007,-0.007,0.006,-0.006,0.019,-0.019
