0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.109,0.109,0.0,0.0,0.064,-0.064,0.0,0.018,-0.018,0.0,0.0,0.0,-0.255,0.255,-0.189,0.189,0.014,-0.014
0.079,-0.079,0.0,0.0,-0.023,0.023,0.0,0.097,-0.097,0.0,0.0,0.0,0.031,-0.031,-0.195,0.195,-0.004,0.004
0.052,-0.052,0.0,0.0,-0.094,0.094,0.0,-0.017,0.017,0.0,0.0,0.0,0.197,-0.197,0.127,-0.127,0.119,-0.119
0.255,-0.255,0.0,0.0,0.051,-0.051,0.0,0.162,-0.162,0.0,0.0,0.0,-0.012,0.012,-0.08,0.08,0.134,-0.134
-0.01,0.01,0.0,0.0,0.023,-0.023,0.0,0.055,-0.055,0.0,0.0,0.0,0.161,-0.161,-0.148,0.148,-0.103,0.103
0.146,-0.146,0.0,0.0,0.0,-0.0,0.0,-0.023,0.023,0.0,0.0,0.0,-0.09,0.09,0.07,-0.07,0.005,-0.005
-0.157,0.157,0.0,0.0,0.037,-0.037,0.0,0.0,-0.0,0.0,0.0,0.0,0.27,-0.27,0.035,-0.035,-0.131,0.131
0.152,-0.152,0.0,0.0,0.105,-0.105,0.0,-0.216,0.216,0.0,0.0,0.0,0.0,-0.0,-0.136,0.136,-0.11,0.11
-0.007,0.007,0.0,0.0,-0.158,0.158,0.0,-0.158,0.158,0.0,0.0,0.0,0.089,-0.089,-0.181,0.181,-0.043,0.043
0.0,-0.0,0.0,0.0,0.037,-0.037,0.0,0.106,-0.106,0.0,0.0,0.0,-0.104,0.104,0.144,-0.144,0.0,-0.0
-0.247,0.247,0.0,0.0,-0.113,0.113,0.0,-0.083,0.083,0.0,0.0,0.0,-0.159,0.159,0.078,-0.078,0.071,-0.071
-0.018,0.018,0.0,0.0,-0.197,0.197,0.0,-0.001,0.001,0.0,0.0,0.0,-0.015,0.015,0.0,-0.0,-0.261,0.261
-0.029,0.029,0.0,0.0,-0.027,0.027,0.0,0.051,-0.051,0.0,0.0,0.0,-0.243,0.243,0.151,-0.151,-0.094,0.094
0.085,-0.085,0.0,0.0,-0.064,0.064,0.0,0.028,-0.028,0.0,0.0,0.0,0.167,-0.167,0.02,-0.02,-0.043,0.043
-0.024,0.024,0.0,0.0,-0.024,0.024,0.0,0.088,-0.088,0.0,0.0,0.0,-0.229,0.229,0.131,-0.131,-0.236,0.236
0.249,-0.249,0.0,0.0,0.074,-0.074,0.0,-0.038,0.038,0.0,0.0,0.0,0.029,-0.029,0.225,-0.225,-0.088,0.088
-0.072,0.072,0.0,0.0,-0.121,0.121,0.0,-0.112,0.112,0.0,0.0,0.0,-0.174,0.174,-0.166,0.166,0.128,-0.128
-0.221,0.221,0.0,0.0,-0.061,0.061,0.0,-0.035,0.035,0.0,0.0,0.0,0.185,-0.185,-0.018,0.018,-0.146,0.146
