0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.746,0.746,0.822,0.737,0.737,0.575,0.54,0.352,0.195,0.195,-0.011,0.015,0.025,0.025,0.086,0.086,0.115,0.115
0.717,0.717,0.84,0.737,0.666,0.666,0.566,0.25,0.25,0.202,-0.006,0.006,0.026,0.026,0.088,0.088,0.114,0.114
0.79,0.79,0.724,0.724,0.596,0.596,0.502,-0.01,0.013,0.021,0.021,0.079,0.079,0.095,0.111,0.18,0.238,0.229
0.848,0.787,0.606,0.606,0.679,0.679,0.573,0.244,0.244,0.199,-0.008,0.007,0.025,0.025,0.116,0.11,0.088,0.088
0.818,0.818,0.741,0.741,0.654,0.654,0.548,0.274,0.246,0.188,-0.009,0.009,0.026,0.026,0.086,0.086,0.119,0.106
0.908,0.816,0.816,0.724,0.652,0.652,0.536,0.367,0.281,0.242,-0.011,0.007,0.122,0.101,0.101,0.104,0.042,0.048
0.844,0.802,0.708,0.708,0.631,0.631,0.506,0.267,0.229,0.174,-0.011,0.014,0.023,0.023,0.081,0.081,0.114,0.098
0.645,0.645,0.833,0.775,0.69,0.69,0.572,0.245,0.245,0.201,-0.009,0.005,0.025,0.025,0.115,0.115,0.088,0.088
0.848,0.753,0.753,0.665,0.665,0.641,0.641,0.352,0.245,-0.011,0.013,0.033,0.033,0.093,0.093,0.11,0.11,0.159
0.645,0.645,0.845,0.766,0.693,0.693,0.574,0.259,0.259,0.193,-0.01,0.006,0.026,0.026,0.114,0.114,0.09,0.09
