0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.039,0.039,0.403,0.403,-0.19,-0.19,0.159,-0.041,-0.467,-0.431,-0.431,-0.298,-0.298,0.061,0.312,-0.116,0.016,0.008
-0.142,-0.142,-0.331,-0.331,-0.191,-0.191,-0.278,0.317,-0.153,0.14,0.14,-0.111,-0.111,0.231,0.347,-0.451,0.336,0.32
0.049,0.049,-0.296,-0.296,-0.082,-0.082,0.099,0.187,0.167,0.133,0.133,0.061,0.061,0.037,-0.228,-0.041,-0.051,-0.035
0.237,0.237,-0.035,-0.035,0.218,0.218,-0.186,-0.085,-0.291,-0.138,-0.138,-0.009,-0.009,0.29,0.17,0.062,0.205,0.107
-0.318,-0.318,0.124,0.124,0.232,0.232,0.309,0.309,0.242,0.103,0.103,0.01,0.01,0.213,0.269,-0.112,-0.083,-0.134
0.091,0.091,-0.394,-0.394,-0.115,-0.115,-0.019,0.267,-0.233,0.028,0.028,0.027,0.027,-0.099,-0.139,0.267,-0.275,-0.303
0.019,0.019,0.285,0.285,-0.248,-0.248,-0.12,0.203,0.271,0.252,0.252,0.265,0.265,-0.191,0.048,0.61,0.534,0.558
-0.027,-0.027,-0.151,-0.151,0.072,0.072,-0.128,-0.203,0.158,-0.21,-0.21,-0.058,-0.058,-0.318,0.248,0.118,0.048,0.204
0.423,0.423,-0.096,-0.096,0.054,0.054,0.033,-0.131,0.081,0.106,0.106,0.182,0.182,0.186,0.298,-0.217,-0.259,-0.174
-0.154,-0.154,-0.019,-0.019,-0.278,-0.278,-0.432,-0.15,-0.107,-0.188,-0.188,0.503,0.503,-0.038,-0.259,-0.226,-0.06,-0.13
-0.117,-0.117,-0.088,-0.088,-0.055,-0.055,-0.041,0.142,-0.548,-0.172,-0.172,0.12,0.12,-0.173,-0.117,0.222,0.082,0.139
0.106,0.106,-0.304,-0.304,0.107,0.107,0.21,-0.1,-0.001,-0.153,-0.153,-0.054,-0.054,-0.39,0.042,0.079,0.282,0.299
0.154,0.154,0.015,0.015,-0.056,-0.056,-0.257,0.516,0.17,-0.05,-0.05,-0.289,-0.289,-0.274,-0.283,0.163,0.166,0.137
-0.635,-0.635,-0.122,-0.122,-0.22,-0.22,-0.277,-0.337,0.117,0.135,0.135,-0.322,-0.322,-0.192,-0.006,0.239,0.14,0.121
-0.094,-0.094,-0.185,-0.185,-0.115,-0.115,0.048,-0.155,-0.19,-0.307,-0.307,0.135,0.135,0.412,-0.172,0.215,0.296,0.252
-0.183,-0.183,0.206,0.206,0.243,0.243,0.03,0.311,-0.156,0.068,0.068,0.218,0.218,0.143,-0.415,-0.156,-0.283,-0.276
-0.313,-0.313,-0.035,-0.035,-0.149,-0.149,-0.154,0.19,0.047,-0.138,-0.138,0.192,0.192,0.13,0.295,-0.014,-0.163,-0.1
-0.014,-0.014,-0.072,-0.072,-0.397,-0.397,-0.569,0.033,0.106,0.055,0.055,-0.215,-0.215,0.356,0.067,0.027,-0.273,-0.288
