0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.898,0.814,0.769,0.769,0.666,0.666,0.631,0.502,0.35,0.286,0.202,0.147,0.147,-0.021,0.102,0.089,0.001,0.008,0.008,0.013,0.074,0.056,0.056,0.045,0.033
0.898,0.829,0.77,0.77,0.664,0.664,0.631,0.504,0.353,0.284,0.202,0.147,0.147,-0.021,0.001,0.008,0.008,0.014,0.102,0.089,0.033,0.044,0.057,0.057,0.074
0.898,0.826,0.769,0.769,0.645,0.645,0.634,0.518,0.345,0.285,0.204,0.146,0.146,-0.021,0.103,0.09,0.002,0.008,0.008,0.013,0.056,0.056,0.033,0.043,0.074
0.929,0.823,0.823,0.748,0.748,0.604,0.604,0.474,0.474,0.286,0.222,0.15,0.15,-0.018,-0.004,0.012,0.012,0.011,0.037,0.037,0.099,0.092,0.056,0.073,0.073
0.902,0.774,0.774,0.657,0.657,0.678,0.678,0.521,0.331,0.293,0.208,0.146,0.146,-0.02,0.106,0.001,0.009,0.009,0.012,0.092,0.033,0.044,0.056,0.056,0.074
0.897,0.657,0.657,0.797,0.737,0.737,0.637,0.504,0.345,0.289,0.201,0.146,0.146,-0.021,0.103,0.089,-0.0,0.009,0.009,0.013,0.075,0.056,0.056,0.045,0.033
0.896,0.722,0.722,0.757,0.757,0.753,0.63,0.499,0.345,0.294,0.201,0.148,0.148,-0.021,-0.001,0.01,0.01,0.014,0.101,0.089,0.033,0.047,0.058,0.058,0.075
0.903,0.777,0.777,0.713,0.713,0.668,0.668,0.538,0.307,0.307,0.202,0.146,0.146,-0.02,0.106,0.094,0.009,0.009,0.006,0.011,0.074,0.058,0.058,0.04,0.033
0.875,0.831,0.763,0.763,0.609,0.609,0.609,0.398,0.365,0.272,0.188,0.146,0.146,-0.024,0.086,0.086,0.074,0.056,0.056,-0.003,0.008,0.008,0.016,0.046,0.03
0.88,0.88,0.766,0.766,0.637,0.637,0.615,0.486,0.35,0.281,0.196,0.146,0.146,-0.022,0.002,0.007,0.007,0.015,0.032,0.043,0.057,0.057,0.097,0.088,0.074
