0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.158,0.103,0.103,0.206,0.206,0.259,0.065,-0.174,-0.004,-0.034,-0.285,0.085,0.085,-0.26,-0.158,-0.125,-0.125,-0.337,0.07,-0.164,-0.067,-0.228,0.191,0.191,-0.014
-0.11,-0.307,-0.307,-0.076,-0.076,-0.291,-0.08,0.371,0.342,0.281,0.184,-0.109,-0.109,-0.171,-0.387,-0.139,-0.139,-0.234,-0.05,-0.111,-0.207,-0.031,-0.051,-0.051,0.055
0.235,0.118,0.118,-0.044,-0.044,0.017,0.064,-0.061,0.144,0.14,0.004,-0.061,-0.061,0.168,0.002,0.019,0.019,0.039,0.362,-0.495,0.194,0.168,0.061,0.061,0.021
0.194,-0.115,-0.115,-0.077,-0.077,-0.436,0.034,0.19,0.077,0.052,-0.227,0.204,0.204,0.174,0.262,-0.092,-0.092,-0.152,0.117,-0.026,0.124,-0.14,-0.09,-0.09,0.015
-0.219,0.041,0.041,0.203,0.203,0.167,-0.038,0.17,0.289,0.29,0.228,0.196,0.196,-0.148,-0.133,0.181,0.181,-0.037,0.245,-0.204,0.096,-0.041,-0.047,-0.047,0.015
0.001,0.019,0.019,-0.041,-0.041,-0.192,0.047,-0.093,0.247,0.036,0.139,-0.181,-0.181,0.075,0.311,0.087,0.087,0.165,-0.121,0.215,0.077,-0.277,0.036,0.036,-0.055
0.041,-0.12,-0.12,-0.011,-0.011,-0.009,0.098,0.002,0.245,0.281,0.001,0.054,0.054,-0.313,0.153,0.414,0.414,-0.259,-0.145,0.01,-0.013,-0.104,0.066,0.066,0.079
0.008,-0.17,-0.17,-0.01,-0.01,-0.32,0.484,0.157,0.131,0.273,0.092,-0.054,-0.054,-0.162,-0.04,0.006,0.006,-0.073,-0.218,-0.026,0.086,0.123,-0.223,-0.223,-0.248
0.211,0.144,0.144,-0.049,-0.049,-0.103,-0.138,0.01,-0.059,-0.064,-0.054,-0.28,-0.28,-0.24,-0.247,0.026,0.026,-0.285,-0.339,0.218,0.139,0.303,-0.19,-0.19,-0.199
-0.162,-0.385,-0.385,0.226,0.226,-0.123,0.271,0.096,0.091,0.049,-0.465,0.133,0.133,0.029,0.063,0.069,0.069,0.267,0.151,-0.179,0.047,-0.031,0.036,0.036,0.015
-0.308,-0.089,-0.089,-0.007,-0.007,-0.093,0.151,0.094,0.075,0.098,-0.043,-0.114,-0.114,0.276,0.106,-0.116,-0.116,-0.032,0.185,0.333,-0.224,-0.29,0.462,0.462,0.567
0.454,-0.065,-0.065,-0.058,-0.058,-0.16,0.04,0.04,0.013,0.063,-0.159,0.343,0.343,-0.141,-0.108,0.013,0.013,-0.021,0.069,0.097,0.066,-0.229,0.276,0.276,-0.028
