0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.418,-0.418,0.318,-0.318,0.104,-0.104,0.0,0.005,-0.005,0.082,-0.082,0.0,0.0,0.083,-0.083,0.163,-0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.042,-0.042,0.0,0.088,-0.088,0.0,0.0
0.531,-0.531,0.016,-0.016,0.0,0.0,0.0,0.0,0.196,-0.196,0.031,-0.031,0.234,-0.234,0.0,0.0,0.112,-0.112,0.191,-0.191,0.0,0.137,-0.137,0.0,0.0,0.0,0.038,-0.038,0.0,0.0
0.572,-0.572,0.418,-0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.048,-0.048,0.0,0.196,-0.196,0.123,-0.123,0.0,0.0,0.053,-0.053,0.0,0.075,-0.075,0.08,-0.08,0.0,0.0,0.0,0.0
0.621,-0.621,0.291,-0.291,0.335,-0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,-0.063,0.076,-0.076,0.026,-0.026,0.0,0.103,-0.103,0.0,0.0,0.036,-0.036,0.09,-0.09,0.0,0.0
0.302,-0.302,0.0,0.0,0.011,-0.011,0.014,-0.014,0.0,0.024,-0.024,0.0,0.0,0.043,-0.043,0.0,0.0,0.037,-0.037,0.145,-0.145,0.108,-0.108,0.021,-0.021,0.059,-0.059,0.0,0.0,0.0
0.438,-0.438,0.261,-0.261,0.0,0.0,0.0,0.0,0.012,-0.012,0.245,-0.245,0.0,0.0,0.0,0.106,-0.106,0.0,0.0,0.014,-0.014,0.054,-0.054,0.0,0.096,-0.096,0.007,-0.007,0.0,0.0
0.445,-0.445,0.0,0.0,0.0,0.0,0.026,-0.026,0.0,0.099,-0.099,0.058,-0.058,0.225,-0.225,0.108,-0.108,0.068,-0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.455,-0.455,0.0,0.113,-0.113,0.053,-0.053,0.0,0.0,0.047,-0.047,0.176,-0.176,0.251,-0.251,0.0,0.025,-0.025,0.133,-0.133,0.121,-0.121,0.0,0.12,-0.12,0.103,-0.103,0.0,0.0,0.0
0.744,-0.744,0.352,-0.352,0.0,0.0,0.0,0.0,0.01,-0.01,0.172,-0.172,0.0,0.0,0.061,-0.061,0.0,0.131,-0.131,0.006,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.607,-0.607,0.393,-0.393,0.0,0.0,0.105,-0.105,0.0,0.0,0.126,-0.126,0.202,-0.202,0.0,0.229,-0.229,0.0,0.0,0.039,-0.039,0.0,0.0,0.0,0.0,0.146,-0.146,0.041,-0.041,0.0
