0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-0.021,0.021,-0.014,0.014,0.022,-0.022,0.125,-0.125,0.082,-0.082,0.0,-0.027,0.027,0.0,0.0,0.044,-0.044,0.0,-0.064,0.064,0.179,-0.179,0.0,0.134,-0.134,0.0,0.0,0.0,0.137,-0.137
-0.105,0.105,-0.013,0.013,0.039,-0.039,0.011,-0.011,-0.075,0.075,0.0,0.007,-0.007,0.0,0.0,0.101,-0.101,0.0,0.157,-0.157,-0.088,0.088,0.0,0.073,-0.073,0.0,0.0,0.0,-0.317,0.317
0.0,-0.0,0.0,-0.0,0.184,-0.184,0.323,-0.323,0.242,-0.242,0.0,-0.094,0.094,0.0,0.0,-0.04,0.04,0.0,0.072,-0.072,-0.215,0.215,0.0,0.0,-0.0,0.0,0.0,0.0,-0.026,0.026
-0.179,0.179,0.076,-0.076,0.049,-0.049,0.119,-0.119,0.01,-0.01,0.0,0.082,-0.082,0.0,0.0,-0.05,0.05,0.0,-0.062,0.062,0.074,-0.074,0.0,-0.054,0.054,0.0,0.0,0.0,-0.074,0.074
-0.091,0.091,-0.026,0.026,0.192,-0.192,0.246,-0.246,0.138,-0.138,0.0,-0.119,0.119,0.0,0.0,0.015,-0.015,0.0,-0.109,0.109,0.216,-0.216,0.0,0.005,-0.005,0.0,0.0,0.0,0.118,-0.118
0.059,-0.059,-0.005,0.005,0.073,-0.073,-0.04,0.04,0.064,-0.064,0.0,-0.032,0.032,0.0,0.0,-0.041,0.041,0.0,0.107,-0.107,0.0,-0.0,0.0,0.074,-0.074,0.0,0.0,0.0,-0.035,0.035
0.172,-0.172,-0.001,0.001,-0.139,0.139,0.0,-0.0,0.128,-0.128,0.0,0.053,-0.053,0.0,0.0,-0.029,0.029,0.0,-0.097,0.097,-0.028,0.028,0.0,-0.002,0.002,0.0,0.0,0.0,-0.026,0.026
-0.12,0.12,0.021,-0.021,0.046,-0.046,0.034,-0.034,-0.039,0.039,0.0,0.045,-0.045,0.0,0.0,0.058,-0.058,0.0,-0.072,0.072,0.055,-0.055,0.0,-0.086,0.086,0.0,0.0,0.0,0.08,-0.08
-0.038,0.038,0.006,-0.006,-0.135,0.135,0.072,-0.072,0.005,-0.005,0.0,0.062,-0.062,0.0,0.0,0.011,-0.011,0.0,-0.15,0.15,0.169,-0.169,0.0,0.123,-0.123,0.0,0.0,0.0,-0.015,0.015
-0.055,0.055,-0.056,0.056,-0.255,0.255,0.121,-0.121,0.223,-0.223,0.0,0.0,-0.0,0.0,0.0,-0.013,0.013,0.0,-0.071,0.071,0.139,-0.139,0.0,-0.237,0.237,0.0,0.0,0.0,-0.063,0.063
