0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.477,0.477,0.941,0.883,0.883,0.662,0.662,0.865,0.846,0.811,0.763,0.763,0.718,0.718,0.514,0.514,0.543,0.464,0.059,0.059,0.104,0.104,0.127,0.396,0.18,0.214,0.25,0.313,0.313,0.292
0.337,0.337,1.006,0.063,0.063,0.141,0.141,0.158,0.172,0.482,0.482,0.32,0.32,0.303,0.303,0.796,0.796,0.901,0.901,0.86,0.434,0.484,0.491,0.664,0.664,0.798,0.738,0.699,0.699,0.628
0.338,0.338,0.654,0.654,0.062,0.062,0.077,0.133,0.143,0.166,0.247,0.316,0.316,0.802,0.802,0.925,0.886,0.42,0.469,0.469,0.65,0.65,0.602,0.602,0.812,0.812,0.787,0.694,0.694,0.596
0.169,0.169,0.595,0.595,0.947,0.721,0.721,0.821,0.821,0.791,0.652,0.652,0.72,0.72,0.65,0.049,0.049,0.093,0.131,0.131,0.185,0.185,0.357,0.357,0.269,0.293,0.322,0.444,0.552,0.518
0.041,0.062,0.078,0.325,0.325,0.137,0.162,0.184,0.215,0.239,0.309,0.946,0.925,0.901,0.901,0.369,0.626,0.626,0.448,0.448,0.495,0.852,0.776,0.776,0.781,0.781,0.66,0.66,0.726,0.616
0.332,0.332,0.585,0.585,0.046,0.046,0.895,0.895,0.848,0.848,0.689,0.689,0.095,0.118,0.118,0.177,0.217,0.249,0.304,0.313,0.449,0.449,0.499,0.773,0.773,0.745,0.745,0.633,0.633,0.597
0.269,0.269,0.976,0.588,0.588,0.884,0.884,0.036,0.056,0.103,0.111,0.139,0.167,0.217,0.341,0.341,0.277,0.482,0.482,0.34,0.399,0.809,0.797,0.72,0.665,0.665,0.613,0.613,0.556,0.627
0.431,0.431,0.644,0.644,0.927,0.356,0.356,0.851,0.851,0.818,0.736,0.736,0.745,0.745,0.041,0.079,0.122,0.122,0.117,0.181,0.552,0.552,0.278,0.312,0.349,0.349,0.428,0.622,0.622,0.561
0.408,0.408,0.252,0.252,0.96,0.96,0.846,0.846,0.604,0.604,0.785,0.02,0.02,0.061,0.101,0.135,0.135,0.659,0.659,0.658,0.281,0.281,0.25,0.25,0.389,0.389,0.532,0.532,0.417,0.541
0.13,0.13,0.844,0.844,-0.044,-0.044,0.85,0.758,0.758,0.733,0.517,0.517,0.313,0.313,0.598,0.525,0.525,0.48,0.48,0.049,0.049,0.095,0.095,0.139,0.242,0.242,0.207,0.359,0.359,0.333
