0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.228,0.228,-0.057,-0.051,-0.051,0.199,0.199,0.05,0.05,0.042,0.042,0.004,0.122,0.122,0.171,0.174,0.272,0.272,-0.36,-0.36,0.114,0.114,-0.038,-0.192,0.001,-0.284,-0.23,-0.23,0.253,0.147
-0.119,-0.119,0.059,0.119,0.119,-0.1,-0.1,0.076,0.076,-0.15,-0.15,-0.181,0.06,0.06,0.022,-0.202,-0.076,-0.076,-0.084,-0.084,-0.291,-0.291,-0.163,-0.29,0.159,0.141,-0.028,-0.028,-0.063,-0.139
-0.112,-0.112,-0.105,-0.155,-0.155,0.099,0.099,0.066,0.066,-0.252,-0.252,-0.243,-0.294,-0.294,-0.232,-0.253,-0.097,-0.097,0.086,0.086,-0.112,-0.112,-0.191,0.01,0.036,-0.233,-0.309,-0.309,0.263,0.274
-0.091,-0.091,-0.102,0.061,0.061,0.165,0.165,0.159,0.159,-0.076,-0.076,0.179,0.044,0.044,0.146,0.164,0.038,0.038,-0.032,-0.032,-0.073,-0.073,0.118,-0.004,0.202,-0.307,-0.007,-0.007,0.093,-0.02
-0.21,-0.21,-0.327,-0.031,-0.031,-0.002,-0.002,-0.404,-0.404,0.107,0.107,0.184,0.119,0.119,0.108,-0.043,-0.032,-0.032,0.088,0.088,0.025,0.025,0.161,-0.122,-0.069,-0.141,-0.075,-0.075,0.176,0.09
-0.189,-0.189,-0.063,-0.143,-0.143,0.08,0.08,-0.035,-0.035,-0.097,-0.097,-0.002,-0.112,-0.112,-0.192,0.107,-0.089,-0.089,0.052,0.052,-0.106,-0.106,-0.126,0.077,-0.358,-0.102,-0.286,-0.286,0.141,-0.27
-0.005,-0.005,-0.06,-0.18,-0.18,-0.096,-0.096,-0.039,-0.039,-0.024,-0.024,0.358,-0.142,-0.142,-0.186,0.024,-0.035,-0.035,0.141,0.141,-0.241,-0.241,0.129,0.131,-0.089,0.045,-0.005,-0.005,-0.069,-0.075
-0.044,-0.044,-0.039,0.026,0.026,0.087,0.087,0.313,0.313,-0.357,-0.357,0.12,0.171,0.171,0.121,0.034,-0.133,-0.133,0.176,0.176,-0.012,-0.012,-0.007,-0.082,-0.196,-0.034,0.053,0.053,0.032,0.047
0.045,0.045,-0.471,0.202,0.202,-0.117,-0.117,-0.103,-0.103,0.005,0.005,-0.155,0.061,0.061,-0.069,-0.262,-0.166,-0.166,-0.134,-0.134,-0.057,-0.057,0.178,0.293,-0.023,-0.145,0.126,0.126,-0.084,0.007
0.082,0.082,-0.23,0.074,0.074,-0.017,-0.017,-0.045,-0.045,0.178,0.178,-0.067,-0.268,-0.268,-0.225,-0.068,-0.084,-0.084,0.002,0.002,-0.206,-0.206,-0.407,-0.061,0.009,-0.348,-0.064,-0.064,0.11,-0.177
