0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.699,-0.699,0.0,0.245,-0.245,0.343,-0.343,0.36,-0.36,0.0,0.027,-0.027,0.09,-0.09,0.0,0.104,-0.104,0.157,-0.157,0.0,0.0,0.0,0.045,-0.045,0.0,0.044,-0.044,0.0,0.0,0.0
0.564,-0.564,0.399,-0.399,0.0,0.081,-0.081,0.176,-0.176,0.0,0.177,-0.177,0.0,0.059,-0.059,0.0,0.0,0.0,0.0,0.014,-0.014,0.0,0.011,-0.011,0.069,-0.069,0.0,0.0,0.009,-0.009
0.633,-0.633,0.493,-0.493,0.0,0.0,0.0,0.283,-0.283,0.022,-0.022,0.0,0.099,-0.099,0.0,0.0,0.0,0.0,0.095,-0.095,0.0,0.032,-0.032,0.0,0.0,0.0,0.0,0.035,-0.035,0.0
0.0,0.0,0.233,-0.233,0.0,0.016,-0.016,0.0,0.004,-0.004,0.079,-0.079,0.064,-0.064,0.0,0.0,0.019,-0.019,0.043,-0.043,0.011,-0.011,0.078,-0.078,0.0,0.041,-0.041,0.0,0.0,0.0
0.0,0.0,0.018,-0.018,0.197,-0.197,0.292,-0.292,0.273,-0.273,0.0,0.0,0.108,-0.108,0.0,0.011,-0.011,0.112,-0.112,0.083,-0.083,0.0,0.0,0.084,-0.084,0.0,0.0,0.022,-0.022,0.0
0.597,-0.597,0.476,-0.476,0.0,0.054,-0.054,0.0,0.038,-0.038,0.182,-0.182,0.0,0.039,-0.039,0.0,0.0,0.144,-0.144,0.044,-0.044,0.0,0.028,-0.028,0.0,0.071,-0.071,0.075,-0.075,0.0
0.575,-0.575,0.0,0.0,0.0,0.173,-0.173,0.211,-0.211,0.179,-0.179,0.0,0.036,-0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.02,0.0,0.027,-0.027,0.0,0.0,0.0,0.0
0.598,-0.598,0.285,-0.285,0.0,0.315,-0.315,0.076,-0.076,0.0,0.0,0.138,-0.138,0.0,0.0,0.0,0.0,0.0,0.03,-0.03,0.017,-0.017,0.0,0.089,-0.089,0.0,0.022,-0.022,0.0,0.0
0.45,-0.45,0.0,0.076,-0.076,0.0,0.023,-0.023,0.09,-0.09,0.209,-0.209,0.059,-0.059,0.017,-0.017,0.0,0.0,0.0,0.115,-0.115,0.0,0.028,-0.028,0.028,-0.028,0.0,0.0,0.0,0.0
0.767,-0.767,0.0,0.337,-0.337,0.03,-0.03,0.025,-0.025,0.151,-0.151,0.0,0.0,0.0,0.107,-0.107,0.0,0.0,0.0,0.0,0.135,-0.135,0.022,-0.022,0.0,0.0,0.0,0.0,0.014,-0.014
