0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-0.163,0.163,-0.039,0.039,0.0,0.165,-0.165,-0.019,0.019,0.0,0.19,-0.19,0.0,-0.157,0.157,0.0,0.0,0.0,0.0,-0.035,0.035,0.0,-0.017,0.017,0.228,-0.228,0.0,0.0,-0.052,0.052
0.082,-0.082,-0.027,0.027,0.0,-0.017,0.017,0.233,-0.233,0.0,0.081,-0.081,0.0,0.078,-0.078,0.0,0.0,0.0,0.0,0.049,-0.049,0.0,-0.012,0.012,-0.0,0.0,0.0,0.0,0.005,-0.005
0.116,-0.116,-0.097,0.097,0.0,0.086,-0.086,-0.109,0.109,0.0,-0.101,0.101,0.0,-0.08,0.08,0.0,0.0,0.0,0.0,-0.11,0.11,0.0,-0.054,0.054,0.034,-0.034,0.0,0.0,0.003,-0.003
-0.069,0.069,-0.251,0.251,0.0,-0.063,0.063,-0.041,0.041,0.0,-0.076,0.076,0.0,-0.073,0.073,0.0,0.0,0.0,0.0,-0.012,0.012,0.0,-0.019,0.019,-0.117,0.117,0.0,0.0,0.076,-0.076
-0.175,0.175,-0.094,0.094,0.0,0.0,-0.0,-0.151,0.151,0.0,0.039,-0.039,0.0,0.087,-0.087,0.0,0.0,0.0,0.0,0.111,-0.111,0.0,-0.006,0.006,-0.16,0.16,0.0,0.0,-0.007,0.007
-0.046,0.046,0.211,-0.211,0.0,-0.035,0.035,0.026,-0.026,0.0,0.131,-0.131,0.0,-0.06,0.06,0.0,0.0,0.0,0.0,-0.025,0.025,0.0,0.008,-0.008,0.161,-0.161,0.0,0.0,-0.012,0.012
-0.054,0.054,0.0,-0.0,0.0,-0.007,0.007,0.0,-0.0,0.0,-0.011,0.011,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.065,0.065,0.0,-0.005,0.005,0.014,-0.014,0.0,0.0,-0.059,0.059
-0.204,0.204,-0.024,0.024,0.0,-0.149,0.149,0.14,-0.14,0.0,-0.048,0.048,0.0,-0.056,0.056,0.0,0.0,0.0,0.0,-0.053,0.053,0.0,-0.029,0.029,-0.017,0.017,0.0,0.0,0.007,-0.007
-0.088,0.088,0.055,-0.055,0.0,-0.087,0.087,-0.065,0.065,0.0,0.01,-0.01,0.0,0.084,-0.084,0.0,0.0,0.0,0.0,-0.002,0.002,0.0,-0.05,0.05,0.023,-0.023,0.0,0.0,-0.046,0.046
0.121,-0.121,-0.213,0.213,0.0,-0.001,0.001,-0.063,0.063,0.0,-0.106,0.106,0.0,-0.218,0.218,0.0,0.0,0.0,0.0,0.046,-0.046,0.0,0.031,-0.031,-0.093,0.093,0.0,0.0,0.061,-0.061
0.087,-0.087,0.022,-0.022,0.0,0.105,-0.105,-0.178,0.178,0.0,-0.1,0.1,0.0,0.014,-0.014,0.0,0.0,0.0,0.0,-0.091,0.091,0.0,-0.024,0.024,0.165,-0.165,0.0,0.0,-0.037,0.037
-0.14,0.14,-0.215,0.215,0.0,0.263,-0.263,-0.181,0.181,0.0,-0.284,0.284,0.0,-0.209,0.209,0.0,0.0,0.0,0.0,0.003,-0.003,0.0,-0.062,0.062,0.093,-0.093,0.0,0.0,0.02,-0.02
-0.044,0.044,-0.128,0.128,0.0,0.129,-0.129,0.071,-0.071,0.0,0.018,-0.018,0.0,0.079,-0.079,0.0,0.0,0.0,0.0,0.071,-0.071,0.0,-0.009,0.009,0.107,-0.107,0.0,0.0,-0.017,0.017
0.033,-0.033,0.098,-0.098,0.0,-0.104,0.104,0.23,-0.23,0.0,0.222,-0.222,0.0,0.118,-0.118,0.0,0.0,0.0,0.0,-0.016,0.016,0.0,0.005,-0.005,-0.051,0.051,0.0,0.0,-0.046,0.046
-0.064,0.064,0.012,-0.012,0.0,-0.147,0.147,0.085,-0.085,0.0,0.057,-0.057,0.0,0.027,-0.027,0.0,0.0,0.0,0.0,-0.079,0.079,0.0,-0.004,0.004,0.058,-0.058,0.0,0.0,-0.047,0.047
-0.068,0.068,0.031,-0.031,0.0,-0.223,0.223,0.166,-0.166,0.0,-0.012,0.012,0.0,0.166,-0.166,0.0,0.0,0.0,0.0,0.157,-0.157,0.0,0.0,-0.0,0.042,-0.042,0.0,0.0,-0.005,0.005
-0.303,0.303,-0.081,0.081,0.0,0.113,-0.113,0.008,-0.008,0.0,-0.124,0.124,0.0,0.067,-0.067,0.0,0.0,0.0,0.0,0.022,-0.022,0.0,0.028,-0.028,-0.081,0.081,0.0,0.0,0.027,-0.027
-0.087,0.087,-0.01,0.01,0.0,-0.019,0.019,-0.055,0.055,0.0,0.008,-0.008,0.0,0.013,-0.013,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.007,0.007,0.122,-0.122,0.0,0.0,0.026,-0.026
0.007,-0.007,0.008,-0.008,0.0,0.027,-0.027,-0.011,0.011,0.0,0.078,-0.078,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,-0.07,0.07,0.0,-0.026,0.026,-0.236,0.236,0.0,0.0,0.054,-0.054
