0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.03,0.03,-0.296,0.019,-0.095,0.038,0.038,-0.392,-0.392,-0.273,-0.273,0.151,0.092,0.092,-0.032,0.234,-0.075,-0.111,-0.178,-0.199,-0.234,0.031,0.031,-0.064,0.157,0.157,-0.342,0.238,-0.107,0.094
-0.041,-0.041,-0.01,0.03,-0.442,-0.111,-0.111,-0.056,-0.056,0.048,0.048,0.14,0.175,0.175,0.148,-0.055,0.085,-0.044,0.336,0.137,-0.058,0.262,0.262,-0.183,-0.075,-0.075,-0.023,0.156,-0.195,-0.17
-0.147,-0.147,0.137,-0.358,-0.26,-0.102,-0.102,0.018,0.018,-0.058,-0.058,-0.135,-0.099,-0.099,-0.202,-0.089,-0.159,-0.01,0.102,-0.022,-0.233,-0.03,-0.03,0.138,0.062,0.062,-0.009,-0.221,0.317,0.323
0.181,0.181,-0.046,0.016,-0.13,0.072,0.072,-0.182,-0.182,-0.049,-0.049,-0.239,-0.117,-0.117,0.107,-0.102,0.03,0.311,-0.21,-0.095,0.112,-0.133,-0.133,-0.21,0.1,0.1,0.002,0.05,0.021,0.094
0.003,0.003,0.256,-0.363,0.191,-0.132,-0.132,0.102,0.102,0.182,0.182,-0.226,-0.333,-0.333,0.292,0.23,0.038,-0.028,-0.085,0.036,0.001,0.122,0.122,-0.117,0.133,0.133,-0.159,0.031,-0.063,-0.095
0.036,0.036,0.121,-0.074,-0.172,0.072,0.072,0.006,0.006,-0.001,-0.001,-0.369,0.131,0.131,-0.336,0.031,0.004,-0.15,-0.091,0.001,-0.128,0.063,0.063,0.214,-0.231,-0.231,0.15,0.295,-0.366,-0.392
0.143,0.143,0.031,-0.081,0.047,-0.225,-0.225,0.335,0.335,0.433,0.433,-0.232,0.162,0.162,-0.206,0.057,0.046,-0.152,0.504,0.083,0.185,-0.226,-0.226,-0.204,0.096,0.096,-0.011,-0.038,-0.042,-0.118
0.154,0.154,0.151,-0.286,0.125,-0.0,-0.0,0.019,0.019,0.143,0.143,0.397,0.209,0.209,0.119,-0.244,0.181,-0.034,0.214,-0.118,-0.304,0.085,0.085,0.132,-0.117,-0.117,0.109,0.043,-0.075,-0.137
0.079,0.079,0.138,-0.187,0.088,0.122,0.122,0.079,0.079,-0.028,-0.028,-0.274,-0.027,-0.027,-0.192,-0.046,-0.121,-0.072,-0.179,0.153,0.042,0.06,0.06,-0.399,-0.122,-0.122,0.25,-0.17,0.124,0.042
-0.032,-0.032,0.012,-0.028,-0.029,-0.194,-0.194,0.134,0.134,0.239,0.239,0.037,0.364,0.364,-0.135,-0.152,0.23,0.125,-0.036,-0.121,-0.164,0.17,0.17,0.282,-0.22,-0.22,0.246,-0.196,0.17,0.186
0.197,0.197,-0.192,0.007,0.146,-0.138,-0.138,0.162,0.162,0.146,0.146,-0.006,-0.119,-0.119,-0.215,-0.016,-0.208,0.074,-0.212,0.221,-0.042,-0.094,-0.094,-0.146,0.258,0.258,-0.343,0.36,-0.36,-0.308
-0.005,-0.005,0.023,0.035,-0.169,-0.139,-0.139,0.061,0.061,0.207,0.207,0.022,-0.196,-0.196,-0.404,-0.158,-0.434,-0.296,0.104,-0.162,-0.133,0.111,0.111,-0.187,0.061,0.061,0.001,0.215,-0.205,-0.174
-0.012,-0.012,0.038,0.012,0.112,-0.067,-0.067,-0.093,-0.093,0.026,0.026,0.085,-0.057,-0.057,0.194,-0.064,0.359,0.106,0.109,0.061,0.033,0.188,0.188,0.033,-0.05,-0.05,0.067,0.066,-0.102,-0.128
-0.037,-0.037,0.124,-0.07,-0.27,0.181,0.181,-0.01,-0.01,-0.033,-0.033,-0.074,0.124,0.124,0.249,0.157,0.461,-0.036,0.152,-0.095,-0.037,-0.144,-0.144,-0.183,0.057,0.057,-0.149,0.154,-0.186,-0.233
-0.065,-0.065,-0.133,0.121,0.156,0.189,0.189,-0.036,-0.036,-0.058,-0.058,-0.322,0.169,0.169,-0.255,-0.234,0.244,0.093,0.285,-0.001,-0.14,0.019,0.019,0.047,0.042,0.042,-0.103,-0.009,0.003,0.001
-0.241,-0.241,-0.264,-0.125,-0.074,0.285,0.285,-0.193,-0.193,-0.142,-0.142,-0.015,0.068,0.068,-0.114,0.067,-0.07,0.003,0.028,0.28,0.415,0.044,0.044,-0.085,-0.047,-0.047,0.113,0.074,-0.085,-0.13
0.122,0.122,0.105,-0.24,-0.267,-0.213,-0.213,-0.073,-0.073,0.043,0.043,0.073,0.081,0.081,-0.012,0.089,0.153,0.618,-0.188,0.089,0.173,-0.158,-0.158,-0.09,0.145,0.145,-0.114,-0.014,0.026,0.034
0.262,0.262,-0.057,0.213,0.124,-0.205,-0.205,0.125,0.125,0.075,0.075,0.19,0.161,0.161,0.162,0.153,0.088,-0.07,0.076,0.529,0.366,-0.039,-0.039,0.036,-0.099,-0.099,0.105,0.18,-0.171,-0.223
-0.064,-0.064,0.135,-0.234,-0.25,0.162,0.162,-0.051,-0.051,-0.129,-0.129,0.159,0.047,0.047,0.125,0.078,0.034,-0.196,-0.126,-0.088,0.053,-0.142,-0.142,-0.104,0.392,0.392,-0.259,0.025,-0.008,0.011
-0.064,-0.064,0.298,-0.099,0.306,0.065,0.065,-0.181,-0.181,-0.193,-0.193,0.08,0.197,0.197,-0.08,0.082,0.034,0.042,0.009,0.181,0.107,0.105,0.105,-0.111,0.191,0.191,-0.29,-0.024,0.122,0.246
0.078,0.078,0.066,-0.056,0.23,0.107,0.107,-0.095,-0.095,-0.187,-0.187,-0.026,0.213,0.213,-0.003,0.316,-0.152,-0.127,0.152,-0.15,-0.233,0.0,0.0,-0.11,0.16,0.16,-0.15,0.131,-0.082,0.005
-0.017,-0.017,-0.347,0.069,-0.174,0.098,0.098,0.058,0.058,0.05,0.05,-0.036,-0.099,-0.099,0.162,0.04,0.043,0.038,-0.139,0.235,0.016,0.023,0.023,0.174,-0.202,-0.202,0.221,-0.231,0.196,0.181
-0.127,-0.127,-0.432,0.411,0.125,-0.133,-0.133,-0.045,-0.045,-0.04,-0.04,-0.002,0.135,0.135,0.087,0.0,0.173,0.167,-0.101,-0.166,-0.204,-0.143,-0.143,-0.181,0.408,0.408,-0.283,0.236,-0.181,-0.156
-0.203,-0.203,-0.006,-0.228,0.063,-0.016,-0.016,-0.179,-0.179,-0.038,-0.038,-0.003,0.034,0.034,0.183,-0.081,-0.042,-0.135,-0.013,-0.14,0.001,0.068,0.068,0.287,0.064,0.064,-0.213,0.435,-0.399,-0.336
0.124,0.124,-0.399,-0.143,0.073,-0.099,-0.099,0.242,0.242,0.043,0.043,-0.181,0.051,0.051,-0.149,-0.153,0.059,-0.207,0.258,-0.127,0.133,-0.057,-0.057,-0.269,0.167,0.167,-0.12,-0.268,0.321,0.317
0.066,0.066,-0.027,-0.294,0.171,-0.115,-0.115,0.151,0.151,-0.016,-0.016,0.132,0.12,0.12,-0.13,-0.051,-0.021,0.097,-0.017,-0.383,-0.219,0.196,0.196,0.185,-0.11,-0.11,0.007,0.013,-0.022,-0.019
0.384,0.384,0.139,0.0,-0.201,0.105,0.105,0.077,0.077,-0.066,-0.066,-0.374,0.053,0.053,-0.1,-0.032,0.224,0.019,0.189,0.006,-0.125,0.199,0.199,0.177,0.138,0.138,-0.214,0.103,-0.044,0.066
-0.054,-0.054,-0.064,-0.237,0.145,0.027,0.027,0.071,0.071,-0.033,-0.033,0.006,-0.068,-0.068,0.175,0.208,0.151,0.345,-0.2,-0.259,-0.301,0.078,0.078,-0.143,-0.017,-0.017,0.111,0.187,-0.183,-0.12
-0.053,-0.053,0.077,-0.01,-0.026,-0.102,-0.102,0.022,0.022,0.0,0.0,0.156,0.157,0.157,-0.176,-0.629,0.226,0.105,-0.141,0.114,0.185,-0.049,-0.049,-0.293,0.259,0.259,-0.202,0.169,-0.123,-0.063
-0.048,-0.048,-0.067,-0.115,0.108,0.12,0.12,-0.161,-0.161,-0.1,-0.1,-0.002,-0.007,-0.007,-0.035,-0.225,0.032,-0.18,0.086,0.095,0.094,-0.376,-0.376,0.084,-0.181,-0.181,0.217,-0.065,0.012,-0.018
