0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.369,-0.369,0.0,0.0,0.039,-0.039,0.0,0.141,-0.141,0.201,-0.201,0.014,-0.014,0.088,-0.088,0.0,0.0,0.066,-0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,-0.004,0.0
0.653,-0.653,0.0,0.012,-0.012,0.0,0.025,-0.025,0.0,0.289,-0.289,0.0,0.061,-0.061,0.09,-0.09,0.198,-0.198,0.026,-0.026,0.0,0.021,-0.021,0.101,-0.101,0.0,0.0,0.0,0.024,-0.024
0.491,-0.491,0.414,-0.414,0.0,0.0,0.126,-0.126,0.151,-0.151,0.0,0.0,0.0,0.02,-0.02,0.169,-0.169,0.0,0.094,-0.094,0.0,0.0,0.0,0.0,0.019,-0.019,0.0,0.0,0.018,-0.018
0.406,-0.406,0.0,0.0,0.0,0.0,0.013,-0.013,0.0,0.018,-0.018,0.257,-0.257,0.0,0.184,-0.184,0.007,-0.007,0.08,-0.08,0.0,0.052,-0.052,0.0,0.056,-0.056,0.0,0.043,-0.043,0.0
0.636,-0.636,0.525,-0.525,0.0,0.12,-0.12,0.321,-0.321,0.0,0.0,0.15,-0.15,0.041,-0.041,0.0,0.0,0.077,-0.077,0.0,0.0,0.0,0.058,-0.058,0.014,-0.014,0.06,-0.06,0.0,0.0
0.483,-0.483,0.0,0.0,0.205,-0.205,0.235,-0.235,0.04,-0.04,0.0,0.0,0.128,-0.128,0.0,0.105,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.026,-0.026,0.0,0.0,0.01,-0.01,0.0
0.542,-0.542,0.219,-0.219,0.0,0.141,-0.141,0.056,-0.056,0.0,0.025,-0.025,0.0,0.0,0.02,-0.02,0.0,0.0,0.122,-0.122,0.0,0.0,0.133,-0.133,0.05,-0.05,0.054,-0.054,0.008,-0.008
0.501,-0.501,0.209,-0.209,0.0,0.239,-0.239,0.0,0.0,0.072,-0.072,0.092,-0.092,0.012,-0.012,0.0,0.069,-0.069,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.0,0.0,0.0,0.0
0.608,-0.608,0.406,-0.406,0.0,0.0,0.021,-0.021,0.166,-0.166,0.27,-0.27,0.035,-0.035,0.0,0.01,-0.01,0.179,-0.179,0.04,-0.04,0.06,-0.06,0.0,0.0,0.0,0.0,0.0,0.005,-0.005
0.689,-0.689,0.0,0.368,-0.368,0.0,0.255,-0.255,0.011,-0.011,0.0,0.027,-0.027,0.055,-0.055,0.019,-0.019,0.012,-0.012,0.0,0.0,0.0,0.11,-0.11,0.036,-0.036,0.0,0.047,-0.047,0.0
