0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.029,-0.029,-0.155,0.155,0.0,-0.111,0.111,-0.105,0.105,0.0,-0.039,0.039,0.0,0.0,0.016,-0.016,0.0,0.0,-0.095,0.095,0.0,0.0,-0.071,0.071,0.193,-0.193,0.0,-0.0,-0.03,0.03
-0.119,0.119,0.064,-0.064,0.0,0.088,-0.088,-0.159,0.159,0.0,0.073,-0.073,0.0,0.0,0.115,-0.115,0.0,0.0,0.053,-0.053,0.0,0.0,0.059,-0.059,-0.016,0.016,-0.031,0.031,0.003,-0.003
-0.2,0.2,-0.196,0.196,0.0,-0.065,0.065,-0.092,0.092,0.0,0.017,-0.017,0.0,0.0,-0.073,0.073,0.0,0.0,0.095,-0.095,0.0,0.0,0.0,-0.0,-0.116,0.116,0.102,-0.102,0.021,-0.021
0.029,-0.029,-0.156,0.156,0.0,-0.264,0.264,-0.045,0.045,0.0,-0.125,0.125,0.0,0.0,-0.182,0.182,0.0,0.0,0.201,-0.201,0.0,0.0,-0.256,0.256,0.204,-0.204,-0.0,0.0,0.031,-0.031
0.086,-0.086,0.013,-0.013,0.0,-0.033,0.033,0.026,-0.026,0.0,0.107,-0.107,0.0,0.0,-0.059,0.059,0.0,0.0,0.064,-0.064,0.0,0.0,-0.162,0.162,0.089,-0.089,-0.07,0.07,0.035,-0.035
0.0,-0.0,0.087,-0.087,0.0,0.147,-0.147,0.181,-0.181,0.0,0.111,-0.111,0.0,0.0,-0.091,0.091,0.0,0.0,-0.163,0.163,0.0,0.0,-0.04,0.04,0.129,-0.129,0.07,-0.07,-0.011,0.011
0.166,-0.166,0.218,-0.218,0.0,0.17,-0.17,0.042,-0.042,0.0,0.007,-0.007,0.0,0.0,-0.094,0.094,0.0,0.0,0.032,-0.032,0.0,0.0,-0.125,0.125,0.063,-0.063,-0.01,0.01,0.048,-0.048
0.089,-0.089,-0.008,0.008,0.0,0.029,-0.029,0.002,-0.002,0.0,0.03,-0.03,0.0,0.0,0.13,-0.13,0.0,0.0,-0.145,0.145,0.0,0.0,0.003,-0.003,-0.034,0.034,-0.09,0.09,0.009,-0.009
0.025,-0.025,-0.059,0.059,0.0,0.036,-0.036,0.103,-0.103,0.0,0.102,-0.102,0.0,0.0,-0.025,0.025,0.0,0.0,-0.056,0.056,0.0,0.0,-0.013,0.013,-0.052,0.052,-0.048,0.048,-0.033,0.033
-0.077,0.077,0.097,-0.097,0.0,-0.066,0.066,-0.132,0.132,0.0,0.005,-0.005,0.0,0.0,-0.095,0.095,0.0,0.0,0.014,-0.014,0.0,0.0,-0.178,0.178,0.177,-0.177,-0.172,0.172,-0.012,0.012
0.266,-0.266,-0.01,0.01,0.0,0.018,-0.018,0.124,-0.124,0.0,-0.032,0.032,0.0,0.0,0.095,-0.095,0.0,0.0,0.016,-0.016,0.0,0.0,0.007,-0.007,0.05,-0.05,-0.062,0.062,-0.073,0.073
0.046,-0.046,-0.001,0.001,0.0,0.058,-0.058,0.0,-0.0,0.0,0.152,-0.152,0.0,0.0,0.161,-0.161,0.0,0.0,0.001,-0.001,0.0,0.0,0.122,-0.122,-0.087,0.087,0.081,-0.081,0.037,-0.037
