0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.347,0.347,0.077,0.077,0.086,0.099,0.134,0.163,0.916,0.908,0.873,0.873,0.556,0.556,0.83,0.765,0.667,0.667,0.638,0.638,0.687,0.687,0.656,0.523,0.523,0.283,0.298,0.394,0.394,0.396
0.314,0.314,0.069,0.069,0.089,0.1,0.123,0.169,0.251,0.282,0.359,0.359,0.379,0.584,0.584,0.474,0.516,0.67,0.67,0.93,0.93,0.875,0.875,0.835,0.835,0.725,0.725,0.751,0.658,0.658
0.362,0.362,0.069,0.112,0.112,0.104,0.12,0.17,0.238,0.358,0.358,0.313,0.674,0.674,0.584,0.584,0.385,0.455,0.485,0.929,0.892,0.892,0.869,0.711,0.711,0.777,0.777,0.731,0.647,0.647
0.342,0.342,0.437,0.437,0.966,0.903,0.676,0.676,0.813,0.813,0.801,0.664,0.664,0.674,0.61,0.504,0.504,0.397,0.397,0.462,0.352,0.352,0.05,0.082,0.094,0.094,0.123,0.169,0.265,0.233
0.466,0.466,0.921,0.896,0.896,0.867,0.836,0.836,0.589,0.589,0.752,0.752,0.702,0.702,0.654,0.654,0.049,0.107,0.107,0.112,0.13,0.18,0.237,0.265,0.357,0.357,0.549,0.439,0.439,0.444
0.331,0.331,0.646,0.646,0.077,0.077,0.078,0.1,0.116,0.758,0.758,0.89,0.868,0.868,0.204,0.261,0.261,0.393,0.393,0.388,0.468,0.512,0.512,0.619,0.619,0.802,0.751,0.734,0.734,0.66
0.156,0.156,0.528,0.528,0.764,0.764,0.932,0.845,0.845,0.814,0.786,0.649,0.649,0.081,0.081,0.077,0.116,0.116,0.324,0.324,0.234,0.234,0.214,0.676,0.644,0.331,0.402,0.5,0.5,0.544
0.221,0.221,0.987,0.932,0.854,0.854,0.502,0.502,0.753,0.555,0.555,0.645,0.645,0.612,0.612,0.545,0.545,0.01,0.088,0.088,0.061,0.061,0.404,0.404,0.13,0.329,0.329,0.207,0.207,0.276
0.265,0.265,0.997,0.548,0.548,0.858,0.858,0.849,0.849,0.777,0.713,0.713,0.701,0.523,0.523,0.598,0.295,0.295,0.035,0.07,0.091,0.14,0.14,0.239,0.239,0.191,0.424,0.424,0.474,0.289
0.345,0.345,0.99,0.499,0.499,0.855,0.855,0.429,0.429,0.795,0.71,0.71,0.618,0.618,0.693,0.669,0.065,0.081,0.081,0.105,0.126,0.126,0.569,0.244,0.244,0.493,0.335,0.335,0.4,0.4
