0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.34,0.34,0.127,0.127,0.24,0.24,0.028,-0.197,-0.197,0.205,0.075,-0.035,-0.035,-0.215,-0.215,0.085,0.069,0.069,-0.018,-0.018,0.011,0.011,0.095,-0.224,0.237,-0.111,0.134,0.138,0.138,-0.193
0.005,0.005,-0.027,-0.027,-0.138,-0.138,-0.042,0.053,0.053,-0.021,0.027,-0.001,-0.001,-0.085,-0.085,-0.059,0.104,0.104,-0.093,-0.093,-0.084,-0.084,0.096,0.125,-0.032,-0.226,0.001,-0.095,-0.095,-0.383
-0.196,-0.196,-0.132,-0.132,0.004,0.004,0.245,0.004,0.004,0.445,0.584,-0.024,-0.024,-0.067,-0.067,0.127,0.043,0.043,-0.017,-0.017,0.055,0.055,-0.083,0.232,-0.222,-0.042,-0.008,0.02,0.02,0.026
0.237,0.237,-0.086,-0.086,0.061,0.061,0.058,0.08,0.08,-0.068,-0.021,0.06,0.06,0.253,0.253,-0.232,-0.216,-0.216,-0.203,-0.203,0.361,0.361,-0.463,-0.053,-0.054,-0.004,0.105,-0.116,-0.116,0.069
0.011,0.011,-0.129,-0.129,-0.131,-0.131,-0.063,-0.111,-0.111,-0.106,0.04,0.03,0.03,0.036,0.036,0.183,-0.113,-0.113,-0.025,-0.025,-0.045,-0.045,0.179,0.162,-0.112,-0.231,-0.053,-0.159,-0.159,0.199
0.239,0.239,-0.176,-0.176,-0.046,-0.046,-0.084,0.135,0.135,-0.065,0.15,-0.132,-0.132,-0.015,-0.015,0.348,0.193,0.193,0.22,0.22,-0.141,-0.141,0.237,-0.027,0.105,0.093,0.054,0.006,0.006,0.184
0.142,0.142,-0.265,-0.265,-0.058,-0.058,-0.161,0.134,0.134,0.121,0.266,-0.099,-0.099,-0.029,-0.029,-0.095,-0.115,-0.115,-0.003,-0.003,-0.03,-0.03,0.018,-0.018,0.146,0.046,0.344,-0.009,-0.009,-0.034
0.151,0.151,0.308,0.308,0.316,0.316,0.015,0.14,0.14,0.32,0.346,0.092,0.092,0.15,0.15,0.14,-0.23,-0.23,0.337,0.337,-0.063,-0.063,0.188,0.012,-0.122,0.052,-0.192,0.14,0.14,-0.054
0.029,0.029,0.005,0.005,-0.156,-0.156,-0.035,0.069,0.069,-0.122,0.061,0.041,0.041,0.235,0.235,-0.221,0.025,0.025,0.105,0.105,-0.079,-0.079,0.197,0.27,-0.19,-0.067,0.492,-0.053,-0.053,0.046
-0.078,-0.078,0.25,0.25,0.115,0.115,0.017,0.125,0.125,-0.056,-0.068,0.372,0.372,-0.169,-0.169,0.327,-0.25,-0.25,-0.162,-0.162,0.234,0.234,-0.373,0.382,-0.277,0.099,0.028,0.111,0.111,0.084
0.017,0.017,0.113,0.113,0.093,0.093,0.066,-0.009,-0.009,-0.24,-0.034,0.055,0.055,0.003,0.003,0.056,0.053,0.053,-0.277,-0.277,-0.141,-0.141,0.077,0.294,-0.367,-0.245,0.044,0.147,0.147,-0.264
-0.003,-0.003,-0.187,-0.187,0.017,0.017,0.172,-0.069,-0.069,-0.237,-0.173,0.006,0.006,-0.051,-0.051,0.163,-0.23,-0.23,0.095,0.095,0.08,0.08,-0.009,0.343,-0.184,0.049,0.049,0.074,0.074,0.039
0.016,0.016,0.148,0.148,-0.009,-0.009,-0.287,0.034,0.034,-0.005,-0.057,-0.094,-0.094,0.302,0.302,-0.203,-0.002,-0.002,-0.279,-0.279,0.089,0.089,-0.231,0.063,-0.018,-0.35,-0.156,0.019,0.019,-0.122
-0.026,-0.026,-0.002,-0.002,-0.101,-0.101,0.276,-0.112,-0.112,-0.05,-0.29,-0.187,-0.187,0.119,0.119,-0.155,-0.226,-0.226,0.037,0.037,0.018,0.018,-0.064,-0.121,0.174,0.116,0.054,0.018,0.018,-0.09
0.026,0.026,-0.153,-0.153,-0.185,-0.185,0.027,0.067,0.067,-0.221,-0.113,-0.12,-0.12,-0.091,-0.091,0.28,-0.318,-0.318,-0.084,-0.084,-0.006,-0.006,-0.019,-0.107,0.219,0.106,0.029,-0.321,-0.321,0.216
0.045,0.045,0.027,0.027,-0.006,-0.006,0.427,-0.25,-0.25,0.019,-0.009,0.145,0.145,0.008,0.008,-0.0,0.027,0.027,-0.011,-0.011,0.09,0.09,-0.177,0.02,-0.025,0.028,-0.021,-0.029,-0.029,-0.038
0.145,0.145,0.196,0.196,0.212,0.212,0.278,0.129,0.129,0.078,-0.044,-0.018,-0.018,-0.129,-0.129,0.193,0.063,0.063,-0.123,-0.123,-0.123,-0.123,0.149,-0.111,-0.051,-0.068,0.349,0.259,0.259,-0.152
0.047,0.047,0.06,0.06,-0.034,-0.034,-0.229,0.168,0.168,0.048,0.22,0.016,0.016,-0.155,-0.155,-0.01,-0.16,-0.16,0.053,0.053,-0.064,-0.064,0.1,0.082,-0.207,-0.009,0.027,0.186,0.186,0.088
0.369,0.369,0.313,0.313,-0.046,-0.046,0.02,-0.405,-0.405,0.46,0.195,0.079,0.079,0.012,0.012,0.111,-0.104,-0.104,-0.008,-0.008,-0.065,-0.065,0.052,0.153,-0.168,-0.116,-0.109,0.097,0.097,0.079
0.074,0.074,0.015,0.015,0.113,0.113,-0.235,-0.134,-0.134,-0.055,-0.059,-0.055,-0.055,-0.107,-0.107,0.025,-0.059,-0.059,-0.062,-0.062,-0.107,-0.107,0.071,0.002,-0.049,-0.409,0.014,-0.218,-0.218,0.101
0.056,0.056,0.119,0.119,0.136,0.136,0.04,0.154,0.154,0.009,0.115,0.027,0.027,0.016,0.016,-0.337,0.303,0.303,0.192,0.192,-0.032,-0.032,0.064,0.02,0.119,0.181,-0.222,-0.275,-0.275,0.278
0.039,0.039,-0.103,-0.103,0.015,0.015,-0.109,-0.042,-0.042,-0.035,-0.1,0.078,0.078,-0.035,-0.035,-0.103,0.003,0.003,0.032,0.032,-0.113,-0.113,0.035,-0.134,0.191,-0.048,0.182,0.206,0.206,0.186
-0.068,-0.068,-0.143,-0.143,-0.142,-0.142,0.242,0.248,0.248,-0.319,-0.077,-0.265,-0.265,0.025,0.025,-0.096,-0.104,-0.104,-0.054,-0.054,0.147,0.147,-0.208,-0.237,0.194,-0.011,-0.28,0.001,0.001,-0.283
