0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-0.081,-0.081,0.01,0.01,-0.107,-0.074,-0.074,0.097,0.097,-0.136,-0.136,0.242,0.242,0.197,0.276,0.123,0.123,0.055,-0.115,-0.016,-0.016,0.103,0.103,0.033,0.253,-0.109,-0.109,0.195,0.303,-0.068
0.098,0.098,-0.175,-0.175,-0.085,-0.061,-0.061,-0.075,-0.075,0.315,0.315,-0.161,-0.161,-0.384,-0.394,0.065,0.065,0.262,0.015,-0.033,-0.033,-0.011,-0.011,0.067,0.227,-0.129,-0.129,0.276,0.25,-0.324
-0.008,-0.008,-0.001,-0.001,-0.106,-0.233,-0.233,0.06,0.06,0.042,0.042,0.177,0.177,-0.054,-0.12,-0.004,-0.004,-0.19,-0.333,0.05,0.05,0.007,0.007,0.034,-0.298,0.159,0.159,0.0,-0.324,0.146
0.069,0.069,0.033,0.033,-0.04,0.18,0.18,0.19,0.19,-0.22,-0.22,-0.303,-0.303,-0.286,0.045,-0.205,-0.205,0.288,-0.103,0.147,0.147,0.143,0.143,-0.24,0.087,0.121,0.121,0.33,0.014,0.393
0.361,0.361,0.048,0.048,-0.132,0.015,0.015,-0.024,-0.024,-0.02,-0.02,0.271,0.271,0.134,-0.153,-0.037,-0.037,0.193,0.245,-0.14,-0.14,-0.213,-0.213,0.311,0.161,-0.093,-0.093,-0.193,0.085,-0.243
0.121,0.121,0.124,0.124,-0.11,0.035,0.035,0.229,0.229,0.038,0.038,0.208,0.208,-0.062,-0.337,0.013,0.013,-0.39,0.046,-0.074,-0.074,0.248,0.248,-0.238,0.034,-0.047,-0.047,0.166,0.328,0.018
0.11,0.11,0.091,0.091,-0.077,-0.046,-0.046,-0.062,-0.062,0.077,0.077,0.118,0.118,-0.076,-0.141,0.129,0.129,-0.086,0.09,0.125,0.125,-0.033,-0.033,0.114,-0.068,-0.07,-0.07,0.342,0.032,-0.165
-0.016,-0.016,0.117,0.117,0.05,-0.045,-0.045,0.076,0.076,-0.122,-0.122,0.145,0.145,0.309,-0.039,-0.119,-0.119,0.113,0.178,0.061,0.061,0.049,0.049,-0.095,-0.156,-0.04,-0.04,-0.041,-0.079,-0.1
-0.009,-0.009,-0.202,-0.202,-0.422,0.046,0.046,0.207,0.207,0.032,0.032,0.042,0.042,-0.008,-0.002,-0.051,-0.051,-0.014,0.04,-0.052,-0.052,0.137,0.137,0.162,-0.172,-0.219,-0.219,-0.076,-0.043,-0.101
-0.308,-0.308,-0.217,-0.217,-0.312,-0.209,-0.209,-0.067,-0.067,-0.127,-0.127,0.231,0.231,0.227,0.099,-0.083,-0.083,-0.138,-0.2,0.064,0.064,-0.089,-0.089,-0.075,-0.179,-0.039,-0.039,-0.18,0.016,-0.326
-0.165,-0.165,0.094,0.094,0.122,0.004,0.004,-0.103,-0.103,0.008,0.008,0.023,0.023,0.245,0.189,-0.095,-0.095,-0.131,0.227,-0.063,-0.063,-0.158,-0.158,0.326,-0.119,0.29,0.29,0.187,-0.216,0.132
-0.222,-0.222,-0.189,-0.189,0.012,-0.203,-0.203,-0.159,-0.159,0.102,0.102,0.147,0.147,-0.117,-0.128,0.178,0.178,-0.048,0.136,0.118,0.118,-0.143,-0.143,0.041,-0.112,-0.011,-0.011,-0.158,-0.225,-0.193
-0.068,-0.068,-0.135,-0.135,-0.112,-0.133,-0.133,-0.076,-0.076,0.112,0.112,-0.062,-0.062,-0.089,0.153,-0.07,-0.07,0.026,0.45,-0.086,-0.086,-0.142,-0.142,-0.009,-0.117,0.026,0.026,-0.124,-0.109,-0.227
-0.013,-0.013,0.256,0.256,-0.03,0.391,0.391,-0.073,-0.073,-0.081,-0.081,0.047,0.047,-0.08,-0.031,0.089,0.089,0.004,0.098,0.086,0.086,0.053,0.053,0.049,0.109,0.111,0.111,0.125,-0.116,0.227
0.063,0.063,0.013,0.013,0.172,-0.259,-0.259,0.1,0.1,0.023,0.023,0.206,0.206,-0.007,-0.038,0.4,0.4,-0.014,0.182,-0.047,-0.047,0.181,0.181,0.188,0.203,-0.006,-0.006,0.356,0.089,0.218
0.003,0.003,-0.232,-0.232,0.084,-0.098,-0.098,0.024,0.024,0.033,0.033,0.082,0.082,-0.086,-0.093,0.035,0.035,0.135,0.12,-0.094,-0.094,0.054,0.054,-0.026,0.185,-0.009,-0.009,-0.144,0.063,0.069
0.044,0.044,-0.091,-0.091,-0.06,0.08,0.08,-0.085,-0.085,0.123,0.123,-0.108,-0.108,-0.15,-0.221,-0.17,-0.17,-0.03,0.103,-0.093,-0.093,-0.243,-0.243,0.201,-0.112,0.348,0.348,-0.198,-0.37,0.007
-0.029,-0.029,0.045,0.045,0.529,-0.068,-0.068,0.089,0.089,-0.183,-0.183,0.243,0.243,0.413,0.161,-0.141,-0.141,-0.213,-0.071,0.088,0.088,0.028,0.028,-0.17,-0.228,-0.132,-0.132,-0.074,-0.037,-0.181
-0.076,-0.076,0.038,0.038,0.218,-0.016,-0.016,0.052,0.052,0.114,0.114,0.095,0.095,-0.033,-0.114,-0.062,-0.062,0.052,-0.277,0.045,0.045,0.094,0.094,0.096,0.373,-0.101,-0.101,-0.006,0.294,-0.143
0.102,0.102,0.067,0.067,0.007,0.141,0.141,0.042,0.042,-0.087,-0.087,-0.095,-0.095,-0.045,-0.011,-0.026,-0.026,-0.191,-0.156,-0.106,-0.106,-0.044,-0.044,0.121,-0.29,0.069,0.069,-0.058,-0.162,-0.197
-0.143,-0.143,-0.213,-0.213,-0.051,-0.195,-0.195,-0.058,-0.058,0.222,0.222,0.16,0.16,0.193,-0.166,-0.093,-0.093,-0.08,0.007,0.192,0.192,0.055,0.055,-0.109,-0.094,0.267,0.267,0.247,-0.193,0.378
0.13,0.13,0.242,0.242,0.165,0.184,0.184,0.072,0.072,-0.203,-0.203,0.103,0.103,0.004,0.085,-0.034,-0.034,-0.384,0.149,0.025,0.025,0.002,0.002,-0.165,-0.223,0.121,0.121,0.242,-0.093,-0.039
-0.103,-0.103,-0.085,-0.085,0.193,0.148,0.148,0.033,0.033,-0.006,-0.006,-0.152,-0.152,-0.127,-0.111,-0.053,-0.053,0.406,0.049,0.076,0.076,0.011,0.011,-0.373,0.22,0.071,0.071,0.155,0.108,-0.065
0.021,0.021,0.128,0.128,-0.051,0.037,0.037,-0.059,-0.059,-0.224,-0.224,0.316,0.316,0.32,0.1,-0.06,-0.06,-0.044,-0.089,-0.045,-0.045,0.01,0.01,-0.092,0.178,0.164,0.164,-0.103,-0.009,0.061
-0.132,-0.132,-0.241,-0.241,0.052,-0.087,-0.087,-0.09,-0.09,0.025,0.025,0.042,0.042,-0.068,-0.244,-0.125,-0.125,0.104,0.332,-0.008,-0.008,-0.07,-0.07,-0.037,0.113,-0.052,-0.052,-0.056,0.069,-0.096
-0.014,-0.014,0.125,0.125,-0.182,-0.105,-0.105,0.356,0.356,-0.061,-0.061,-0.096,-0.096,0.107,0.481,0.176,0.176,-0.245,-0.048,0.074,0.074,0.344,0.344,-0.337,0.271,-0.239,-0.239,0.107,0.405,-0.006
0.051,0.051,0.022,0.022,-0.304,-0.179,-0.179,0.129,0.129,0.192,0.192,0.331,0.331,0.272,-0.131,0.075,0.075,-0.224,-0.012,0.105,0.105,0.098,0.098,-0.409,-0.052,0.121,0.121,0.057,-0.057,0.047
0.081,0.081,-0.346,-0.346,0.013,-0.015,-0.015,-0.095,-0.095,0.205,0.205,-0.139,-0.139,0.011,0.146,-0.152,-0.152,-0.045,-0.322,0.081,0.081,-0.012,-0.012,-0.105,0.067,0.111,0.111,0.208,-0.008,0.188
0.145,0.145,0.166,0.166,0.23,0.163,0.163,-0.017,-0.017,0.126,0.126,-0.04,-0.04,-0.073,0.04,-0.126,-0.126,-0.028,-0.047,0.064,0.064,0.005,0.005,-0.092,-0.143,0.043,0.043,-0.228,-0.025,-0.007
-0.02,-0.02,-0.193,-0.193,-0.09,-0.12,-0.12,0.116,0.116,-0.06,-0.06,-0.14,-0.14,-0.104,0.147,0.257,0.257,-0.109,0.155,0.337,0.337,0.272,0.272,0.018,-0.039,-0.139,-0.139,-0.041,-0.015,0.027
