0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-0.137,0.137,0.049,-0.049,0.0,0.0,0.047,-0.047,-0.066,0.066,0.0,0.105,-0.105,0.0,-0.214,0.214,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.135,-0.135,0.0,0.0,0.0,-0.064,0.064,0.236,-0.236,0.077,-0.077,0.109,-0.109,0.038,-0.038
0.045,-0.045,0.025,-0.025,0.0,0.0,0.117,-0.117,0.097,-0.097,0.0,0.208,-0.208,0.0,0.143,-0.143,0.0,0.0,-0.146,0.146,0.0,0.0,0.0,0.0,0.0,-0.009,0.009,0.0,0.0,0.0,0.032,-0.032,-0.104,0.104,0.011,-0.011,-0.028,0.028,0.025,-0.025
0.09,-0.09,0.141,-0.141,0.0,0.0,0.116,-0.116,0.169,-0.169,0.0,0.093,-0.093,0.0,0.066,-0.066,0.0,0.0,0.023,-0.023,0.0,0.0,0.0,0.0,0.0,-0.058,0.058,0.0,0.0,0.0,-0.025,0.025,-0.034,0.034,0.046,-0.046,0.074,-0.074,0.005,-0.005
0.012,-0.012,-0.099,0.099,0.0,0.0,-0.145,0.145,0.045,-0.045,0.0,0.008,-0.008,0.0,0.228,-0.228,0.0,0.0,0.121,-0.121,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.0,0.0,0.039,-0.039,-0.002,0.002,-0.005,0.005,0.004,-0.004,-0.109,0.109
0.011,-0.011,-0.018,0.018,0.0,0.0,0.036,-0.036,0.06,-0.06,0.0,-0.061,0.061,0.0,0.183,-0.183,0.0,0.0,-0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.133,-0.133,0.0,0.0,0.0,-0.055,0.055,0.042,-0.042,0.151,-0.151,0.0,-0.0,0.046,-0.046
0.064,-0.064,0.241,-0.241,0.0,0.0,-0.078,0.078,-0.006,0.006,0.0,-0.075,0.075,0.0,-0.033,0.033,0.0,0.0,-0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.016,-0.016,0.0,0.0,0.0,-0.065,0.065,-0.078,0.078,-0.046,0.046,-0.11,0.11,-0.175,0.175
-0.132,0.132,0.025,-0.025,0.0,0.0,-0.095,0.095,-0.129,0.129,0.0,-0.04,0.04,0.0,-0.186,0.186,0.0,0.0,0.024,-0.024,0.0,0.0,0.0,0.0,0.0,-0.223,0.223,0.0,0.0,0.0,0.049,-0.049,-0.076,0.076,0.01,-0.01,0.06,-0.06,0.034,-0.034
-0.005,0.005,-0.102,0.102,0.0,0.0,-0.052,0.052,0.089,-0.089,0.0,-0.106,0.106,0.0,0.035,-0.035,0.0,0.0,-0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.026,-0.026,0.0,0.0,0.0,0.032,-0.032,0.061,-0.061,0.014,-0.014,-0.062,0.062,-0.039,0.039
0.136,-0.136,-0.122,0.122,0.0,0.0,-0.025,0.025,0.152,-0.152,0.0,-0.023,0.023,0.0,0.003,-0.003,0.0,0.0,-0.012,0.012,0.0,0.0,0.0,0.0,0.0,-0.112,0.112,0.0,0.0,0.0,0.091,-0.091,-0.018,0.018,-0.084,0.084,0.012,-0.012,0.048,-0.048
-0.032,0.032,0.081,-0.081,0.0,0.0,0.026,-0.026,0.103,-0.103,0.0,0.137,-0.137,0.0,0.176,-0.176,0.0,0.0,-0.089,0.089,0.0,0.0,0.0,0.0,0.0,-0.004,0.004,0.0,0.0,0.0,0.232,-0.232,0.11,-0.11,-0.088,0.088,-0.138,0.138,-0.224,0.224
-0.119,0.119,-0.121,0.121,0.0,0.0,0.042,-0.042,-0.137,0.137,0.0,-0.09,0.09,0.0,-0.003,0.003,0.0,0.0,0.052,-0.052,0.0,0.0,0.0,0.0,0.0,-0.094,0.094,0.0,0.0,0.0,0.129,-0.129,-0.079,0.079,-0.211,0.211,-0.108,0.108,-0.122,0.122
-0.093,0.093,0.076,-0.076,0.0,0.0,-0.001,0.001,0.0,-0.0,0.0,-0.159,0.159,0.0,0.156,-0.156,0.0,0.0,-0.199,0.199,0.0,0.0,0.0,0.0,0.0,0.03,-0.03,0.0,0.0,0.0,0.063,-0.063,0.043,-0.043,-0.017,0.017,0.02,-0.02,0.057,-0.057
0.078,-0.078,0.0,-0.0,0.0,0.0,-0.128,0.128,-0.037,0.037,0.0,-0.107,0.107,0.0,0.03,-0.03,0.0,0.0,0.011,-0.011,0.0,0.0,0.0,0.0,0.0,0.098,-0.098,0.0,0.0,0.0,-0.063,0.063,-0.034,0.034,0.06,-0.06,-0.06,0.06,-0.15,0.15
0.021,-0.021,0.055,-0.055,0.0,0.0,-0.119,0.119,0.006,-0.006,0.0,0.001,-0.001,0.0,-0.011,0.011,0.0,0.0,-0.087,0.087,0.0,0.0,0.0,0.0,0.0,-0.278,0.278,0.0,0.0,0.0,-0.011,0.011,-0.116,0.116,-0.049,0.049,-0.001,0.001,0.093,-0.093
-0.092,0.092,-0.078,0.078,0.0,0.0,-0.037,0.037,-0.122,0.122,0.0,0.126,-0.126,0.0,-0.056,0.056,0.0,0.0,-0.119,0.119,0.0,0.0,0.0,0.0,0.0,0.186,-0.186,0.0,0.0,0.0,-0.037,0.037,0.045,-0.045,-0.066,0.066,-0.06,0.06,-0.121,0.121
0.152,-0.152,0.104,-0.104,0.0,0.0,0.032,-0.032,0.086,-0.086,0.0,-0.024,0.024,0.0,-0.136,0.136,0.0,0.0,0.071,-0.071,0.0,0.0,0.0,0.0,0.0,-0.022,0.022,0.0,0.0,0.0,-0.076,0.076,0.025,-0.025,0.027,-0.027,0.093,-0.093,0.039,-0.039
-0.072,0.072,-0.042,0.042,0.0,0.0,0.025,-0.025,-0.07,0.07,0.0,-0.119,0.119,0.0,0.072,-0.072,0.0,0.0,-0.003,0.003,0.0,0.0,0.0,0.0,0.0,-0.04,0.04,0.0,0.0,0.0,0.261,-0.261,0.13,-0.13,-0.067,0.067,-0.033,0.033,-0.154,0.154
0.126,-0.126,0.103,-0.103,0.0,0.0,0.0,-0.0,-0.01,0.01,0.0,0.124,-0.124,0.0,0.139,-0.139,0.0,0.0,-0.228,0.228,0.0,0.0,0.0,0.0,0.0,0.02,-0.02,0.0,0.0,0.0,-0.088,0.088,-0.038,0.038,-0.021,0.021,0.008,-0.008,0.144,-0.144
