0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.451,0.451,0.766,0.766,0.93,0.93,0.833,0.833,0.904,0.876,0.79,0.765,0.765,0.683,0.589,0.589,0.49,0.49,0.45,0.374,0.374,0.403,0.403,0.001,0.029,0.029,0.041,0.041,0.076,0.076,0.098,0.098,0.11,0.118,0.166,0.166,0.267,0.267,0.218,0.233
1.025,1.025,0.606,0.606,0.262,0.262,0.454,0.454,0.737,0.737,0.773,-0.348,0.014,0.014,0.662,0.558,0.558,0.535,0.535,-0.19,-0.19,0.168,0.168,0.009,0.009,-0.114,-0.114,-0.176,-0.176,0.325,0.325,0.335,0.335,-0.111,-0.064,0.083,0.083,0.225,0.225,0.138
0.276,0.276,0.966,0.792,0.792,0.599,0.599,0.878,0.823,0.823,0.761,0.761,0.733,0.733,0.743,0.67,0.606,0.514,0.432,0.383,0.383,0.365,0.365,-0.018,0.299,0.007,0.025,0.041,0.041,0.062,0.085,0.085,0.077,0.127,0.127,0.186,0.186,0.237,0.218,0.222
0.276,0.276,0.555,0.555,0.959,0.795,0.795,0.844,0.844,0.728,0.728,0.76,0.76,0.604,0.604,0.69,0.631,0.543,0.429,0.363,0.363,0.353,0.328,0.328,0.26,0.238,0.01,0.01,0.027,0.03,0.03,0.179,0.179,0.122,0.122,0.149,0.054,0.072,0.101,0.101
0.428,0.428,0.984,0.616,0.616,0.887,0.887,0.88,0.837,0.77,0.77,0.726,0.289,0.289,0.59,0.59,0.537,0.537,0.455,0.455,0.439,0.35,0.261,0.261,0.29,0.261,0.213,-0.017,0.004,0.004,0.01,0.01,0.052,0.052,0.058,0.114,0.114,0.147,0.147,0.099
0.344,0.344,0.586,0.586,0.917,0.917,0.85,0.85,0.803,0.803,0.832,0.595,0.595,0.787,0.751,0.712,0.648,0.53,0.429,0.429,0.365,0.365,0.33,0.277,0.277,0.231,0.206,0.183,0.147,0.147,-0.014,-0.002,0.033,0.033,0.031,0.101,0.061,0.061,0.072,0.072
0.269,0.269,0.96,0.703,0.703,0.87,0.824,0.824,0.714,0.714,0.768,0.768,0.608,0.608,0.701,0.655,0.58,0.494,0.448,0.389,0.389,0.356,0.356,0.339,-0.021,0.225,0.225,0.239,0.195,0.195,0.006,0.027,0.033,0.054,0.054,0.118,0.118,0.087,0.087,0.107
0.328,0.328,0.735,0.735,0.91,0.89,0.827,0.827,0.744,0.744,0.773,0.773,0.601,0.601,0.707,0.685,0.567,0.567,0.424,0.424,0.465,0.413,-0.024,0.34,0.309,0.016,0.016,0.044,0.057,0.057,0.089,0.089,0.108,0.129,0.129,0.21,0.21,0.184,0.227,0.244
0.231,0.231,0.984,0.923,0.923,0.863,0.863,0.643,0.643,0.739,0.739,0.69,0.69,0.539,0.539,0.598,0.512,0.512,0.418,0.418,0.338,0.338,0.319,0.319,-0.013,0.007,0.007,0.236,0.236,0.137,0.137,0.223,0.185,0.043,0.043,0.141,0.072,0.072,0.101,0.101
0.171,0.171,0.993,0.804,0.804,0.907,0.85,0.85,0.781,0.781,0.735,0.51,0.51,0.656,0.589,0.499,0.499,0.507,0.507,0.378,0.378,0.385,0.385,-0.015,-0.015,0.011,0.02,0.02,0.196,0.196,0.087,0.087,0.078,0.132,0.127,0.127,0.278,0.246,0.246,0.25
0.998,0.998,0.389,0.389,0.903,0.823,0.823,0.58,0.58,0.779,0.75,0.662,0.662,0.3,0.3,0.531,0.531,0.403,0.272,0.272,0.349,0.249,0.249,0.247,0.247,-0.052,-0.052,-0.033,-0.033,0.176,0.176,0.2,0.104,0.104,0.045,0.045,-0.002,0.022,0.062,0.062
0.303,0.303,0.972,0.547,0.547,0.865,0.812,0.812,0.821,0.718,0.718,0.672,0.672,0.595,0.595,0.62,0.463,0.463,0.41,0.41,0.436,0.383,0.345,0.283,0.231,0.21,0.195,0.195,0.004,0.004,0.024,0.04,0.04,0.062,0.062,0.098,0.098,0.123,0.123,0.106
0.941,0.937,0.906,0.906,0.879,0.79,0.79,0.826,0.815,0.747,0.604,0.604,0.681,0.681,0.663,0.316,0.316,0.565,0.482,0.436,0.428,0.348,0.348,0.274,0.274,0.233,-0.009,0.003,0.03,0.03,0.188,0.188,0.057,0.057,0.079,0.079,0.106,0.137,0.137,0.133
0.506,0.506,0.897,0.897,0.919,0.886,0.873,0.873,0.749,0.749,0.784,0.769,0.769,0.666,0.559,0.559,0.554,0.505,0.354,0.354,0.43,0.405,0.384,0.354,0.009,0.025,0.025,0.23,0.217,0.212,0.045,0.045,0.062,0.062,0.094,0.094,0.107,0.107,0.146,0.146
0.31,0.31,0.678,0.678,0.858,0.858,0.953,0.85,0.835,0.792,0.757,0.713,0.713,0.692,0.627,0.627,0.628,0.511,0.406,0.406,0.436,0.378,0.334,0.334,-0.019,-0.001,0.029,0.036,0.048,0.048,0.09,0.09,0.088,0.123,0.123,0.189,0.189,0.257,0.225,0.226
