0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.079,0.079,0.354,0.354,0.044,0.044,0.155,0.155,0.231,0.231,0.067,-0.006,0.032,0.032,-0.188,-0.005,-0.005,0.019,0.019,-0.195,-0.195,-0.076,-0.076,0.129,0.129,0.06,0.06,0.308,0.308,0.102,0.102,-0.048,-0.048,0.199,-0.165,0.098,0.098,-0.114,-0.114,0.013
0.256,0.256,0.043,0.043,0.069,0.069,0.222,0.222,-0.09,-0.09,-0.127,-0.108,0.074,0.074,-0.102,0.074,0.074,-0.064,-0.064,-0.2,-0.2,0.006,0.006,-0.006,-0.006,-0.25,-0.25,0.141,0.141,0.096,0.096,-0.177,-0.177,0.098,0.044,0.097,0.097,0.014,0.014,-0.093
-0.114,-0.114,-0.038,-0.038,-0.014,-0.014,0.009,0.009,0.144,0.144,-0.032,-0.398,0.07,0.07,-0.258,0.027,0.027,-0.047,-0.047,0.05,0.05,0.09,0.09,-0.119,-0.119,0.108,0.108,-0.045,-0.045,0.059,0.059,-0.039,-0.039,0.029,-0.023,-0.11,-0.11,0.15,0.15,-0.075
0.068,0.068,0.078,0.078,-0.15,-0.15,0.194,0.194,-0.172,-0.172,-0.102,-0.031,-0.083,-0.083,0.223,-0.027,-0.027,0.227,0.227,-0.005,-0.005,0.005,0.005,0.204,0.204,0.113,0.113,0.026,0.026,-0.042,-0.042,-0.167,-0.167,0.026,0.128,0.101,0.101,0.09,0.09,0.039
0.117,0.117,-0.085,-0.085,0.192,0.192,-0.081,-0.081,0.032,0.032,0.102,-0.046,0.147,0.147,0.025,-0.044,-0.044,-0.01,-0.01,-0.349,-0.349,0.147,0.147,-0.223,-0.223,-0.295,-0.295,0.29,0.29,-0.116,-0.116,0.137,0.137,0.44,-0.443,-0.006,-0.006,-0.068,-0.068,-0.15
-0.078,-0.078,0.153,0.153,-0.091,-0.091,-0.014,-0.014,-0.007,-0.007,0.114,0.038,0.038,0.038,0.073,-0.116,-0.116,0.015,0.015,-0.062,-0.062,0.13,0.13,0.04,0.04,-0.193,-0.193,0.039,0.039,-0.088,-0.088,-0.1,-0.1,0.012,0.002,0.123,0.123,0.32,0.32,0.406
0.063,0.063,0.034,0.034,0.105,0.105,-0.032,-0.032,0.129,0.129,0.058,-0.194,-0.072,-0.072,0.008,0.001,0.001,-0.018,-0.018,-0.046,-0.046,0.243,0.243,-0.065,-0.065,0.021,0.021,-0.028,-0.028,-0.225,-0.225,0.141,0.141,-0.061,0.057,0.034,0.034,0.05,0.05,0.106
0.012,0.012,-0.076,-0.076,0.004,0.004,-0.074,-0.074,-0.092,-0.092,0.164,-0.101,-0.046,-0.046,0.058,0.019,0.019,-0.216,-0.216,0.156,0.156,-0.034,-0.034,-0.07,-0.07,0.211,0.211,-0.065,-0.065,-0.116,-0.116,0.167,0.167,-0.137,-0.012,0.029,0.029,-0.169,-0.169,-0.005
-0.144,-0.144,-0.133,-0.133,-0.175,-0.175,0.037,0.037,-0.037,-0.037,0.177,-0.151,-0.004,-0.004,-0.013,0.136,0.136,-0.082,-0.082,-0.134,-0.134,-0.247,-0.247,0.04,0.04,0.207,0.207,0.279,0.279,0.234,0.234,-0.12,-0.12,0.145,-0.039,-0.101,-0.101,-0.006,-0.006,0.014
-0.039,-0.039,0.032,0.032,0.063,0.063,-0.082,-0.082,-0.023,-0.023,-0.038,-0.088,0.211,0.211,-0.06,0.003,0.003,0.044,0.044,0.016,0.016,-0.059,-0.059,-0.077,-0.077,0.067,0.067,-0.052,-0.052,0.112,0.112,-0.05,-0.05,-0.05,0.076,-0.155,-0.155,-0.128,-0.128,-0.178
-0.021,-0.021,0.032,0.032,0.015,0.015,-0.115,-0.115,0.184,0.184,-0.151,-0.101,0.059,0.059,-0.004,-0.026,-0.026,-0.044,-0.044,-0.042,-0.042,0.063,0.063,0.142,0.142,0.106,0.106,0.095,0.095,0.114,0.114,-0.177,-0.177,-0.003,0.072,-0.114,-0.114,0.347,0.347,0.345
-0.013,-0.013,0.007,0.007,0.01,0.01,0.063,0.063,-0.023,-0.023,-0.182,-0.089,0.111,0.111,-0.041,0.052,0.052,-0.148,-0.148,-0.064,-0.064,-0.066,-0.066,-0.092,-0.092,-0.036,-0.036,0.036,0.036,0.063,0.063,-0.011,-0.011,0.044,-0.118,0.007,0.007,-0.066,-0.066,-0.15
