0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.663,-0.663,0.347,-0.347,0.0,0.0,0.102,-0.102,0.183,-0.183,0.082,-0.082,0.0,0.022,-0.022,0.171,-0.171,0.0,0.0,0.12,-0.12,0.0,0.0,0.0,0.021,-0.021,0.0,0.047,-0.047,0.0,0.0,0.0,0.006,-0.006,0.012,-0.012,0.0,0.0
0.478,-0.478,0.0,0.226,-0.226,0.0,0.0,0.187,-0.187,0.029,-0.029,0.0,0.065,-0.065,0.049,-0.049,0.0,0.0,0.0,0.091,-0.091,0.0,0.05,-0.05,0.039,-0.039,0.0,0.055,-0.055,0.0,0.0,0.012,-0.012,0.0,0.0,0.0,0.004,-0.004
0.425,-0.425,0.0,0.223,-0.223,0.006,-0.006,0.0,0.012,-0.012,0.087,-0.087,0.071,-0.071,0.128,-0.128,0.0,0.0,0.125,-0.125,0.0,0.035,-0.035,0.0,0.0,0.0,0.0,0.006,-0.006,0.0,0.016,-0.016,0.003,-0.003,0.009,-0.009,0.0,0.0
0.568,-0.568,0.277,-0.277,0.01,-0.01,0.139,-0.139,0.0,0.067,-0.067,0.0,0.0,0.0,0.052,-0.052,0.096,-0.096,0.17,-0.17,0.0,0.034,-0.034,0.0,0.0,0.057,-0.057,0.0,0.0,0.038,-0.038,0.044,-0.044,0.0,0.0,0.0,0.0,0.0
0.749,-0.749,0.0,0.356,-0.356,0.0,0.0,0.0,0.04,-0.04,0.013,-0.013,0.114,-0.114,0.0,0.104,-0.104,0.0,0.136,-0.136,0.046,-0.046,0.0,0.0,0.0,0.0,0.0,0.071,-0.071,0.0,0.0,0.0,0.016,-0.016,0.007,-0.007,0.011,-0.011
0.4,-0.4,0.097,-0.097,0.0,0.006,-0.006,0.298,-0.298,0.089,-0.089,0.081,-0.081,0.0,0.0,0.141,-0.141,0.0,0.012,-0.012,0.084,-0.084,0.014,-0.014,0.0,0.0,0.0,0.0,0.0,0.015,-0.015,0.0,0.0,0.0,0.017,-0.017,0.0,0.0
0.561,-0.561,0.389,-0.389,0.0,0.0,0.032,-0.032,0.062,-0.062,0.135,-0.135,0.0,0.082,-0.082,0.0,0.164,-0.164,0.062,-0.062,0.0,0.113,-0.113,0.0,0.0,0.0,0.019,-0.019,0.0,0.037,-0.037,0.0,0.0,0.0,0.025,-0.025,0.002,-0.002
0.63,-0.63,0.097,-0.097,0.0,0.014,-0.014,0.0,0.3,-0.3,0.0,0.371,-0.371,0.058,-0.058,0.075,-0.075,0.062,-0.062,0.199,-0.199,0.092,-0.092,0.125,-0.125,0.0,0.0,0.0,0.045,-0.045,0.076,-0.076,0.047,-0.047,0.0,0.033,-0.033,0.0
0.627,-0.627,0.0,0.08,-0.08,0.017,-0.017,0.262,-0.262,0.316,-0.316,0.123,-0.123,0.0,0.0,0.038,-0.038,0.0,0.09,-0.09,0.0,0.112,-0.112,0.0,0.0,0.0,0.0,0.035,-0.035,0.0,0.0,0.0,0.0,0.007,-0.007,0.0,0.002,-0.002
0.511,-0.511,0.369,-0.369,0.0,0.081,-0.081,0.0,0.0,0.178,-0.178,0.111,-0.111,0.042,-0.042,0.135,-0.135,0.037,-0.037,0.0,0.085,-0.085,0.05,-0.05,0.0,0.0,0.002,-0.002,0.0,0.022,-0.022,0.0,0.0,0.0,0.015,-0.015,0.002,-0.002
