0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.155,0.155,0.077,-0.077,0.0,0.028,-0.028,0.0,0.079,-0.079,0.0,-0.126,0.126,0.212,-0.212,0.191,-0.191,0.253,-0.253,0.016,-0.016,-0.107,0.107,-0.01,0.01,0.0,0.0,0.0,-0.089,0.089,-0.082,0.082,-0.099,0.099,0.0,-0.085,0.085,0.0
0.001,-0.001,0.059,-0.059,0.0,-0.016,0.016,0.0,0.084,-0.084,0.0,0.212,-0.212,0.006,-0.006,0.026,-0.026,0.04,-0.04,-0.023,0.023,-0.088,0.088,-0.082,0.082,0.0,0.0,0.0,0.05,-0.05,0.065,-0.065,0.056,-0.056,0.0,0.12,-0.12,0.0
0.0,-0.0,0.049,-0.049,0.0,-0.098,0.098,0.0,0.218,-0.218,0.0,0.0,-0.0,-0.031,0.031,-0.13,0.13,0.008,-0.008,0.029,-0.029,0.167,-0.167,-0.017,0.017,0.0,0.0,0.0,-0.101,0.101,-0.076,0.076,-0.148,0.148,0.0,-0.044,0.044,0.0
-0.121,0.121,0.008,-0.008,0.0,0.106,-0.106,0.0,-0.112,0.112,0.0,-0.096,0.096,-0.124,0.124,-0.107,0.107,-0.109,0.109,-0.036,0.036,-0.179,0.179,-0.006,0.006,0.0,0.0,0.0,0.043,-0.043,-0.008,0.008,-0.022,0.022,0.0,-0.019,0.019,0.0
0.06,-0.06,-0.017,0.017,0.0,-0.022,0.022,0.0,0.139,-0.139,0.0,-0.027,0.027,-0.051,0.051,-0.033,0.033,-0.056,0.056,-0.026,0.026,-0.158,0.158,-0.173,0.173,0.0,0.0,0.0,0.195,-0.195,-0.189,0.189,0.224,-0.224,0.0,0.143,-0.143,0.0
0.009,-0.009,-0.04,0.04,0.0,0.023,-0.023,0.0,-0.097,0.097,0.0,-0.007,0.007,-0.175,0.175,-0.234,0.234,-0.018,0.018,-0.001,0.001,-0.057,0.057,-0.07,0.07,0.0,0.0,0.0,0.057,-0.057,-0.088,0.088,-0.001,0.001,0.0,-0.022,0.022,0.0
0.162,-0.162,0.012,-0.012,0.0,-0.004,0.004,0.0,0.037,-0.037,0.0,-0.017,0.017,0.153,-0.153,-0.013,0.013,0.017,-0.017,-0.122,0.122,-0.002,0.002,0.078,-0.078,0.0,0.0,0.0,-0.074,0.074,0.001,-0.001,0.114,-0.114,0.0,0.027,-0.027,0.0
-0.142,0.142,0.1,-0.1,0.0,-0.038,0.038,0.0,-0.016,0.016,0.0,-0.146,0.146,0.1,-0.1,0.017,-0.017,0.235,-0.235,0.134,-0.134,-0.024,0.024,-0.119,0.119,0.0,0.0,0.0,-0.105,0.105,0.137,-0.137,-0.165,0.165,0.0,-0.043,0.043,0.0
-0.061,0.061,-0.098,0.098,0.0,-0.033,0.033,0.0,-0.017,0.017,0.0,0.074,-0.074,-0.193,0.193,-0.173,0.173,-0.237,0.237,-0.058,0.058,0.0,-0.0,0.137,-0.137,0.0,0.0,0.0,-0.063,0.063,-0.064,0.064,0.042,-0.042,0.0,-0.022,0.022,0.0
-0.076,0.076,-0.055,0.055,0.0,-0.026,0.026,0.0,0.071,-0.071,0.0,-0.2,0.2,0.063,-0.063,0.122,-0.122,0.005,-0.005,0.08,-0.08,-0.227,0.227,0.174,-0.174,0.0,0.0,0.0,-0.204,0.204,0.161,-0.161,-0.09,0.09,0.0,-0.059,0.059,0.0
0.008,-0.008,0.019,-0.019,0.0,0.004,-0.004,0.0,-0.038,0.038,0.0,-0.102,0.102,0.12,-0.12,0.155,-0.155,0.225,-0.225,0.0,-0.0,0.008,-0.008,-0.16,0.16,0.0,0.0,0.0,0.034,-0.034,-0.19,0.19,0.101,-0.101,0.0,0.01,-0.01,0.0
-0.01,0.01,0.033,-0.033,0.0,0.095,-0.095,0.0,0.154,-0.154,0.0,-0.076,0.076,0.126,-0.126,0.203,-0.203,0.13,-0.13,-0.151,0.151,-0.063,0.063,0.053,-0.053,0.0,0.0,0.0,0.078,-0.078,-0.114,0.114,0.049,-0.049,0.0,0.111,-0.111,0.0
0.028,-0.028,-0.011,0.011,0.0,-0.089,0.089,0.0,0.128,-0.128,0.0,0.084,-0.084,0.18,-0.18,0.107,-0.107,-0.08,0.08,-0.118,0.118,-0.081,0.081,-0.029,0.029,0.0,0.0,0.0,-0.017,0.017,-0.111,0.111,-0.202,0.202,0.0,-0.081,0.081,0.0
-0.001,0.001,0.049,-0.049,0.0,-0.1,0.1,0.0,-0.012,0.012,0.0,-0.177,0.177,0.128,-0.128,0.188,-0.188,-0.056,0.056,-0.104,0.104,-0.142,0.142,0.0,-0.0,0.0,0.0,0.0,-0.048,0.048,-0.011,0.011,-0.014,0.014,0.0,0.083,-0.083,0.0
0.088,-0.088,0.021,-0.021,0.0,-0.039,0.039,0.0,-0.097,0.097,0.0,0.194,-0.194,0.032,-0.032,0.013,-0.013,0.0,-0.0,-0.21,0.21,-0.131,0.131,0.03,-0.03,0.0,0.0,0.0,0.064,-0.064,-0.002,0.002,-0.16,0.16,0.0,-0.083,0.083,0.0
0.114,-0.114,0.109,-0.109,0.0,-0.025,0.025,0.0,0.051,-0.051,0.0,0.159,-0.159,0.073,-0.073,-0.037,0.037,0.152,-0.152,0.047,-0.047,0.078,-0.078,-0.135,0.135,0.0,0.0,0.0,0.112,-0.112,-0.051,0.051,0.213,-0.213,0.0,-0.045,0.045,0.0
0.071,-0.071,-0.177,0.177,0.0,0.067,-0.067,0.0,-0.186,0.186,0.0,0.139,-0.139,-0.112,0.112,-0.196,0.196,0.066,-0.066,-0.095,0.095,-0.032,0.032,0.037,-0.037,0.0,0.0,0.0,0.067,-0.067,0.056,-0.056,0.11,-0.11,0.0,0.053,-0.053,0.0
