0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.07,-0.07,0.311,0.311,-0.019,-0.019,-0.365,0.066,0.03,0.03,-0.016,-0.016,0.018,-0.045,-0.144,0.129,0.189,0.359,0.013,0.013,-0.109,-0.109,-0.177,-0.177,0.25,-0.081,0.258,-0.123,-0.123,-0.018,-0.018,-0.004,-0.004,0.05,0.05,0.118,-0.059,-0.073
0.028,0.028,-0.086,-0.086,0.168,0.168,-0.008,0.169,0.139,0.139,0.143,0.143,-0.16,0.152,0.065,-0.05,0.213,-0.026,-0.048,-0.048,0.014,0.014,-0.048,-0.048,-0.013,0.043,0.081,-0.046,-0.046,-0.114,-0.114,-0.177,-0.177,-0.12,-0.12,0.122,-0.124,-0.196
-0.172,-0.172,-0.156,-0.156,0.174,0.174,0.018,-0.1,-0.169,-0.169,-0.091,-0.091,0.049,-0.071,0.264,-0.27,0.089,0.131,0.099,0.099,-0.156,-0.156,-0.098,-0.098,0.147,0.05,0.096,-0.215,-0.215,-0.163,-0.163,-0.045,-0.045,-0.186,-0.186,-0.008,0.095,-0.018
0.148,0.148,-0.011,-0.011,-0.068,-0.068,-0.212,-0.232,-0.204,-0.204,-0.065,-0.065,0.179,-0.167,0.106,0.023,-0.057,-0.116,0.11,0.11,-0.002,-0.002,0.322,0.322,-0.292,-0.004,-0.097,0.27,0.27,0.072,0.072,0.058,0.058,-0.173,-0.173,0.026,0.078,-0.18
-0.07,-0.07,0.085,0.085,-0.075,-0.075,0.043,0.193,-0.039,-0.039,-0.043,-0.043,-0.061,0.009,0.132,0.067,0.143,-0.038,0.068,0.068,0.2,0.2,0.015,0.015,-0.054,-0.184,-0.151,0.094,0.094,0.131,0.131,0.18,0.18,-0.019,-0.019,-0.004,0.172,0.102
0.019,0.019,0.032,0.032,-0.039,-0.039,-0.116,-0.136,0.126,0.126,0.022,0.022,-0.044,0.022,-0.095,0.074,-0.121,0.028,-0.011,-0.011,-0.0,-0.0,-0.028,-0.028,-0.128,0.073,-0.186,0.031,0.031,0.04,0.04,-0.057,-0.057,0.157,0.157,-0.043,-0.178,-0.131
0.05,0.05,0.054,0.054,0.02,0.02,0.084,-0.092,-0.151,-0.151,0.035,0.035,0.167,-0.016,0.057,-0.268,-0.401,-0.238,0.061,0.061,-0.237,-0.237,0.277,0.277,-0.347,0.006,-0.181,0.25,0.25,0.121,0.121,0.35,0.35,0.009,0.009,-0.004,-0.037,0.086
-0.093,-0.093,-0.023,-0.023,0.033,0.033,0.161,-0.147,-0.017,-0.017,0.074,0.074,-0.05,0.003,0.087,-0.07,-0.051,0.218,0.096,0.096,-0.146,-0.146,-0.033,-0.033,0.04,-0.177,-0.04,0.115,0.115,0.162,0.162,0.083,0.083,0.239,0.239,-0.187,-0.139,0.101
-0.013,-0.013,-0.247,-0.247,-0.013,-0.013,-0.065,-0.159,-0.115,-0.115,-0.256,-0.256,0.283,-0.402,0.046,0.126,0.063,-0.213,0.202,0.202,-0.105,-0.105,0.366,0.366,-0.329,-0.031,-0.109,0.194,0.194,0.185,0.185,0.082,0.082,0.199,0.199,-0.157,-0.061,-0.274
0.083,0.083,-0.22,-0.22,-0.352,-0.352,0.024,0.309,0.208,0.208,-0.211,-0.211,-0.208,0.078,-0.393,0.155,-0.188,0.044,-0.019,-0.019,-0.019,-0.019,0.123,0.123,-0.155,-0.053,-0.285,0.068,0.068,0.042,0.042,0.124,0.124,0.111,0.111,-0.166,0.116,0.084
-0.297,-0.297,0.032,0.032,0.3,0.3,0.123,-0.046,-0.005,-0.005,0.382,0.382,-0.261,0.358,0.155,-0.17,0.119,0.096,0.001,0.001,0.271,0.271,-0.238,-0.238,0.367,-0.023,-0.118,-0.058,-0.058,-0.089,-0.089,-0.0,-0.0,0.09,0.09,0.024,-0.028,-0.378
0.035,0.035,0.111,0.111,0.042,0.042,-0.219,-0.099,-0.029,-0.029,0.124,0.124,-0.037,0.076,-0.003,-0.133,0.135,0.023,-0.016,-0.016,-0.101,-0.101,0.11,0.11,-0.037,0.202,-0.102,-0.02,-0.02,-0.139,-0.139,0.053,0.053,-0.177,-0.177,-0.234,0.034,0.284
-0.05,-0.05,0.128,0.128,0.122,0.122,0.267,0.104,0.203,0.203,0.181,0.181,-0.225,0.244,-0.011,-0.244,-0.234,-0.242,-0.001,-0.001,-0.023,-0.023,-0.052,-0.052,0.17,0.086,-0.161,-0.226,-0.226,-0.129,-0.129,0.034,0.034,-0.074,-0.074,-0.019,-0.202,-0.067
-0.134,-0.134,0.045,0.045,-0.078,-0.078,0.08,0.128,0.085,0.085,0.101,0.101,-0.084,0.156,-0.145,0.098,-0.118,-0.097,0.048,0.048,0.085,0.085,0.059,0.059,-0.115,-0.173,0.125,0.043,0.043,0.053,0.053,0.012,0.012,-0.285,-0.285,-0.152,-0.278,0.054
0.131,0.131,0.101,0.101,-0.155,-0.155,0.049,0.193,0.119,0.119,0.016,0.016,-0.224,0.104,-0.143,0.215,0.206,-0.199,-0.279,-0.279,0.009,0.009,0.032,0.032,-0.057,0.337,-0.199,0.087,0.087,0.037,0.037,0.046,0.046,0.1,0.1,-0.261,-0.322,-0.149
0.16,0.16,-0.241,-0.241,0.112,0.112,-0.158,-0.05,0.053,0.053,-0.083,-0.083,0.001,-0.043,0.122,-0.208,0.033,-0.016,-0.117,-0.117,-0.115,-0.115,0.036,0.036,-0.133,-0.059,-0.231,0.098,0.098,0.084,0.084,-0.079,-0.079,-0.063,-0.063,0.132,0.178,0.119
-0.193,-0.193,0.125,0.125,-0.004,-0.004,0.145,0.045,-0.003,-0.003,0.013,0.013,-0.021,0.067,-0.078,0.315,-0.036,-0.126,-0.176,-0.176,0.055,0.055,-0.292,-0.292,0.238,0.124,-0.306,-0.25,-0.25,-0.163,-0.163,-0.036,-0.036,-0.193,-0.193,0.011,0.257,0.08
-0.015,-0.015,-0.022,-0.022,0.098,0.098,0.255,0.192,0.058,0.058,0.219,0.219,0.009,0.013,-0.157,-0.008,0.035,-0.043,0.155,0.155,0.004,0.004,0.068,0.068,-0.046,0.127,-0.167,-0.105,-0.105,-0.184,-0.184,0.044,0.044,-0.002,-0.002,-0.091,0.257,0.049
0.048,0.048,0.141,0.141,-0.076,-0.076,-0.411,-0.09,-0.145,-0.145,0.131,0.131,-0.019,-0.053,0.094,0.15,-0.178,0.014,-0.137,-0.137,0.031,0.031,-0.134,-0.134,-0.016,0.071,-0.126,-0.024,-0.024,0.073,0.073,0.102,0.102,0.089,0.089,-0.095,0.121,-0.033
0.122,0.122,0.065,0.065,-0.113,-0.113,-0.031,-0.234,0.063,0.063,-0.138,-0.138,-0.121,0.009,-0.211,-0.013,0.064,0.228,0.18,0.18,0.019,0.019,0.115,0.115,-0.001,-0.105,-0.137,0.032,0.032,0.126,0.126,0.103,0.103,-0.037,-0.037,-0.104,0.292,-0.009
