0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.184,0.184,0.0,0.0,-0.158,0.158,0.0,0.018,-0.018,0.0,0.0,0.0,-0.251,0.251,-0.009,0.009,-0.201,0.201
0.136,-0.136,0.0,0.0,-0.002,0.002,0.0,0.105,-0.105,0.0,0.0,0.0,0.024,-0.024,0.001,-0.001,-0.229,0.229
0.087,-0.087,0.0,0.0,0.102,-0.102,0.0,-0.009,0.009,0.0,0.0,0.0,0.173,-0.173,-0.125,0.125,0.147,-0.147
0.19,-0.19,0.0,0.0,-0.068,0.068,0.0,0.169,-0.169,0.0,0.0,0.0,-0.014,0.014,-0.129,0.129,-0.1,0.1
-0.078,0.078,0.0,0.0,0.078,-0.078,0.0,0.054,-0.054,0.0,0.0,0.0,0.148,-0.148,0.112,-0.112,-0.186,0.186
0.261,-0.261,0.0,0.0,-0.01,0.01,0.0,-0.028,0.028,0.0,0.0,0.0,-0.091,0.091,-0.003,0.003,0.085,-0.085
-0.189,0.189,0.0,0.0,-0.091,0.091,0.0,0.0,-0.0,0.0,0.0,0.0,0.253,-0.253,0.108,-0.108,0.023,-0.023
0.197,-0.197,0.0,0.0,-0.084,0.084,0.0,-0.214,0.214,0.0,0.0,0.0,0.0,-0.0,0.103,-0.103,-0.147,0.147
-0.098,0.098,0.0,0.0,0.258,-0.258,0.0,-0.157,0.157,0.0,0.0,0.0,0.099,-0.099,0.043,-0.043,-0.225,0.225
0.0,-0.0,0.0,0.0,-0.135,0.135,0.0,0.105,-0.105,0.0,0.0,0.0,-0.113,0.113,0.0,-0.0,0.142,-0.142
-0.258,0.258,0.0,0.0,0.27,-0.27,0.0,-0.091,0.091,0.0,0.0,0.0,-0.175,0.175,-0.082,0.082,0.092,-0.092
0.059,-0.059,0.0,0.0,0.283,-0.283,0.0,-0.006,0.006,0.0,0.0,0.0,-0.02,0.02,0.243,-0.243,0.0,-0.0
-0.087,0.087,0.0,0.0,0.056,-0.056,0.0,0.049,-0.049,0.0,0.0,0.0,-0.244,0.244,0.094,-0.094,0.199,-0.199
0.051,-0.051,0.0,0.0,0.061,-0.061,0.0,0.03,-0.03,0.0,0.0,0.0,0.175,-0.175,0.037,-0.037,0.035,-0.035
-0.001,0.001,0.0,0.0,0.072,-0.072,0.0,0.09,-0.09,0.0,0.0,0.0,-0.2,0.2,0.253,-0.253,0.113,-0.113
0.225,-0.225,0.0,0.0,-0.169,0.169,0.0,-0.037,0.037,0.0,0.0,0.0,0.019,-0.019,0.091,-0.091,0.234,-0.234
-0.015,0.015,0.0,0.0,0.083,-0.083,0.0,-0.111,0.111,0.0,0.0,0.0,-0.174,0.174,-0.126,0.126,-0.194,0.194
-0.141,0.141,0.0,0.0,0.0,-0.0,0.0,-0.047,0.047,0.0,0.0,0.0,0.179,-0.179,0.166,-0.166,-0.035,0.035
