0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.176,0.176,0.161,-0.23,-0.235,-0.235,-0.188,0.028,0.028,-0.046,-0.014,-0.406,0.232,0.232,-0.185,-0.185,0.286,0.286
0.268,0.268,-0.084,-0.073,0.385,0.385,0.295,0.183,0.183,-0.344,0.297,-0.116,-0.269,-0.269,-0.216,-0.216,0.119,0.119
0.108,0.108,0.096,0.009,0.225,0.225,-0.098,-0.026,-0.026,-0.088,0.176,0.091,0.068,0.068,0.025,0.025,-0.019,-0.019
-0.058,-0.058,0.26,0.171,-0.13,-0.13,0.173,0.078,0.078,0.036,-0.084,-0.326,0.065,0.065,-0.27,-0.27,0.079,0.079
-0.289,-0.289,-0.476,0.199,-0.224,-0.224,-0.312,-0.105,-0.105,-0.057,0.301,0.27,0.094,0.094,-0.185,-0.185,-0.01,-0.01
0.186,0.186,0.174,0.003,0.393,0.393,0.026,-0.2,-0.2,0.195,0.283,-0.147,-0.248,-0.248,0.071,0.071,-0.028,-0.028
0.183,0.183,0.11,-0.105,-0.066,-0.066,0.1,0.57,0.57,0.658,0.201,0.224,-0.045,-0.045,0.234,0.234,-0.313,-0.313
0.003,0.003,-0.065,0.088,0.124,0.124,0.153,0.229,0.229,0.186,-0.188,0.147,0.405,0.405,0.146,0.146,-0.061,-0.061
-0.014,-0.014,0.353,0.509,-0.0,-0.0,-0.033,-0.132,-0.132,-0.182,-0.143,0.041,-0.052,-0.052,-0.176,-0.176,-0.21,-0.21
0.365,0.365,-0.022,-0.166,0.247,0.247,0.465,-0.197,-0.197,-0.233,-0.134,-0.056,0.154,0.154,0.202,0.202,-0.461,-0.461
-0.153,-0.153,-0.287,0.411,0.056,0.056,-0.006,0.151,0.151,0.213,0.161,-0.508,-0.135,-0.135,0.179,0.179,-0.116,-0.116
-0.192,-0.192,0.078,0.068,0.118,0.118,-0.202,0.238,0.238,0.159,-0.074,-0.005,0.214,0.214,0.341,0.341,-0.054,-0.054
0.067,0.067,0.132,0.254,0.003,0.003,0.209,0.143,0.143,0.181,0.53,0.434,-0.058,-0.058,0.224,0.224,0.255,0.255
0.301,0.301,-0.543,-0.158,0.285,0.285,0.253,0.159,0.159,0.26,-0.344,-0.069,-0.004,-0.004,0.097,0.097,0.263,0.263
0.073,0.073,-0.121,0.084,0.177,0.177,-0.071,0.281,0.281,0.242,-0.135,-0.12,0.163,0.163,-0.121,-0.121,-0.026,-0.026
-0.073,-0.073,-0.091,-0.391,-0.211,-0.211,0.025,-0.257,-0.257,-0.206,0.32,-0.137,-0.155,-0.155,0.1,0.1,-0.165,-0.165
0.09,0.09,-0.25,-0.345,0.161,0.161,0.157,-0.075,-0.075,-0.053,0.191,0.226,0.069,0.069,-0.203,-0.203,-0.182,-0.182
0.286,0.286,0.075,-0.159,0.328,0.328,0.557,-0.21,-0.21,-0.007,0.031,-0.009,0.137,0.137,-0.249,-0.249,0.261,0.261
