0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.535,-0.535,0.0,0.335,-0.335,0.262,-0.262,0.023,-0.023,0.076,-0.076,0.0,0.006,-0.006,0.0,0.0,0.13,-0.13,0.013,-0.013,0.042,-0.042,0.0,0.0,0.0,0.0,0.046,-0.046,0.0,0.0
0.268,-0.268,0.0,0.0,0.036,-0.036,0.12,-0.12,0.011,-0.011,0.0,0.17,-0.17,0.043,-0.043,0.039,-0.039,0.0,0.034,-0.034,0.0,0.003,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.434,-0.434,0.351,-0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.005,0.0,0.0,0.09,-0.09,0.215,-0.215,0.021,-0.021,0.005,-0.005,0.103,-0.103,0.078,-0.078,0.024,-0.024,0.0,0.0
0.819,-0.819,0.253,-0.253,0.0,0.285,-0.285,0.26,-0.26,0.054,-0.054,0.047,-0.047,0.0,0.0,0.209,-0.209,0.0,0.0,0.03,-0.03,0.134,-0.134,0.0,0.0,0.075,-0.075,0.0,0.0,0.0
0.44,-0.44,0.41,-0.41,0.0,0.0,0.101,-0.101,0.133,-0.133,0.0,0.0,0.0,0.066,-0.066,0.145,-0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,-0.081,0.0,0.0,0.0
0.798,-0.798,0.0,0.0,0.0,0.053,-0.053,0.0,0.0,0.281,-0.281,0.193,-0.193,0.0,0.0,0.093,-0.093,0.027,-0.027,0.0,0.113,-0.113,0.0,0.119,-0.119,0.124,-0.124,0.0,0.0,0.0
0.494,-0.494,0.0,0.0,0.027,-0.027,0.0,0.0,0.0,0.0,0.128,-0.128,0.0,0.0,0.192,-0.192,0.185,-0.185,0.021,-0.021,0.0,0.073,-0.073,0.0,0.0,0.0,0.0,0.056,-0.056,0.0
0.743,-0.743,0.0,0.291,-0.291,0.255,-0.255,0.04,-0.04,0.039,-0.039,0.0,0.072,-0.072,0.0,0.0,0.045,-0.045,0.0,0.033,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.492,-0.492,0.269,-0.269,0.22,-0.22,0.0,0.0,0.044,-0.044,0.0,0.061,-0.061,0.0,0.0,0.019,-0.019,0.0,0.129,-0.129,0.0,0.104,-0.104,0.0,0.086,-0.086,0.038,-0.038,0.0,0.0
0.643,-0.643,0.461,-0.461,0.0,0.006,-0.006,0.269,-0.269,0.0,0.0,0.069,-0.069,0.0,0.0,0.0,0.0,0.128,-0.128,0.102,-0.102,0.0,0.06,-0.06,0.094,-0.094,0.0,0.0,0.0,0.0
