0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-0.071,-0.071,-0.209,0.002,-0.128,0.234,0.234,-0.145,-0.216,-0.126,-0.126,-0.217,-0.217,-0.069,0.189,0.112,0.112,0.092,0.092,0.135,-0.12,-0.12,0.113,0.117,0.117,0.068,0.068,0.116,-0.082,0.045
0.147,0.147,0.075,-0.121,-0.207,0.088,0.088,0.083,-0.122,0.107,0.107,0.121,0.121,-0.234,-0.064,0.086,0.086,0.314,0.314,0.448,0.094,0.094,0.066,-0.063,-0.063,-0.068,-0.068,-0.011,0.169,0.196
-0.339,-0.339,-0.016,0.124,-0.326,-0.123,-0.123,0.224,0.231,-0.363,-0.363,-0.043,-0.043,-0.531,-0.299,-0.023,-0.023,0.071,0.071,-0.18,0.268,0.268,-0.471,0.337,0.337,-0.069,-0.069,-0.282,-0.445,-0.014
-0.081,-0.081,-0.072,0.146,0.085,-0.051,-0.051,0.091,0.063,-0.096,-0.096,-0.111,-0.111,0.199,0.007,0.132,0.132,-0.059,-0.059,-0.244,0.108,0.108,0.126,0.052,0.052,-0.071,-0.071,0.26,-0.076,0.074
-0.208,-0.208,-0.156,0.006,0.355,0.241,0.241,-0.035,-0.119,-0.161,-0.161,0.039,0.039,-0.149,0.177,-0.03,-0.03,-0.074,-0.074,-0.064,-0.144,-0.144,-0.12,-0.168,-0.168,-0.183,-0.183,-0.027,0.092,0.179
-0.208,-0.208,-0.024,-0.109,-0.04,-0.044,-0.044,-0.155,0.089,-0.108,-0.108,-0.072,-0.072,-0.174,0.104,0.058,0.058,0.031,0.031,-0.013,-0.129,-0.129,0.031,-0.08,-0.08,0.082,0.082,-0.074,-0.26,0.119
0.061,0.061,-0.105,0.421,0.381,-0.086,-0.086,-0.26,0.238,-0.102,-0.102,0.047,0.047,-0.142,-0.023,-0.199,-0.199,0.183,0.183,0.096,-0.083,-0.083,0.082,-0.118,-0.118,0.06,0.06,0.145,-0.092,0.17
-0.104,-0.104,0.109,-0.126,-0.016,-0.032,-0.032,0.042,0.155,0.054,0.054,0.069,0.069,0.126,-0.086,0.148,0.148,0.096,0.096,0.116,0.007,0.007,-0.1,0.075,0.075,0.085,0.085,-0.204,-0.063,-0.176
-0.137,-0.137,-0.366,-0.303,-0.233,0.212,0.212,-0.1,-0.099,0.204,0.204,0.133,0.133,0.095,0.162,-0.022,-0.022,-0.15,-0.15,-0.082,0.132,0.132,0.009,-0.045,-0.045,-0.026,-0.026,-0.032,0.205,0.101
0.02,0.02,-0.258,0.253,0.093,-0.102,-0.102,-0.1,0.025,-0.011,-0.011,-0.231,-0.231,0.191,-0.212,-0.125,-0.125,0.155,0.155,0.078,-0.111,-0.111,0.323,-0.114,-0.114,-0.072,-0.072,-0.399,0.243,-0.029
-0.176,-0.176,0.137,-0.099,0.064,0.128,0.128,-0.019,0.097,-0.195,-0.195,-0.042,-0.042,0.013,-0.132,-0.128,-0.128,0.099,0.099,-0.224,0.117,0.117,-0.12,0.066,0.066,0.066,0.066,0.333,-0.199,0.004
-0.082,-0.082,0.1,-0.116,-0.076,-0.136,-0.136,0.567,0.37,-0.191,-0.191,-0.1,-0.1,-0.123,-0.06,-0.325,-0.325,0.241,0.241,0.418,-0.001,-0.001,0.149,-0.035,-0.035,-0.022,-0.022,-0.044,-0.094,0.076
-0.078,-0.078,-0.087,-0.445,0.041,0.106,0.106,-0.319,-0.35,-0.262,-0.262,-0.208,-0.208,-0.158,-0.048,-0.025,-0.025,0.136,0.136,0.044,0.027,0.027,0.031,0.118,0.118,0.07,0.07,0.02,-0.086,-0.193
