0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.149,0.149,0.0,-0.103,0.103,-0.054,0.054,0.0,-0.062,0.062,-0.143,0.143,-0.073,0.073,-0.03,0.03,0.0,0.0,0.05,-0.05,0.0,-0.038,0.038,0.0,0.0,0.0,0.0,0.008,-0.008,0.0,0.112,-0.112,0.017,-0.017,-0.036,0.036,0.0,0.0
-0.11,0.11,0.0,-0.035,0.035,-0.059,0.059,0.0,-0.002,0.002,-0.044,0.044,0.037,-0.037,-0.038,0.038,0.0,0.0,-0.182,0.182,0.0,-0.153,0.153,0.0,0.0,0.0,0.0,-0.022,0.022,0.0,0.128,-0.128,0.028,-0.028,-0.019,0.019,0.0,0.0
0.146,-0.146,0.0,0.0,-0.0,-0.109,0.109,0.0,0.081,-0.081,-0.129,0.129,-0.144,0.144,-0.062,0.062,0.0,0.0,-0.332,0.332,0.0,-0.038,0.038,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.072,0.072,0.052,-0.052,-0.109,0.109,0.0,0.0
0.083,-0.083,0.0,0.024,-0.024,0.125,-0.125,0.0,-0.055,0.055,-0.042,0.042,0.002,-0.002,0.002,-0.002,0.0,0.0,0.086,-0.086,0.0,0.142,-0.142,0.0,0.0,0.0,0.0,-0.008,0.008,0.0,-0.063,0.063,0.065,-0.065,-0.076,0.076,0.0,0.0
0.082,-0.082,0.0,-0.009,0.009,0.0,-0.0,0.0,-0.005,0.005,-0.036,0.036,-0.047,0.047,0.092,-0.092,0.0,0.0,0.131,-0.131,0.0,-0.151,0.151,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.104,-0.104,0.019,-0.019,0.007,-0.007,0.0,0.0
0.118,-0.118,0.0,-0.014,0.014,-0.02,0.02,0.0,-0.052,0.052,0.092,-0.092,0.115,-0.115,-0.159,0.159,0.0,0.0,-0.14,0.14,0.0,-0.121,0.121,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,-0.007,0.007,0.026,-0.026,0.059,-0.059,0.0,0.0
0.1,-0.1,0.0,0.046,-0.046,-0.018,0.018,0.0,0.0,-0.0,0.0,-0.0,-0.039,0.039,-0.027,0.027,0.0,0.0,-0.134,0.134,0.0,0.106,-0.106,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.255,-0.255,-0.002,0.002,-0.06,0.06,0.0,0.0
0.018,-0.018,0.0,0.03,-0.03,0.042,-0.042,0.0,0.014,-0.014,-0.007,0.007,0.003,-0.003,-0.011,0.011,0.0,0.0,-0.038,0.038,0.0,-0.095,0.095,0.0,0.0,0.0,0.0,-0.008,0.008,0.0,-0.11,0.11,0.062,-0.062,0.077,-0.077,0.0,0.0
-0.017,0.017,0.0,0.043,-0.043,-0.036,0.036,0.0,0.019,-0.019,0.116,-0.116,-0.037,0.037,0.125,-0.125,0.0,0.0,0.077,-0.077,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.006,-0.006,0.0,0.011,-0.011,-0.024,0.024,-0.008,0.008,0.0,0.0
-0.105,0.105,0.0,0.094,-0.094,-0.135,0.135,0.0,0.062,-0.062,-0.047,0.047,0.028,-0.028,0.051,-0.051,0.0,0.0,0.139,-0.139,0.0,0.053,-0.053,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,-0.115,0.115,-0.032,0.032,-0.1,0.1,0.0,0.0
-0.085,0.085,0.0,-0.261,0.261,0.063,-0.063,0.0,0.01,-0.01,-0.204,0.204,0.0,-0.0,0.0,-0.0,0.0,0.0,0.133,-0.133,0.0,-0.004,0.004,0.0,0.0,0.0,0.0,-0.006,0.006,0.0,0.048,-0.048,0.005,-0.005,-0.035,0.035,0.0,0.0
0.226,-0.226,0.0,-0.081,0.081,0.02,-0.02,0.0,-0.081,0.081,-0.124,0.124,-0.039,0.039,0.089,-0.089,0.0,0.0,-0.078,0.078,0.0,0.242,-0.242,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,-0.15,0.15,-0.012,0.012,0.0,-0.0,0.0,0.0
