0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.206,0.206,0.552,0.552,0.948,0.902,0.846,0.846,0.665,0.665,0.748,0.748,0.791,0.741,0.741,0.591,0.591,0.579,0.523,0.42,0.42,0.459,0.375,0.29,0.244,0.244,-0.022,0.181,0.181,0.001,0.027,0.132,0.057,0.057,0.11,0.11,0.076,0.094
0.348,0.348,0.959,0.711,0.711,0.912,0.879,0.598,0.598,0.829,0.829,0.791,0.76,0.76,0.648,0.648,0.68,0.64,0.541,0.453,0.453,0.353,0.328,0.328,0.282,0.282,-0.018,0.202,0.202,0.006,0.141,0.118,0.118,0.109,0.054,0.057,0.076,0.076
0.275,0.275,0.958,0.726,0.726,0.926,0.926,0.903,0.857,0.857,0.757,0.757,0.705,0.705,0.566,0.566,0.61,0.555,0.447,0.447,0.426,0.341,0.341,-0.027,0.288,0.002,0.234,0.208,0.208,0.186,0.051,0.051,0.066,0.066,0.115,0.115,0.103,0.113
0.29,0.29,0.633,0.633,0.964,0.964,0.727,0.727,0.886,0.832,0.832,0.854,0.802,0.736,0.637,0.637,0.47,0.47,0.328,0.328,0.417,0.388,0.388,0.322,0.251,0.205,0.205,-0.008,0.014,0.164,0.164,0.082,0.082,0.133,0.118,0.059,0.066,0.095
0.25,0.25,0.98,0.594,0.594,0.924,0.897,0.847,0.805,0.805,0.776,0.776,0.65,0.65,0.683,0.55,0.55,0.575,0.386,0.386,0.42,0.42,0.365,0.306,-0.007,0.006,0.241,0.188,0.188,0.167,0.052,0.057,0.082,0.082,0.132,0.132,0.113,0.113
0.332,0.332,0.9,0.9,0.922,0.906,0.906,0.571,0.571,0.805,0.805,0.726,0.726,0.767,0.741,0.556,0.556,0.618,0.492,0.492,0.407,0.407,0.328,0.328,0.265,0.253,-0.022,-0.007,0.013,0.169,0.169,0.133,0.054,0.057,0.096,0.096,0.082,0.1
0.371,0.371,0.693,0.693,0.934,0.889,0.869,0.869,0.798,0.798,0.728,0.728,0.752,0.711,0.711,0.647,0.53,0.53,0.522,0.522,0.473,0.385,0.385,0.305,-0.014,-0.001,0.255,0.255,0.026,0.19,0.19,0.061,0.066,0.082,0.123,0.123,0.114,0.114
0.406,0.406,0.924,0.924,0.946,0.931,0.931,0.804,0.595,0.595,0.742,0.387,0.387,0.648,0.648,0.545,0.545,0.398,0.398,0.085,0.085,0.292,0.292,0.212,0.212,-0.062,0.269,0.236,-0.021,-0.021,0.128,0.128,0.042,0.042,0.12,0.075,0.075,0.089
0.168,0.168,0.975,0.879,0.879,0.899,0.899,0.722,0.722,0.519,0.519,0.715,0.715,0.709,0.694,0.588,0.588,0.558,0.464,0.464,0.421,0.341,0.341,-0.032,-0.001,0.287,0.258,0.218,0.218,0.174,0.043,0.046,0.117,0.075,0.075,0.106,0.091,0.091
0.229,0.229,0.622,0.622,0.971,0.832,0.832,0.859,0.85,0.767,0.767,0.744,0.744,0.682,0.682,0.604,0.604,0.54,0.54,0.514,0.312,0.312,0.329,0.329,-0.026,-0.002,0.231,0.231,0.019,0.178,0.178,0.131,0.055,0.058,0.091,0.091,0.087,0.087
0.321,0.321,0.943,0.926,0.893,0.893,0.866,0.866,0.563,0.563,0.68,0.68,0.789,0.789,0.721,0.721,0.73,0.606,0.606,0.47,0.47,0.354,-0.025,-0.005,0.294,0.294,0.274,0.242,0.025,0.191,0.163,0.132,0.052,0.063,0.096,0.096,0.085,0.096
0.416,0.416,0.64,0.64,0.943,0.924,0.891,0.891,0.837,0.786,0.703,0.703,0.77,0.715,0.668,0.668,0.519,0.519,0.553,0.482,0.482,0.415,0.415,0.312,-0.006,-0.006,0.265,0.192,0.192,0.22,0.03,0.12,0.12,0.061,0.066,0.081,0.122,0.113
0.451,0.451,0.943,0.943,0.645,0.645,0.908,0.892,0.863,0.863,0.787,0.787,0.826,0.787,0.687,0.608,0.55,0.499,0.39,0.39,0.42,0.42,0.314,0.314,0.271,-0.004,0.012,0.196,0.196,0.147,0.147,0.068,0.068,0.136,0.136,0.092,0.059,0.066
