0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.032,0.032,-0.096,-0.096,-0.195,0.212,0.2,0.2,0.322,0.322,-0.046,-0.046,-0.208,-0.166,-0.166,-0.242,-0.242,0.305,-0.264,-0.169,-0.169,-0.01,0.073,-0.015,0.069,0.069,0.097,0.087,0.087,-0.075,0.043,0.183,0.032,0.032,0.053,0.053,-0.122,0.124
0.315,0.315,0.115,0.115,-0.023,-0.02,-0.02,-0.02,-0.085,-0.085,0.015,0.015,0.136,-0.045,-0.045,0.104,0.104,0.112,-0.027,0.204,0.204,0.286,0.054,0.076,0.04,0.04,0.078,0.316,0.316,-0.033,-0.08,0.066,-0.117,-0.117,-0.175,-0.175,0.042,-0.033
-0.063,-0.063,0.184,0.184,0.001,-0.068,-0.04,-0.04,-0.177,-0.177,0.002,0.002,0.147,0.016,0.016,0.081,0.081,-0.024,0.44,0.033,0.033,0.235,0.283,-0.067,-0.052,-0.052,0.102,0.099,0.099,-0.091,-0.102,0.198,-0.065,-0.065,0.058,0.058,-0.041,0.107
-0.012,-0.012,0.057,0.057,0.071,0.04,0.066,0.066,-0.04,-0.04,-0.149,-0.149,-0.178,-0.107,-0.107,0.049,0.049,-0.126,0.051,0.068,0.068,0.065,0.03,0.016,0.126,0.126,-0.114,-0.077,-0.077,-0.137,-0.145,0.082,-0.137,-0.137,0.091,0.091,-0.127,0.239
-0.078,-0.078,-0.081,-0.081,-0.152,0.045,-0.342,-0.342,-0.006,-0.006,-0.324,-0.324,-0.12,-0.19,-0.19,0.031,0.031,-0.06,-0.052,0.03,0.03,-0.026,-0.267,0.371,-0.154,-0.154,-0.222,-0.183,-0.183,0.067,0.256,0.111,0.203,0.203,0.025,0.025,-0.167,-0.039
-0.116,-0.116,-0.003,-0.003,-0.019,-0.312,0.177,0.177,0.071,0.071,0.172,0.172,-0.242,0.169,0.169,0.063,0.063,0.03,0.016,-0.038,-0.038,-0.128,-0.086,0.162,0.125,0.125,-0.015,-0.071,-0.071,0.147,-0.07,0.037,-0.014,-0.014,0.019,0.019,0.01,-0.074
-0.108,-0.108,0.044,0.044,-0.021,0.079,0.098,0.098,-0.076,-0.076,0.194,0.194,0.208,0.15,0.15,0.019,0.019,-0.179,0.168,0.0,0.0,0.146,0.153,-0.24,0.319,0.319,-0.126,0.108,0.108,0.14,0.343,-0.048,0.196,0.196,-0.061,-0.061,-0.243,-0.018
-0.013,-0.013,0.007,0.007,0.259,0.16,0.139,0.139,0.056,0.056,0.081,0.081,0.049,0.032,0.032,-0.054,-0.054,-0.063,0.018,-0.006,-0.006,0.095,0.308,-0.293,0.099,0.099,-0.223,0.131,0.131,-0.096,-0.063,-0.345,0.059,0.059,0.258,0.258,-0.002,0.022
-0.076,-0.076,0.03,0.03,0.102,-0.025,-0.124,-0.124,0.11,0.11,0.081,0.081,-0.145,0.175,0.175,-0.25,-0.25,-0.393,0.169,-0.26,-0.26,-0.173,-0.124,-0.102,0.14,0.14,-0.157,0.077,0.077,-0.03,-0.023,-0.194,-0.227,-0.227,0.119,0.119,0.031,0.108
-0.014,-0.014,-0.088,-0.088,-0.054,0.091,-0.068,-0.068,0.029,0.029,-0.012,-0.012,0.27,-0.041,-0.041,-0.051,-0.051,0.356,-0.343,-0.045,-0.045,0.13,0.115,-0.159,0.096,0.096,-0.189,0.061,0.061,0.068,0.033,-0.284,0.005,0.005,0.169,0.169,-0.014,0.095
