0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-0.179,0.179,-0.126,0.126,0.0,0.0,0.0,-0.275,0.275,0.0,0.061,-0.061,0.0,-0.182,0.182,0.037,-0.037,0.0,0.037,-0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.04
-0.195,0.195,-0.025,0.025,0.0,0.0,0.0,0.096,-0.096,0.0,-0.094,0.094,0.0,0.091,-0.091,-0.167,0.167,0.0,-0.162,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053,0.053
0.133,-0.133,0.093,-0.093,0.0,0.0,0.0,-0.138,0.138,0.0,0.057,-0.057,0.0,0.089,-0.089,0.021,-0.021,0.0,0.005,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.135,0.135
0.03,-0.03,0.0,-0.0,0.0,0.0,0.0,-0.15,0.15,0.0,0.148,-0.148,0.0,-0.016,0.016,-0.019,0.019,0.0,-0.146,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,-0.117
-0.049,0.049,-0.085,0.085,0.0,0.0,0.0,0.038,-0.038,0.0,-0.032,0.032,0.0,0.17,-0.17,-0.064,0.064,0.0,0.007,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,-0.097
-0.059,0.059,0.096,-0.096,0.0,0.0,0.0,0.039,-0.039,0.0,-0.12,0.12,0.0,0.102,-0.102,-0.128,0.128,0.0,-0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,0.009
-0.105,0.105,-0.016,0.016,0.0,0.0,0.0,0.072,-0.072,0.0,0.125,-0.125,0.0,-0.032,0.032,0.002,-0.002,0.0,0.11,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,-0.035
-0.126,0.126,0.019,-0.019,0.0,0.0,0.0,0.133,-0.133,0.0,0.098,-0.098,0.0,-0.009,0.009,-0.169,0.169,0.0,-0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.076,0.076
-0.222,0.222,0.026,-0.026,0.0,0.0,0.0,-0.001,0.001,0.0,0.035,-0.035,0.0,0.0,-0.0,-0.249,0.249,0.0,-0.163,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,-0.075
0.093,-0.093,-0.168,0.168,0.0,0.0,0.0,-0.078,0.078,0.0,0.005,-0.005,0.0,0.027,-0.027,-0.062,0.062,0.0,-0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,0.075
-0.034,0.034,0.123,-0.123,0.0,0.0,0.0,-0.098,0.098,0.0,-0.029,0.029,0.0,0.071,-0.071,-0.045,0.045,0.0,-0.072,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,0.025
0.193,-0.193,0.064,-0.064,0.0,0.0,0.0,0.041,-0.041,0.0,-0.048,0.048,0.0,0.2,-0.2,0.165,-0.165,0.0,0.223,-0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,-0.051
0.085,-0.085,0.185,-0.185,0.0,0.0,0.0,-0.09,0.09,0.0,-0.151,0.151,0.0,0.053,-0.053,0.042,-0.042,0.0,0.069,-0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.07
0.119,-0.119,0.072,-0.072,0.0,0.0,0.0,0.042,-0.042,0.0,-0.01,0.01,0.0,0.029,-0.029,-0.128,0.128,0.0,-0.133,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.107,0.107
0.044,-0.044,0.13,-0.13,0.0,0.0,0.0,0.004,-0.004,0.0,0.006,-0.006,0.0,-0.059,0.059,-0.075,0.075,0.0,-0.073,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,-0.167
0.053,-0.053,0.119,-0.119,0.0,0.0,0.0,0.183,-0.183,0.0,0.165,-0.165,0.0,-0.015,0.015,0.089,-0.089,0.0,0.222,-0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,-0.083
0.0,-0.0,0.139,-0.139,0.0,0.0,0.0,-0.074,0.074,0.0,-0.03,0.03,0.0,-0.294,0.294,0.02,-0.02,0.0,0.122,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,-0.119
-0.216,0.216,0.093,-0.093,0.0,0.0,0.0,0.036,-0.036,0.0,0.09,-0.09,0.0,0.096,-0.096,-0.092,0.092,0.0,-0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,-0.031
0.012,-0.012,-0.062,0.062,0.0,0.0,0.0,0.032,-0.032,0.0,0.031,-0.031,0.0,0.053,-0.053,0.05,-0.05,0.0,0.158,-0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,-0.015
0.019,-0.019,0.034,-0.034,0.0,0.0,0.0,0.253,-0.253,0.0,-0.04,0.04,0.0,0.019,-0.019,-0.036,0.036,0.0,-0.062,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038,0.038
0.296,-0.296,-0.083,0.083,0.0,0.0,0.0,0.079,-0.079,0.0,-0.093,0.093,0.0,-0.14,0.14,0.073,-0.073,0.0,-0.012,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,-0.117
0.189,-0.189,0.085,-0.085,0.0,0.0,0.0,-0.073,0.073,0.0,-0.187,0.187,0.0,0.199,-0.199,0.0,-0.0,0.0,0.016,-0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.034,-0.034,0.046,-0.046,0.0,0.0,0.0,-0.052,0.052,0.0,0.037,-0.037,0.0,0.25,-0.25,-0.081,0.081,0.0,-0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,-0.039
-0.05,0.05,0.052,-0.052,0.0,0.0,0.0,0.0,-0.0,0.0,-0.11,0.11,0.0,-0.075,0.075,0.243,-0.243,0.0,0.118,-0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.077,0.077
-0.006,0.006,0.01,-0.01,0.0,0.0,0.0,-0.057,0.057,0.0,-0.06,0.06,0.0,-0.006,0.006,-0.295,0.295,0.0,-0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,-0.105
0.006,-0.006,-0.164,0.164,0.0,0.0,0.0,0.141,-0.141,0.0,-0.138,0.138,0.0,-0.001,0.001,-0.177,0.177,0.0,-0.144,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,0.007
-0.104,0.104,-0.1,0.1,0.0,0.0,0.0,-0.019,0.019,0.0,-0.11,0.11,0.0,0.077,-0.077,-0.08,0.08,0.0,-0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.023
-0.121,0.121,0.088,-0.088,0.0,0.0,0.0,-0.061,0.061,0.0,0.148,-0.148,0.0,-0.083,0.083,-0.03,0.03,0.0,-0.069,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056,0.056
0.015,-0.015,-0.116,0.116,0.0,0.0,0.0,0.079,-0.079,0.0,0.0,-0.0,0.0,0.203,-0.203,-0.007,0.007,0.0,-0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.092,0.092
0.073,-0.073,-0.037,0.037,0.0,0.0,0.0,0.126,-0.126,0.0,0.156,-0.156,0.0,0.094,-0.094,-0.043,0.043,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,-0.039
