0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
7,7,15,15,15,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,12,14,9,12,12,10,10,10,12,12,12,12,12,12,12,12,12,12,12,5,15,15,15,15,15,15,15,15,15,15,15,15,7,6,13,13,10,10,7,7,7,7,7,2,2,2,2,2,2,2,10,7,4,4,4,4,4,4,4,4,4,4
7,7,7,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,14,10,7,13,13,0,12,0,0,0,12,12,12,12,12,12,12,7,7,7,7,15,5,5,7,6,6,6,6,6,2,2,2,2,2,2,2,10,12,9,12,8,8,12,12,12,12,12,7,7,7,7,7,7,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,8,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,14,10,10,10,10,10,10,10,10,10,0,12,12,12,12,12,7,7,7,7,7,12,12,4,4,4,4,4,4,4,4,4,4
8,15,15,15,15,15,15,6,6,6,6,6,6,6,6,6,6,6,6,14,14,14,14,14,10,0,0,0,0,12,12,12,12,12,12,12,12,12,12,7,7,7,7,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,9,12,12,12,12,12,12,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,7,7,7,14,10,0,0,0,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,6,6,6,6,2,2,7,7,7,7,14,14,10,10,10,0,0,0,12,12,12,12,12,7,3,3,3,3,4,4,4,4,4,4,4,4,4,4
3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,14,14,14,14,14,14,14,14,9,9,9,9,9,12,12,12,12,12,12,7,7,7,7,10,10,10,10,10,10,10,10,7,15,15,15,7,7,12,12,12,12,5,5,5,2,10,12,12,12,12,12,12,12,12,12,8,4,4,4,4,4,4,4,4,4,4
7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,11,14,14,14,14,14,9,9,12,12,12,12,12,12,12,12,12,12,12,8,8,8,8,15,15,15,15,15,15,15,15,15,15,6,6,6,6,6,6,6,6,6,12,12,12,12,12,10,10,12,12,7,7,12,8,8,12,8,8,4,4,4,4,4,4,4,4,4,4
7,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,14,14,14,14,9,9,9,9,9,12,12,12,12,12,8,8,15,15,15,15,15,15,15,15,6,6,6,13,13,13,12,12,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,14,14,14,14,10,10,0,0,0,0,0,0,12,12,12,10,10,10,10,10,10,10,10,10,10,7,7,15,15,15,15,15,15,15,15,15,6,6,6,2,7,7,12,12,12,12,8,12,12,12,8,10,10,8,8,8,3,3,3,4,4,4,4,4,4,4,4,4,4
8,3,3,3,15,15,15,15,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,0,0,0,12,12,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,9,9,9,9,7,7,7,7,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
