0,1,2,3,4,5,6,7,8,9,10
0.286,0.632,0.632,0.655,0.812,0.812,0.911,0.911,0.913,0.958,0.976
0.198,0.746,0.746,0.646,0.693,0.781,0.93,0.93,0.967,0.933,0.906
0.156,0.502,0.709,0.92,0.92,0.988,0.863,0.863,0.892,0.892,0.875
0.192,0.488,0.751,0.751,0.982,0.928,0.928,0.719,0.719,0.809,0.809
-0.038,0.001,0.001,0.007,0.007,0.005,0.052,0.037,0.037,0.044,0.027
0.088,0.363,0.99,0.85,0.85,0.693,0.913,0.859,0.859,0.758,0.804
0.208,0.542,0.671,0.855,0.855,0.991,0.947,0.753,0.832,0.832,0.833
0.135,0.468,0.825,0.825,0.983,0.689,0.753,0.911,0.854,0.854,0.864
0.231,0.546,0.546,0.533,1.019,0.959,0.959,0.703,0.703,0.696,0.812
0.084,0.183,0.925,0.812,0.812,0.826,0.63,0.63,0.697,0.697,0.608
0.221,0.781,0.781,0.632,0.982,0.899,0.899,0.886,0.775,0.775,0.704
0.212,0.538,0.538,1.009,0.77,0.77,0.894,0.894,0.498,0.619,0.665
0.189,0.574,0.574,0.381,0.568,0.568,0.996,0.947,0.947,0.713,0.843
0.177,0.484,0.905,0.905,0.71,0.971,0.904,0.904,0.798,0.798,0.815
0.074,0.324,0.977,0.867,0.867,0.66,0.887,0.821,0.821,0.751,0.751
0.101,0.406,0.993,0.867,0.867,0.715,0.914,0.788,0.861,0.861,0.832
