0,1,2,3,4,5,6,7,8,9,10
-0.116,0.617,0.617,-0.221,0.223,0.223,0.393,0.393,0.073,0.073,-0.15
-0.429,0.002,0.002,-0.308,-0.025,-0.025,-0.144,-0.144,0.114,0.114,0.519
-0.42,-0.103,-0.103,0.035,-0.033,-0.033,-0.065,-0.065,-0.248,-0.248,0.231
-0.06,0.244,0.244,-0.28,0.36,0.36,-0.63,-0.63,-0.291,-0.291,0.292
0.169,0.072,0.072,0.592,-0.179,-0.179,-0.007,-0.007,0.133,0.133,0.061
-0.435,0.035,0.035,0.447,0.045,0.045,0.041,0.041,0.161,0.161,0.306
-0.399,0.052,0.052,-0.238,-0.779,-0.779,0.236,0.236,0.727,0.727,0.313
-0.219,-0.032,-0.032,0.055,-0.019,-0.019,-0.054,-0.054,-0.041,-0.041,-0.244
-0.088,-0.072,-0.072,-0.028,-0.099,-0.099,-0.564,-0.564,-0.058,-0.058,0.558
-0.385,-0.14,-0.14,0.01,-0.121,-0.121,-0.14,-0.14,-0.145,-0.145,-0.055
-0.205,0.469,0.469,0.407,0.281,0.281,0.102,0.102,-0.011,-0.011,-0.012
