0,1,2,3,4,5,6,7,8,9,10
0.485,-0.485,0.0,0.0,0.091,-0.091,0.095,-0.095,0.049,-0.049,0.0
0.0,0.0,0.0,0.0,0.0,0.044,-0.044,0.0,0.0,0.0,0.0
0.402,-0.402,0.192,-0.192,0.062,-0.062,0.0,0.0,0.0,0.035,-0.035
0.305,-0.305,0.0,0.196,-0.196,0.0,0.087,-0.087,0.0,0.047,-0.047
0.608,-0.608,0.0,0.186,-0.186,0.0,0.015,-0.015,0.036,-0.036,0.0
0.242,-0.242,0.159,-0.159,0.092,-0.092,0.0,0.0,0.0,0.023,-0.023
0.451,-0.451,0.099,-0.099,0.164,-0.164,0.0,0.016,-0.016,0.0,0.0
0.357,-0.357,0.195,-0.195,0.181,-0.181,0.009,-0.009,0.0,0.033,-0.033
0.112,-0.112,0.028,-0.028,0.08,-0.08,0.0,0.0,0.0,0.0,0.0
0.22,-0.22,0.252,-0.252,0.114,-0.114,0.0,0.0,0.051,-0.051,0.0
0.186,-0.186,0.0,0.0,0.099,-0.099,0.0,0.0,0.035,-0.035,0.0
0.345,-0.345,0.177,-0.177,0.0,0.073,-0.073,0.0,0.024,-0.024,0.0
0.234,-0.234,0.0,0.129,-0.129,0.0,0.038,-0.038,0.0,0.032,-0.032
0.484,-0.484,0.431,-0.431,0.079,-0.079,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.075,-0.075,0.0,0.09,-0.09,0.0,0.0,0.048,-0.048
0.243,-0.243,0.191,-0.191,0.0,0.0,0.066,-0.066,0.075,-0.075,0.0
