0,1,2,3,4,5,6,7,8,9,10
0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
-0.104,0.104,0.0,0.0,-0.076,0.076,0.0,0.0,-0.172,0.172,0.0
-0.137,0.137,0.0,0.0,-0.056,0.056,0.0,0.0,0.118,-0.118,0.0
0.156,-0.156,0.0,0.0,0.262,-0.262,0.0,0.0,0.17,-0.17,0.0
-0.076,0.076,0.0,0.0,0.106,-0.106,0.0,0.0,-0.032,0.032,0.0
-0.421,0.421,0.0,0.0,0.193,-0.193,0.0,0.0,0.21,-0.21,0.0
-0.144,0.144,0.0,0.0,-0.167,0.167,0.0,0.0,-0.116,0.116,0.0
-0.107,0.107,0.0,0.0,-0.121,0.121,0.0,0.0,-0.281,0.281,0.0
0.168,-0.168,0.0,0.0,-0.012,0.012,0.0,0.0,0.106,-0.106,0.0
-0.116,0.116,0.0,0.0,-0.17,0.17,0.0,0.0,-0.057,0.057,0.0
0.026,-0.026,0.0,0.0,-0.077,0.077,0.0,0.0,0.131,-0.131,0.0
