0,1,2,3,4,5,6,7,8,9,10
0.271,0.271,0.101,0.257,0.819,0.819,0.737,0.737,0.473,0.473,0.587
0.528,0.578,0.715,0.966,0.759,0.889,0.889,0.902,0.801,0.833,0.869
0.755,0.755,0.486,0.486,0.712,0.712,0.961,0.815,0.9,0.859,0.859
0.595,0.595,0.568,0.757,0.757,0.954,0.915,0.915,0.751,0.821,0.821
0.404,0.404,0.564,0.701,0.701,0.965,0.696,0.696,0.869,0.869,0.839
0.577,0.577,0.753,0.753,0.725,0.725,0.718,0.923,0.826,0.884,0.884
0.679,0.679,0.611,0.611,0.746,0.746,0.705,0.941,0.941,0.818,0.862
0.428,0.428,0.669,0.669,0.798,0.798,0.909,0.909,0.865,0.788,0.788
0.563,0.563,0.754,0.754,0.84,0.84,0.973,0.802,0.878,0.887,0.908
0.578,0.578,0.727,0.727,0.743,0.743,0.75,0.943,0.904,0.904,0.873
0.607,0.607,0.716,0.761,0.881,0.881,0.96,0.941,0.863,0.863,0.882
0.553,0.553,0.683,0.683,0.731,0.873,0.873,0.872,0.922,0.922,0.949
0.643,0.643,0.628,0.818,0.818,0.928,0.919,0.919,0.844,0.808,0.808
0.535,0.535,0.697,0.697,0.548,0.548,1.029,0.963,0.689,0.817,0.78
0.556,0.64,0.811,0.811,0.809,0.899,0.899,0.947,0.918,0.88,0.88
0.597,0.597,0.694,0.694,0.709,0.95,0.906,0.906,0.83,0.83,0.814
