0,1,2,3,4,5,6,7,8,9,10
0.537,0.537,0.206,0.206,0.104,0.104,0.169,-0.212,-0.212,-0.261,0.064
-0.033,-0.033,-0.123,-0.123,-0.153,-0.153,0.182,0.27,0.27,0.234,-0.252
-0.13,-0.13,0.214,0.214,0.465,0.465,0.386,-0.002,-0.002,0.578,0.555
-0.185,-0.185,-0.23,-0.23,0.379,0.379,0.084,0.294,0.294,-0.402,-0.011
-0.188,-0.188,0.068,0.068,-0.043,-0.043,-0.444,-0.313,-0.313,-0.181,-0.217
0.148,0.148,-0.19,-0.19,-0.024,-0.024,-0.437,-0.275,-0.275,0.288,0.093
0.185,0.185,0.359,0.359,0.064,0.064,0.147,0.107,0.107,0.256,0.07
0.176,0.176,0.101,0.101,0.029,0.029,-0.404,0.302,0.302,-0.365,0.268
-0.119,-0.119,-0.55,-0.55,-0.298,-0.298,-0.396,-0.232,-0.232,0.106,-0.073
-0.249,-0.249,0.077,0.077,-0.156,-0.156,0.176,-0.274,-0.274,0.19,0.562
-0.068,-0.068,-0.272,-0.272,-0.119,-0.119,0.148,-0.453,-0.453,-0.143,0.412
