0,1,2,3,4,5,6,7,8,9
0.176,0.268,0.463,0.785,0.785,0.858,0.858,0.647,0.647,0.822
0.124,0.228,0.763,0.763,0.436,0.896,0.668,0.668,0.767,0.661
0.133,0.248,0.419,0.563,0.811,0.811,0.863,0.863,0.725,0.781
0.13,0.236,0.419,0.546,0.806,0.806,0.828,0.828,0.74,0.838
0.263,0.422,0.514,0.822,0.822,0.637,0.744,0.744,0.772,0.713
0.44,0.914,0.914,0.871,0.594,0.72,0.72,0.671,0.769,0.769
0.138,0.271,0.423,0.889,0.889,0.811,0.811,0.802,0.569,0.709
0.21,0.322,0.399,0.611,0.611,0.831,0.831,0.847,0.701,0.701
0.13,0.216,0.465,0.822,0.822,0.605,0.605,0.849,0.767,0.767
0.402,0.732,0.732,0.853,0.853,0.591,0.868,0.868,0.769,0.78
