0,1,2,3,4,5,6,7,8,9
0.036,0.036,-0.387,-0.21,0.008,0.449,0.449,0.545,0.545,-0.676
-0.33,-0.33,-0.167,0.031,0.404,-0.1,-0.1,-0.064,-0.064,0.247
-0.326,-0.326,-0.305,-0.171,0.258,0.248,0.248,0.265,0.265,-0.224
-0.142,-0.142,0.087,-0.484,-0.585,0.259,0.259,-0.173,-0.173,0.464
-0.478,-0.478,0.306,0.132,-0.063,0.017,0.017,0.198,0.198,-0.142
-0.114,-0.114,-0.123,0.432,-0.052,0.324,0.324,0.399,0.399,-0.145
-0.056,-0.056,0.372,-0.551,-0.57,-0.037,-0.037,0.244,0.244,-0.175
-0.024,-0.024,-0.552,0.146,-0.187,0.077,0.077,-0.087,-0.087,0.374
0.007,0.007,-0.395,0.032,-0.233,-0.631,-0.631,-0.363,-0.363,-0.057
-0.056,-0.056,-0.113,-0.402,0.076,-0.237,-0.237,0.115,0.115,-0.027
