0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.012,-0.012,0.101,-0.101,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.032,0.032,0.011,-0.011,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011
0.231,-0.231,0.25,-0.25,0.0,-0.174,0.174,0.0,0.0,0.0,0.0,-0.013,0.013,-0.022,0.022,0.0,-0.043,0.043,0.0,0.0,-0.002,0.002
-0.075,0.075,0.035,-0.035,0.0,-0.018,0.018,0.0,0.0,0.0,0.0,0.0,-0.0,-0.007,0.007,0.0,0.022,-0.022,0.0,0.0,-0.026,0.026
0.047,-0.047,-0.012,0.012,0.0,-0.197,0.197,0.0,0.0,0.0,0.0,0.011,-0.011,-0.013,0.013,0.0,-0.069,0.069,0.0,0.0,0.033,-0.033
0.142,-0.142,0.043,-0.043,0.0,0.229,-0.229,0.0,0.0,0.0,0.0,0.004,-0.004,-0.029,0.029,0.0,-0.087,0.087,0.0,0.0,-0.026,0.026
0.171,-0.171,-0.126,0.126,0.0,0.023,-0.023,0.0,0.0,0.0,0.0,-0.051,0.051,-0.012,0.012,0.0,0.111,-0.111,0.0,0.0,-0.023,0.023
-0.067,0.067,0.065,-0.065,0.0,0.161,-0.161,0.0,0.0,0.0,0.0,0.013,-0.013,-0.037,0.037,0.0,0.103,-0.103,0.0,0.0,0.021,-0.021
-0.217,0.217,-0.001,0.001,0.0,-0.075,0.075,0.0,0.0,0.0,0.0,-0.057,0.057,-0.045,0.045,0.0,-0.055,0.055,0.0,0.0,0.045,-0.045
0.228,-0.228,0.129,-0.129,0.0,-0.207,0.207,0.0,0.0,0.0,0.0,-0.017,0.017,0.005,-0.005,0.0,0.108,-0.108,0.0,0.0,-0.063,0.063
0.01,-0.01,-0.088,0.088,0.0,0.176,-0.176,0.0,0.0,0.0,0.0,0.013,-0.013,0.06,-0.06,0.0,-0.026,0.026,0.0,0.0,0.001,-0.001
-0.168,0.168,0.274,-0.274,0.0,-0.059,0.059,0.0,0.0,0.0,0.0,-0.008,0.008,0.011,-0.011,0.0,-0.028,0.028,0.0,0.0,-0.024,0.024
-0.099,0.099,-0.075,0.075,0.0,-0.093,0.093,0.0,0.0,0.0,0.0,0.018,-0.018,-0.048,0.048,0.0,0.087,-0.087,0.0,0.0,-0.019,0.019
-0.055,0.055,-0.159,0.159,0.0,0.064,-0.064,0.0,0.0,0.0,0.0,-0.052,0.052,-0.015,0.015,0.0,-0.037,0.037,0.0,0.0,0.029,-0.029
0.0,-0.0,-0.151,0.151,0.0,0.062,-0.062,0.0,0.0,0.0,0.0,-0.006,0.006,0.016,-0.016,0.0,-0.031,0.031,0.0,0.0,0.048,-0.048
0.217,-0.217,-0.006,0.006,0.0,-0.05,0.05,0.0,0.0,0.0,0.0,-0.019,0.019,-0.023,0.023,0.0,-0.071,0.071,0.0,0.0,-0.008,0.008
0.131,-0.131,0.176,-0.176,0.0,-0.096,0.096,0.0,0.0,0.0,0.0,-0.018,0.018,0.03,-0.03,0.0,-0.01,0.01,0.0,0.0,0.0,-0.0
0.135,-0.135,-0.062,0.062,0.0,-0.014,0.014,0.0,0.0,0.0,0.0,-0.041,0.041,-0.018,0.018,0.0,-0.092,0.092,0.0,0.0,-0.036,0.036
-0.026,0.026,0.065,-0.065,0.0,-0.073,0.073,0.0,0.0,0.0,0.0,-0.012,0.012,0.0,-0.0,0.0,-0.023,0.023,0.0,0.0,-0.024,0.024
0.179,-0.179,0.271,-0.271,0.0,-0.167,0.167,0.0,0.0,0.0,0.0,-0.015,0.015,0.004,-0.004,0.0,0.0,-0.0,0.0,0.0,0.111,-0.111
-0.134,0.134,0.064,-0.064,0.0,-0.178,0.178,0.0,0.0,0.0,0.0,-0.04,0.04,0.048,-0.048,0.0,-0.043,0.043,0.0,0.0,-0.05,0.05
-0.06,0.06,0.166,-0.166,0.0,-0.027,0.027,0.0,0.0,0.0,0.0,-0.008,0.008,-0.033,0.033,0.0,0.027,-0.027,0.0,0.0,-0.038,0.038
0.164,-0.164,0.0,-0.0,0.0,-0.116,0.116,0.0,0.0,0.0,0.0,0.049,-0.049,0.006,-0.006,0.0,0.025,-0.025,0.0,0.0,0.006,-0.006
