0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-0.175,-0.175,0.003,0.003,0.099,0.324,0.324,0.328,-0.141,0.135,-0.059,0.237,0.237,-0.162,-0.162,0.07,0.117,0.117,-0.044,0.185,0.17,0.17
-0.012,-0.012,0.028,0.028,0.315,0.186,0.186,-0.151,0.218,0.015,-0.159,-0.335,-0.335,-0.27,-0.27,0.234,0.313,0.313,-0.052,-0.252,0.236,0.236
-0.079,-0.079,0.125,0.125,0.052,-0.131,-0.131,0.188,-0.013,-0.123,-0.258,-0.436,-0.436,0.158,0.158,-0.363,0.205,0.205,0.331,-0.046,-0.074,-0.074
0.288,0.288,-0.132,-0.132,0.286,0.253,0.253,-0.05,-0.175,0.249,0.177,-0.075,-0.075,-0.007,-0.007,0.182,-0.183,-0.183,0.019,0.098,-0.249,-0.249
0.042,0.042,-0.17,-0.17,0.189,0.097,0.097,0.069,-0.112,0.103,0.117,-0.181,-0.181,0.172,0.172,0.058,-0.115,-0.115,-0.1,0.342,0.189,0.189
0.087,0.087,-0.127,-0.127,0.184,0.017,0.017,0.136,-0.064,0.154,0.015,0.027,0.027,-0.015,-0.015,-0.19,-0.25,-0.25,0.069,-0.152,-0.222,-0.222
0.031,0.031,-0.087,-0.087,-0.388,0.14,0.14,0.276,-0.3,-0.28,0.065,-0.259,-0.259,-0.074,-0.074,0.092,-0.224,-0.224,0.13,-0.052,-0.207,-0.207
-0.017,-0.017,0.123,0.123,-0.119,-0.066,-0.066,-0.162,0.113,0.063,0.268,-0.041,-0.041,-0.109,-0.109,-0.31,-0.087,-0.087,0.093,0.111,0.238,0.238
0.187,0.187,-0.054,-0.054,0.472,0.209,0.209,-0.523,-0.173,-0.035,0.348,-0.163,-0.163,-0.162,-0.162,0.006,-0.003,-0.003,-0.121,0.339,-0.033,-0.033
-0.025,-0.025,0.121,0.121,-0.116,-0.238,-0.238,0.178,0.228,-0.295,-0.066,0.085,0.085,-0.41,-0.41,-0.084,-0.02,-0.02,0.357,0.089,-0.313,-0.313
0.178,0.178,-0.162,-0.162,0.161,0.1,0.1,0.233,-0.411,-0.555,0.206,0.15,0.15,-0.045,-0.045,-0.146,0.19,0.19,-0.047,-0.398,-0.024,-0.024
-0.057,-0.057,0.296,0.296,-0.064,-0.221,-0.221,-0.334,-0.086,0.071,0.077,0.144,0.144,-0.011,-0.011,0.037,-0.01,-0.01,0.349,0.113,-0.127,-0.127
0.073,0.073,0.254,0.254,-0.213,-0.304,-0.304,0.028,-0.02,-0.071,0.281,-0.192,-0.192,0.352,0.352,0.603,-0.164,-0.164,-0.562,0.149,0.125,0.125
0.532,0.532,-0.122,-0.122,-0.084,0.186,0.186,-0.157,-0.22,-0.216,-0.309,0.163,0.163,0.006,0.006,-0.101,0.07,0.07,0.053,-0.079,0.308,0.308
-0.134,-0.134,0.259,0.259,0.02,0.045,0.045,-0.114,-0.062,-0.199,-0.207,0.299,0.299,-0.167,-0.167,-0.02,0.113,0.113,-0.203,-0.184,-0.277,-0.277
0.159,0.159,0.045,0.045,-0.015,0.166,0.166,-0.338,0.091,0.398,0.309,-0.106,-0.106,0.149,0.149,-0.106,0.042,0.042,0.167,-0.242,-0.377,-0.377
-0.004,-0.004,-0.116,-0.116,-0.057,-0.069,-0.069,0.01,-0.504,-0.018,0.351,-0.205,-0.205,-0.182,-0.182,-0.03,0.47,0.47,0.031,0.113,0.175,0.175
0.011,0.011,-0.033,-0.033,-0.096,0.251,0.251,0.077,0.069,-0.262,-0.253,0.104,0.104,0.419,0.419,-0.079,-0.226,-0.226,0.227,0.318,-0.033,-0.033
-0.133,-0.133,-0.028,-0.028,0.289,0.019,0.019,-0.177,-0.218,-0.064,-0.067,0.221,0.221,0.373,0.373,0.027,-0.482,-0.482,0.066,0.107,0.08,0.08
-0.092,-0.092,0.216,0.216,-0.218,-0.087,-0.087,-0.145,-0.251,0.179,-0.063,-0.29,-0.29,-0.226,-0.226,0.221,-0.039,-0.039,-0.281,0.029,-0.138,-0.138
0.141,0.141,-0.044,-0.044,-0.232,-0.052,-0.052,0.152,0.281,0.157,-0.296,0.261,0.261,-0.175,-0.175,0.077,0.045,0.045,-0.131,0.438,0.012,0.012
-0.032,-0.032,0.401,0.401,-0.235,-0.113,-0.113,-0.027,0.119,0.09,0.116,0.145,0.145,0.108,0.108,-0.393,-0.077,-0.077,0.196,0.047,0.359,0.359
