0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.309,-0.309,0.0,0.0,0.0,0.0,0.03,-0.03,0.0,0.0,0.0,0.005,-0.005,0.0,0.0,0.008,-0.008,0.0,0.0,0.015,-0.015,0.009,-0.009,0.0,0.0
0.301,-0.301,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-0.007,0.0,0.0,0.0,0.01,-0.01,0.0,0.0
0.219,-0.219,0.0,0.0,0.023,-0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,-0.006,0.008,-0.008,0.012,-0.012,0.017,-0.017,0.0,0.0
0.294,-0.294,0.051,-0.051,0.0,0.07,-0.07,0.0,0.0,0.0,0.0,0.0,0.005,-0.005,0.0,0.011,-0.011,0.0,0.0,0.019,-0.019,0.0,0.0,0.008,-0.008
0.259,-0.259,0.0,0.0,0.0,0.052,-0.052,0.0,0.0,0.0,0.0,0.0,0.014,-0.014,0.0,0.014,-0.014,0.0,0.0,0.0,0.018,-0.018,0.0,0.006,-0.006
0.283,-0.283,0.0,0.0,0.048,-0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.014,-0.014,0.0,0.007,-0.007,0.015,-0.015,0.0,0.0,0.0,0.005,-0.005,0.0
0.205,-0.205,0.122,-0.122,0.0,0.104,-0.104,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.015,-0.015,0.0,0.0,0.0,0.017,-0.017,0.0,0.008,-0.008
0.286,-0.286,0.012,-0.012,0.0,0.06,-0.06,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.012,-0.012,0.0,0.0,0.02,-0.02,0.0,0.0,0.008,-0.008
0.271,-0.271,0.0,0.0,0.011,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.003,0.0,0.0,0.006,-0.006,0.0,0.016,-0.016,0.011,-0.011,0.0,0.0
0.244,-0.244,0.0,0.0,0.0,0.104,-0.104,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.013,-0.013,0.0,0.0,0.0,0.018,-0.018,0.013,-0.013,0.0
