0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.099,0.099,-0.151,0.151,0.251,-0.251,-0.159,0.159,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.065,0.065,-0.067,0.067,0.016,-0.016,0.0,0.0,0.0
0.282,-0.282,0.191,-0.191,0.22,-0.22,0.116,-0.116,0.0,0.0,0.0,0.0,0.055,-0.055,0.0,0.0,-0.003,0.003,0.08,-0.08,0.005,-0.005,0.0,0.0,0.0
0.019,-0.019,0.155,-0.155,-0.059,0.059,-0.193,0.193,0.0,0.0,0.0,0.0,0.142,-0.142,0.0,0.0,0.0,-0.0,0.085,-0.085,0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.026,-0.026,-0.054,0.054,0.05,-0.05,0.0,0.0,0.0,0.0,-0.046,0.046,0.0,0.0,0.143,-0.143,0.039,-0.039,0.013,-0.013,0.0,0.0,0.0
0.091,-0.091,0.112,-0.112,-0.054,0.054,-0.099,0.099,0.0,0.0,0.0,0.0,-0.034,0.034,0.0,0.0,0.216,-0.216,-0.007,0.007,-0.018,0.018,0.0,0.0,0.0
0.135,-0.135,-0.167,0.167,0.123,-0.123,-0.063,0.063,0.0,0.0,0.0,0.0,0.013,-0.013,0.0,0.0,-0.131,0.131,0.022,-0.022,-0.032,0.032,0.0,0.0,0.0
-0.164,0.164,-0.018,0.018,0.033,-0.033,0.113,-0.113,0.0,0.0,0.0,0.0,-0.074,0.074,0.0,0.0,0.131,-0.131,0.215,-0.215,0.018,-0.018,0.0,0.0,0.0
0.009,-0.009,-0.177,0.177,0.101,-0.101,-0.18,0.18,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,-0.244,0.244,0.009,-0.009,0.0,0.0,0.0
-0.306,0.306,-0.071,0.071,0.108,-0.108,-0.148,0.148,0.0,0.0,0.0,0.0,0.147,-0.147,0.0,0.0,-0.011,0.011,0.102,-0.102,0.005,-0.005,0.0,0.0,0.0
0.037,-0.037,0.172,-0.172,-0.025,0.025,0.231,-0.231,0.0,0.0,0.0,0.0,-0.019,0.019,0.0,0.0,-0.1,0.1,-0.086,0.086,0.004,-0.004,0.0,0.0,0.0
-0.009,0.009,0.016,-0.016,0.065,-0.065,-0.048,0.048,0.0,0.0,0.0,0.0,0.075,-0.075,0.0,0.0,0.087,-0.087,0.0,-0.0,0.027,-0.027,0.0,0.0,0.0
-0.269,0.269,-0.187,0.187,-0.1,0.1,-0.145,0.145,0.0,0.0,0.0,0.0,-0.02,0.02,0.0,0.0,-0.01,0.01,-0.031,0.031,0.009,-0.009,0.0,0.0,0.0
0.116,-0.116,0.0,-0.0,-0.096,0.096,0.228,-0.228,0.0,0.0,0.0,0.0,0.056,-0.056,0.0,0.0,0.038,-0.038,-0.018,0.018,0.012,-0.012,0.0,0.0,0.0
-0.043,0.043,-0.186,0.186,0.0,-0.0,-0.231,0.231,0.0,0.0,0.0,0.0,-0.05,0.05,0.0,0.0,-0.012,0.012,0.219,-0.219,-0.01,0.01,0.0,0.0,0.0
-0.03,0.03,-0.106,0.106,-0.083,0.083,-0.09,0.09,0.0,0.0,0.0,0.0,-0.138,0.138,0.0,0.0,0.052,-0.052,0.118,-0.118,0.002,-0.002,0.0,0.0,0.0
-0.113,0.113,0.056,-0.056,0.135,-0.135,0.015,-0.015,0.0,0.0,0.0,0.0,0.035,-0.035,0.0,0.0,0.009,-0.009,-0.04,0.04,0.007,-0.007,0.0,0.0,0.0
0.049,-0.049,-0.0,0.0,-0.163,0.163,0.014,-0.014,0.0,0.0,0.0,0.0,0.202,-0.202,0.0,0.0,0.098,-0.098,0.199,-0.199,0.006,-0.006,0.0,0.0,0.0
-0.24,0.24,-0.309,0.309,0.045,-0.045,0.0,-0.0,0.0,0.0,0.0,0.0,0.144,-0.144,0.0,0.0,0.029,-0.029,0.001,-0.001,0.006,-0.006,0.0,0.0,0.0
-0.05,0.05,0.083,-0.083,-0.135,0.135,0.043,-0.043,0.0,0.0,0.0,0.0,0.082,-0.082,0.0,0.0,0.008,-0.008,-0.214,0.214,-0.032,0.032,0.0,0.0,0.0
-0.094,0.094,0.01,-0.01,-0.066,0.066,0.065,-0.065,0.0,0.0,0.0,0.0,0.101,-0.101,0.0,0.0,-0.209,0.209,-0.002,0.002,-0.02,0.02,0.0,0.0,0.0
0.023,-0.023,-0.1,0.1,-0.007,0.007,0.004,-0.004,0.0,0.0,0.0,0.0,0.039,-0.039,0.0,0.0,0.031,-0.031,-0.053,0.053,0.002,-0.002,0.0,0.0,0.0
-0.019,0.019,0.241,-0.241,0.021,-0.021,0.182,-0.182,0.0,0.0,0.0,0.0,-0.068,0.068,0.0,0.0,-0.022,0.022,-0.048,0.048,-0.027,0.027,0.0,0.0,0.0
0.129,-0.129,0.242,-0.242,-0.132,0.132,0.055,-0.055,0.0,0.0,0.0,0.0,-0.212,0.212,0.0,0.0,-0.123,0.123,0.001,-0.001,0.02,-0.02,0.0,0.0,0.0
-0.273,0.273,-0.196,0.196,0.102,-0.102,-0.066,0.066,0.0,0.0,0.0,0.0,-0.055,0.055,0.0,0.0,0.022,-0.022,-0.026,0.026,-0.025,0.025,0.0,0.0,0.0
0.077,-0.077,0.047,-0.047,0.179,-0.179,0.131,-0.131,0.0,0.0,0.0,0.0,0.122,-0.122,0.0,0.0,0.211,-0.211,0.157,-0.157,-0.0,0.0,0.0,0.0,0.0
