0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.87,0.87,0.82,0.621,0.531,0.514,0.427,0.427,0.275,0.212,0.196,0.121,0.121,0.097,-0.036,-0.03,-0.03,0.061,-0.011,0.04,0.04,0.019,0.019,0.02,0.008
0.792,0.792,0.864,0.653,0.635,0.496,0.419,0.419,0.301,0.211,0.193,0.134,0.117,0.09,-0.042,-0.034,0.049,0.049,-0.023,-0.008,0.001,0.018,0.018,0.015,0.031
0.893,0.893,0.849,0.676,0.566,0.566,0.408,0.355,0.309,0.255,0.216,0.144,0.137,-0.052,0.095,-0.021,-0.021,-0.011,-0.011,0.054,0.054,0.022,0.022,0.02,0.034
0.866,0.866,0.739,0.739,0.509,0.476,0.476,0.4,0.269,0.209,0.202,0.123,0.11,0.11,-0.036,-0.028,-0.028,0.061,-0.016,0.039,0.039,0.002,0.025,0.021,0.021
0.81,0.81,0.835,0.565,0.522,0.369,0.369,0.327,0.209,0.189,0.162,0.098,0.094,0.094,-0.038,-0.028,-0.028,-0.018,-0.009,0.054,0.033,0.033,0.014,0.028,0.028
0.798,0.798,0.828,0.748,0.599,0.599,0.479,0.452,0.298,0.251,0.195,0.137,0.108,0.108,-0.03,-0.029,-0.029,0.045,0.045,0.047,-0.011,0.023,0.015,0.015,0.003
0.787,0.787,0.738,0.738,0.562,0.46,0.46,0.344,0.287,0.215,0.18,0.125,0.106,0.106,-0.04,-0.023,-0.023,-0.019,-0.006,0.045,0.032,0.032,0.031,0.024,0.024
0.874,0.874,0.732,0.732,0.529,0.443,0.443,0.392,0.261,0.211,0.195,0.116,0.106,0.106,-0.036,-0.028,-0.028,0.059,-0.016,0.038,0.038,0.0,0.025,0.022,0.022
0.781,0.781,0.785,0.738,0.594,0.594,0.479,0.387,0.306,0.239,0.191,0.138,0.11,0.11,-0.035,-0.027,-0.017,-0.017,-0.004,0.041,0.041,0.018,0.018,0.02,0.047
0.804,0.804,0.783,0.729,0.556,0.483,0.483,0.347,0.289,0.221,0.188,0.12,0.105,0.105,-0.039,-0.025,-0.025,-0.016,-0.009,0.05,0.037,0.037,0.022,0.022,0.028
