0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.028,0.028,0.011,-0.011,0.152,-0.152,0.017,-0.017,0.0,0.0,0.0,0.0,0.0,0.033,-0.033,0.0,0.0,0.032,-0.032,0.0,-0.082,0.082,0.118,-0.118,-0.116,0.116,-0.013,0.013,-0.023,0.023,0.0,0.0,0.0,0.0,0.135,-0.135,0.0,0.0
0.058,-0.058,0.017,-0.017,-0.051,0.051,0.103,-0.103,0.0,0.0,0.0,0.0,0.0,0.056,-0.056,0.0,0.0,-0.08,0.08,0.0,0.019,-0.019,-0.187,0.187,0.0,-0.0,0.11,-0.11,0.0,-0.0,0.0,0.0,0.0,0.0,-0.052,0.052,0.0,0.0
-0.012,0.012,0.071,-0.071,0.124,-0.124,-0.012,0.012,0.0,0.0,0.0,0.0,0.0,-0.167,0.167,0.0,0.0,0.061,-0.061,0.0,0.002,-0.002,0.043,-0.043,0.032,-0.032,-0.002,0.002,-0.021,0.021,0.0,0.0,0.0,0.0,0.047,-0.047,0.0,0.0
0.184,-0.184,0.079,-0.079,0.018,-0.018,-0.008,0.008,0.0,0.0,0.0,0.0,0.0,-0.088,0.088,0.0,0.0,-0.046,0.046,0.0,0.216,-0.216,0.064,-0.064,0.009,-0.009,0.214,-0.214,-0.052,0.052,0.0,0.0,0.0,0.0,-0.041,0.041,0.0,0.0
-0.027,0.027,-0.052,0.052,-0.138,0.138,0.106,-0.106,0.0,0.0,0.0,0.0,0.0,0.102,-0.102,0.0,0.0,0.086,-0.086,0.0,0.162,-0.162,0.086,-0.086,0.054,-0.054,-0.13,0.13,-0.025,0.025,0.0,0.0,0.0,0.0,0.008,-0.008,0.0,0.0
0.065,-0.065,0.02,-0.02,0.004,-0.004,-0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.018,-0.018,0.0,0.0,0.08,-0.08,0.0,-0.19,0.19,-0.178,0.178,0.134,-0.134,-0.129,0.129,0.05,-0.05,0.0,0.0,0.0,0.0,-0.038,0.038,0.0,0.0
-0.227,0.227,0.105,-0.105,0.224,-0.224,-0.106,0.106,0.0,0.0,0.0,0.0,0.0,0.062,-0.062,0.0,0.0,0.027,-0.027,0.0,0.141,-0.141,-0.086,0.086,0.057,-0.057,-0.079,0.079,0.035,-0.035,0.0,0.0,0.0,0.0,-0.001,0.001,0.0,0.0
-0.079,0.079,0.022,-0.022,0.056,-0.056,0.047,-0.047,0.0,0.0,0.0,0.0,0.0,-0.077,0.077,0.0,0.0,0.015,-0.015,0.0,-0.034,0.034,-0.08,0.08,0.025,-0.025,0.095,-0.095,-0.025,0.025,0.0,0.0,0.0,0.0,-0.059,0.059,0.0,0.0
-0.028,0.028,0.17,-0.17,0.141,-0.141,-0.076,0.076,0.0,0.0,0.0,0.0,0.0,0.156,-0.156,0.0,0.0,-0.088,0.088,0.0,-0.037,0.037,0.0,-0.0,0.154,-0.154,0.017,-0.017,0.046,-0.046,0.0,0.0,0.0,0.0,0.185,-0.185,0.0,0.0
0.142,-0.142,0.048,-0.048,-0.062,0.062,0.101,-0.101,0.0,0.0,0.0,0.0,0.0,-0.002,0.002,0.0,0.0,-0.048,0.048,0.0,0.056,-0.056,-0.205,0.205,0.046,-0.046,-0.183,0.183,0.027,-0.027,0.0,0.0,0.0,0.0,0.041,-0.041,0.0,0.0
