0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.045,-0.045,0.149,0.149,0.006,0.006,0.017,0.017,-0.092,0.105,0.061,-0.169,-0.328,0.135,0.135,-0.235,-0.038,0.011,0.011,0.055,-0.037,-0.037,-0.211,-0.211,-0.027,-0.027,-0.022,-0.022,-0.103,-0.103,0.009,0.042,-0.291,-0.231,0.023,0.023,0.199,0.325
0.189,0.189,0.036,0.036,-0.114,-0.114,0.144,0.144,0.226,-0.162,0.065,-0.0,-0.068,0.011,0.011,-0.084,-0.177,0.131,0.131,-0.298,-0.044,-0.044,-0.13,-0.13,0.347,0.347,-0.176,-0.176,-0.369,-0.369,0.462,0.371,0.182,-0.163,0.053,0.053,-0.081,0.302
0.062,0.062,0.031,0.031,-0.105,-0.105,-0.058,-0.058,-0.169,-0.165,0.293,-0.349,-0.079,0.201,0.201,0.091,0.23,-0.058,-0.058,-0.199,0.075,0.075,0.054,0.054,-0.088,-0.088,0.01,0.01,0.014,0.014,0.034,-0.028,-0.024,-0.049,-0.059,-0.059,-0.173,0.106
0.009,0.009,-0.108,-0.108,-0.002,-0.002,-0.028,-0.028,-0.085,-0.124,0.211,-0.155,-0.228,0.17,0.17,-0.17,-0.07,0.039,0.039,0.252,0.181,0.181,0.165,0.165,-0.17,-0.17,0.166,0.166,0.211,0.211,0.018,0.205,-0.276,-0.335,0.192,0.192,0.459,-0.035
0.01,0.01,-0.052,-0.052,0.032,0.032,0.137,0.137,0.203,-0.283,0.251,0.014,0.049,-0.183,-0.183,0.074,0.187,-0.021,-0.021,0.266,-0.047,-0.047,0.173,0.173,-0.184,-0.184,0.059,0.059,0.233,0.233,0.087,0.125,-0.147,-0.258,0.247,0.247,0.234,0.034
0.105,0.105,0.036,0.036,-0.21,-0.21,-0.008,-0.008,0.298,-0.05,-0.063,-0.059,-0.292,0.125,0.125,-0.173,-0.146,0.126,0.126,-0.241,-0.013,-0.013,0.176,0.176,0.184,0.184,-0.155,-0.155,-0.154,-0.154,-0.159,-0.167,-0.054,0.047,-0.138,-0.138,-0.011,-0.028
0.102,0.102,-0.308,-0.308,0.193,0.193,0.054,0.054,0.084,0.184,-0.106,0.121,0.006,0.013,0.013,-0.098,-0.113,0.238,0.238,0.051,-0.21,-0.21,0.008,0.008,0.091,0.091,-0.025,-0.025,0.041,0.041,0.119,0.192,0.033,0.177,-0.006,-0.006,-0.127,0.06
-0.134,-0.134,0.063,0.063,-0.019,-0.019,-0.15,-0.15,-0.187,0.146,-0.137,0.25,-0.168,0.112,0.112,0.123,0.02,0.161,0.161,-0.063,-0.064,-0.064,0.006,0.006,0.058,0.058,-0.183,-0.183,-0.121,-0.121,-0.013,-0.232,0.185,-0.025,-0.1,-0.1,0.045,-0.288
0.052,0.052,0.035,0.035,-0.136,-0.136,-0.102,-0.102,-0.205,0.247,-0.187,0.06,0.141,-0.125,-0.125,-0.03,-0.199,-0.228,-0.228,0.027,0.195,0.195,0.311,0.311,-0.188,-0.188,0.258,0.258,0.336,0.336,-0.216,-0.099,-0.446,0.04,0.051,0.051,0.122,0.098
-0.091,-0.091,-0.041,-0.041,-0.069,-0.069,-0.158,-0.158,0.033,-0.001,0.02,-0.16,-0.052,0.062,0.062,-0.079,0.022,-0.076,-0.076,0.111,0.124,0.124,0.03,0.03,0.094,0.094,0.188,0.188,-0.042,-0.042,-0.024,0.023,-0.118,-0.03,0.025,0.025,0.052,0.076
-0.077,-0.077,0.185,0.185,-0.134,-0.134,0.024,0.024,0.265,-0.054,0.042,0.024,0.096,-0.118,-0.118,0.139,0.071,-0.065,-0.065,-0.163,-0.171,-0.171,-0.017,-0.017,-0.088,-0.088,-0.094,-0.094,0.263,0.263,-0.102,-0.105,0.166,0.194,-0.174,-0.174,-0.112,-0.092
0.136,0.136,0.163,0.163,-0.146,-0.146,0.207,0.207,-0.123,-0.239,0.117,-0.037,-0.199,0.204,0.204,-0.014,0.045,-0.023,-0.023,-0.036,-0.144,-0.144,0.083,0.083,-0.157,-0.157,0.049,0.049,0.247,0.247,0.226,0.107,0.089,0.176,-0.064,-0.064,0.038,-0.027
-0.102,-0.102,-0.068,-0.068,0.058,0.058,-0.094,-0.094,-0.053,-0.24,0.118,0.161,0.008,-0.16,-0.16,-0.211,-0.272,-0.288,-0.288,-0.044,0.056,0.056,-0.001,-0.001,0.024,0.024,-0.349,-0.349,-0.107,-0.107,0.03,0.014,-0.104,-0.006,-0.072,-0.072,-0.12,0.261
-0.107,-0.107,0.104,0.104,-0.098,-0.098,0.069,0.069,0.142,-0.092,-0.013,0.255,0.126,-0.204,-0.204,0.152,0.087,0.028,0.028,-0.244,0.041,0.041,0.053,0.053,0.128,0.128,0.152,0.152,-0.149,-0.149,0.058,-0.01,-0.159,-0.064,0.136,0.136,0.084,0.055
0.083,0.083,0.163,0.163,-0.188,-0.188,-0.057,-0.057,0.012,-0.051,0.122,-0.255,0.306,-0.259,-0.259,0.048,0.114,0.037,0.037,0.117,0.01,0.01,0.06,0.06,0.017,0.017,-0.164,-0.164,-0.008,-0.008,0.102,0.095,0.043,0.186,0.13,0.13,0.072,-0.303
0.084,0.084,0.059,0.059,-0.082,-0.082,0.057,0.057,0.099,0.116,-0.166,0.027,-0.022,0.112,0.112,0.232,-0.072,0.212,0.212,-0.116,-0.221,-0.221,-0.057,-0.057,-0.039,-0.039,0.126,0.126,0.047,0.047,0.507,0.383,0.028,-0.223,0.284,0.284,0.161,-0.094
-0.105,-0.105,0.098,0.098,0.006,0.006,0.001,0.001,-0.298,0.182,-0.12,-0.066,0.136,-0.129,-0.129,0.252,0.256,0.315,0.315,0.08,-0.069,-0.069,-0.01,-0.01,-0.02,-0.02,-0.195,-0.195,0.069,0.069,0.18,0.191,0.242,0.247,-0.148,-0.148,-0.365,-0.121
-0.135,-0.135,0.017,0.017,-0.135,-0.135,-0.033,-0.033,0.04,0.036,-0.132,0.082,0.309,-0.24,-0.24,-0.025,-0.018,0.095,0.095,-0.204,-0.2,-0.2,-0.079,-0.079,-0.274,-0.274,0.073,0.073,0.243,0.243,0.112,0.061,-0.096,0.049,-0.034,-0.034,0.038,0.05
