0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.393,0.393,0.026,0.354,0.354,-0.311,-0.311,-0.236,0.286,0.046,-0.145,0.001,0.194,0.194,0.058,-0.164,-0.381,0.323,0.297,0.159,0.159,0.019,0.114,0.124,0.055
0.136,0.136,0.113,0.065,0.065,0.008,0.008,0.109,0.013,-0.226,0.137,0.247,-0.395,-0.395,0.105,-0.048,-0.009,-0.173,-0.166,-0.007,-0.007,-0.237,-0.089,-0.257,0.029
0.176,0.176,-0.041,-0.001,-0.001,-0.212,-0.212,-0.349,-0.181,0.171,-0.169,-0.324,0.025,0.025,-0.09,0.013,-0.154,-0.016,-0.025,0.014,0.014,0.174,-0.142,-0.053,0.103
-0.102,-0.102,-0.229,-0.233,-0.233,0.119,0.119,-0.339,-0.233,-0.174,0.159,0.094,-0.237,-0.237,0.23,-0.264,-0.34,0.348,0.331,0.176,0.176,0.046,-0.205,-0.079,-0.071
0.135,0.135,-0.039,-0.035,-0.035,0.052,0.052,0.293,-0.11,-0.036,0.214,0.158,0.007,0.007,0.259,-0.352,-0.143,0.413,0.372,0.378,0.378,0.083,0.002,0.06,-0.128
0.014,0.014,-0.229,0.09,0.09,0.027,0.027,-0.208,0.19,0.174,-0.017,-0.227,-0.168,-0.168,-0.29,0.329,0.154,-0.119,-0.106,-0.031,-0.031,-0.094,0.205,0.24,-0.276
0.093,0.093,0.009,0.241,0.241,0.024,0.024,0.215,-0.254,-0.354,0.321,0.143,-0.008,-0.008,0.008,0.114,0.241,-0.163,-0.168,-0.284,-0.284,0.261,-0.235,-0.055,0.004
-0.03,-0.03,-0.128,0.099,0.099,-0.096,-0.096,0.268,0.064,0.033,0.14,-0.372,-0.089,-0.089,-0.442,0.39,-0.107,0.477,0.495,0.279,0.279,-0.027,0.007,0.061,0.063
-0.016,-0.016,0.073,0.146,0.146,-0.239,-0.239,0.093,0.094,0.121,-0.048,-0.096,-0.151,-0.151,0.006,-0.038,-0.084,-0.179,-0.236,-0.207,-0.207,-0.302,0.183,0.05,-0.069
-0.031,-0.031,-0.159,0.068,0.068,0.136,0.136,0.051,0.074,-0.086,-0.184,0.082,0.38,0.38,0.243,-0.224,-0.04,0.164,0.157,0.167,0.167,-0.24,0.431,0.493,-0.23
0.078,0.078,0.321,0.378,0.378,0.057,0.057,-0.362,-0.16,0.272,-0.224,0.073,0.003,0.003,-0.027,0.033,0.316,-0.023,-0.048,-0.052,-0.052,0.024,-0.026,-0.124,0.306
-0.051,-0.051,-0.073,-0.188,-0.188,0.389,0.389,0.022,-0.318,-0.086,0.102,-0.079,0.074,0.074,-0.206,0.139,-0.249,0.071,0.079,0.191,0.191,-0.083,0.14,0.182,-0.271
0.118,0.118,-0.071,0.206,0.206,-0.182,-0.182,-0.045,-0.02,-0.121,-0.2,0.117,-0.312,-0.312,0.194,-0.162,0.028,0.093,0.133,0.231,0.231,0.174,-0.09,0.157,-0.152
