0,1,2,3,4,5,6,7,8,9
0.188,0.279,0.502,0.862,0.862,0.796,0.796,0.672,0.672,0.691
0.187,0.317,0.832,0.832,0.562,0.607,0.607,0.787,0.787,0.825
0.287,0.441,0.487,0.787,0.787,0.935,0.789,0.789,0.803,0.683
0.153,0.241,0.689,0.689,0.889,0.839,0.683,0.683,0.76,0.54
0.21,0.313,0.551,0.604,0.821,0.821,0.814,0.814,0.895,0.78
0.169,0.293,0.762,0.762,0.845,0.845,0.6,0.6,0.603,0.65
0.2,0.321,0.478,0.849,0.849,0.861,0.78,0.78,0.635,0.657
0.163,0.285,0.761,0.761,0.89,0.567,0.645,0.645,0.765,0.695
0.228,0.374,0.821,0.821,0.885,0.528,0.809,0.714,0.714,0.62
0.181,0.276,0.786,0.786,0.49,0.567,0.881,0.794,0.794,0.724
