0,1,2,3,4,5,6,7,8,9
-0.224,0.564,0.346,-0.356,-0.356,0.552,-0.177,-0.177,-0.309,0.289
0.373,-0.011,-0.107,-0.141,-0.141,0.292,-0.013,-0.013,0.282,-0.206
0.559,0.09,0.427,-0.306,-0.306,-0.081,0.439,0.439,-0.038,-0.105
-0.37,-0.283,0.556,0.201,0.201,-0.209,0.539,0.539,0.545,-0.565
-0.343,0.064,-0.443,-0.036,-0.036,0.067,-0.029,-0.029,-0.094,0.08
0.181,-0.269,0.184,-0.235,-0.235,-0.201,-0.221,-0.221,0.124,-0.163
0.28,-0.266,0.265,0.214,0.214,0.362,0.055,0.055,-0.127,0.381
-0.287,-0.539,-0.124,-0.472,-0.472,0.02,0.134,0.134,-0.116,-0.069
0.171,-0.375,0.25,-0.282,-0.282,0.565,-0.291,-0.291,-0.687,0.236
-0.146,-0.119,-0.003,-0.174,-0.174,0.251,-0.148,-0.148,-0.013,0.552
