0,1,2,3,4,5,6,7,8,9
0.213,0.36,-0.173,-0.173,0.314,-0.306,-0.306,-0.524,-0.413,-0.413
0.301,0.372,-0.258,-0.258,-0.491,0.571,0.571,0.366,0.46,0.46
-0.219,0.265,-0.012,-0.012,-0.523,0.356,0.356,-0.023,0.418,0.418
-0.038,-0.132,0.238,0.238,-0.01,-0.217,-0.217,0.193,-0.135,-0.135
0.521,0.549,-0.131,-0.131,-0.053,0.042,0.042,0.492,0.358,0.358
-0.043,-0.096,-0.162,-0.162,-0.371,0.15,0.15,0.119,-0.189,-0.189
-0.4,0.298,-0.191,-0.191,-0.009,-0.013,-0.013,-0.212,-0.05,-0.05
-0.517,0.424,0.129,0.129,0.388,-0.354,-0.354,0.229,-0.151,-0.151
0.005,-0.243,-0.486,-0.486,0.169,-0.054,-0.054,0.404,0.266,0.266
-0.337,-0.076,-0.302,-0.302,-0.259,0.332,0.332,0.191,0.232,0.232
