0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.219,-0.219,0.0,0.0,0.091,-0.091,0.011,-0.011
0.0,0.0,0.278,-0.278,0.0,0.11,-0.11,0.056,-0.056,0.0
0.0,0.0,0.26,-0.26,0.0,0.139,-0.139,0.0,0.0,0.0
0.0,0.0,0.0,0.101,-0.101,0.117,-0.117,0.028,-0.028,0.0
0.0,0.0,0.232,-0.232,0.0,0.0,0.021,-0.021,0.075,-0.075
0.0,0.0,0.224,-0.224,0.0,0.0,0.081,-0.081,0.0,0.0
0.0,0.0,0.0,0.095,-0.095,0.0,0.013,-0.013,0.07,-0.07
0.0,0.0,0.245,-0.245,0.0,0.0,0.095,-0.095,0.0,0.0
0.0,0.0,0.0,0.225,-0.225,0.0,0.0,0.09,-0.09,0.0
0.0,0.0,0.188,-0.188,0.064,-0.064,0.069,-0.069,0.0,0.0
