0,1,2,3,4,5,6,7,8,9
0.087,0.281,0.475,0.867,0.831,0.831,0.732,0.732,0.762,0.64
0.107,0.368,0.519,0.519,0.821,0.821,0.753,0.753,0.861,0.861
0.1,0.315,0.824,0.824,0.825,0.825,0.819,0.435,0.574,0.574
0.195,0.45,0.59,0.795,0.795,0.769,0.769,0.953,0.763,0.749
0.097,0.29,0.77,0.77,0.899,0.801,0.533,0.641,0.641,0.671
0.085,0.282,0.766,0.766,0.553,0.553,0.619,0.619,0.829,0.829
0.091,0.262,0.503,0.888,0.781,0.781,0.718,0.718,0.778,0.635
0.09,0.304,0.78,0.78,0.53,0.603,0.603,0.723,0.781,0.855
0.095,0.294,0.499,0.718,0.718,0.673,0.822,0.822,0.872,0.809
0.213,0.829,0.829,0.431,0.759,0.759,0.551,0.721,0.663,0.663
