0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.212,-0.212,0.079,-0.079,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.004,-0.004,0.0,0.0,0.005,-0.005,0.0,0.0,0.0
0.0,0.191,-0.191,0.096,-0.096,0.0,0.0,0.057,-0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,-0.016
0.273,-0.273,0.0,0.104,-0.104,0.02,-0.02,0.007,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.229,-0.229,0.153,-0.153,0.051,-0.051,0.033,-0.033,0.0,0.023,-0.023,0.033,-0.033,0.0,0.0,0.0,0.0,0.011,-0.011,0.0
0.0,0.208,-0.208,0.0,0.0,0.0,0.061,-0.061,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.001,-0.001
0.262,-0.262,0.155,-0.155,0.0,0.0,0.083,-0.083,0.0,0.0,0.0,0.0,0.005,-0.005,0.0,0.0,0.0,0.0,0.011,-0.011
0.147,-0.147,0.0,0.104,-0.104,0.0,0.0,0.0,0.09,-0.09,0.0,0.0,0.0,0.003,-0.003,0.0,0.0,0.0,0.0,0.0
0.185,-0.185,0.109,-0.109,0.0,0.0,0.0,0.0,0.095,-0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.093,-0.093,0.158,-0.158,0.005,-0.005,0.0,0.0,0.115,-0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075,-0.075,0.101,-0.101,0.0,0.0,0.0,0.029,-0.029,0.019,-0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.003
