0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.046,-0.046,0.159,-0.159,0.0,0.0,0.0,0.0,0.177,-0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.174,0.174,0.091,-0.091,0.0,0.0,0.0,0.0,-0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.128,-0.128,-0.319,0.319,0.0,0.0,0.0,0.0,-0.045,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.19,0.19,-0.188,0.188,0.0,0.0,0.0,0.0,0.152,-0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,-0.006,-0.226,0.226,0.0,0.0,0.0,0.0,0.008,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.121,-0.121,-0.068,0.068,0.0,0.0,0.0,0.0,-0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,-0.006,0.112,-0.112,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-0.19,0.081,-0.081,0.0,0.0,0.0,0.0,-0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.002,0.002,0.009,-0.009,0.0,0.0,0.0,0.0,-0.088,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.138,0.138,0.176,-0.176,0.0,0.0,0.0,0.0,0.113,-0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.022,-0.022,-0.027,0.027,0.0,0.0,0.0,0.0,0.109,-0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.205,0.205,-0.001,0.001,0.0,0.0,0.0,0.0,-0.069,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.141,-0.141,-0.09,0.09,0.0,0.0,0.0,0.0,0.059,-0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.191,0.191,0.098,-0.098,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.029,0.029,-0.152,0.152,0.0,0.0,0.0,0.0,-0.053,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.073,-0.073,-0.124,0.124,0.0,0.0,0.0,0.0,0.084,-0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.098,-0.098,0.224,-0.224,0.0,0.0,0.0,0.0,-0.157,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.193,-0.193,0.0,-0.0,0.0,0.0,0.0,0.0,0.253,-0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.0,0.31,-0.31,0.0,0.0,0.0,0.0,0.044,-0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.245,0.073,-0.073,0.0,0.0,0.0,0.0,0.081,-0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
