0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.791,0.791,0.858,0.858,0.879,0.771,0.655,0.584,0.438,0.438,0.283,-0.018,-0.018,0.167,0.153,0.022,0.022,0.058,0.085,0.109
0.956,0.743,0.743,0.797,0.797,0.811,0.717,0.633,0.633,0.576,0.381,0.231,0.189,-0.022,-0.01,0.022,0.048,0.115,0.083,0.083
0.764,0.764,0.893,0.775,0.775,0.717,0.717,0.555,0.555,0.469,0.297,0.195,-0.026,-0.018,0.132,0.103,0.087,0.025,0.04,0.058
0.747,0.747,0.794,0.794,0.884,0.884,0.731,0.731,0.616,0.422,0.422,0.222,0.222,0.147,-0.01,-0.003,0.088,0.048,0.048,0.039
0.895,0.778,0.778,0.799,0.755,0.739,0.616,0.616,0.541,0.355,0.305,0.17,0.17,-0.025,-0.012,0.014,0.03,0.06,0.101,0.101
0.81,0.81,0.854,0.854,0.833,0.665,0.576,0.576,0.569,0.422,0.292,0.194,-0.018,-0.018,0.161,0.018,0.031,0.056,0.103,0.103
0.803,0.803,0.896,0.863,0.863,0.792,0.704,0.571,0.481,0.481,0.321,0.196,0.141,-0.018,-0.018,0.101,0.088,0.024,0.041,0.046
0.845,0.845,0.865,0.865,0.856,0.77,0.699,0.645,0.501,0.501,0.312,0.19,0.163,-0.017,-0.017,0.107,0.096,0.024,0.037,0.061
0.885,0.885,0.8,0.8,0.763,0.763,0.794,0.602,0.484,0.484,0.318,0.206,0.144,-0.021,-0.015,0.103,0.084,0.026,0.044,0.053
0.838,0.838,0.75,0.75,0.841,0.797,0.689,0.507,0.507,0.297,0.297,-0.018,-0.015,0.01,0.016,0.185,0.056,0.152,0.108,0.108
