0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.149,0.046,0.046,-0.09,-0.09,-0.054,0.225,-0.148,-0.148,-0.104,0.113,0.31,-0.116,0.037,-0.083,0.312,0.078,0.236,-0.199,-0.199
0.152,0.109,0.109,-0.223,-0.223,-0.052,0.277,0.276,0.276,0.405,-0.185,0.239,0.576,-0.257,-0.359,0.218,-0.486,0.408,-0.146,-0.146
-0.075,0.036,0.036,0.038,0.038,0.09,-0.152,0.126,0.126,-0.109,0.015,0.183,0.319,-0.065,0.219,0.217,0.025,0.177,-0.079,-0.079
0.094,-0.233,-0.233,-0.167,-0.167,-0.354,0.247,0.178,0.178,0.067,-0.009,-0.287,-0.103,-0.33,-0.111,0.091,0.216,-0.166,-0.019,-0.019
-0.096,0.304,0.304,0.028,0.028,0.071,0.093,0.433,0.433,0.216,0.39,-0.005,-0.302,0.052,-0.043,0.058,-0.171,-0.103,-0.417,-0.417
-0.236,0.071,0.071,0.134,0.134,-0.099,-0.317,0.028,0.028,-0.199,-0.043,-0.048,-0.23,-0.286,-0.465,-0.26,0.114,0.179,0.106,0.106
0.031,-0.059,-0.059,-0.132,-0.132,0.119,-0.262,-0.155,-0.155,-0.097,0.154,-0.486,-0.309,-0.086,-0.137,-0.07,0.376,0.156,-0.114,-0.114
0.579,-0.025,-0.025,0.03,0.03,-0.229,-0.155,-0.053,-0.053,0.029,-0.127,0.075,0.005,-0.099,0.206,0.363,-0.014,-0.08,-0.139,-0.139
-0.148,0.031,0.031,0.009,0.009,0.125,0.102,0.04,0.04,-0.121,-0.267,0.098,0.002,-0.315,0.103,0.258,-0.096,0.019,-0.046,-0.046
-0.282,-0.088,-0.088,-0.103,-0.103,-0.194,-0.13,-0.275,-0.275,-0.183,0.266,0.103,-0.085,-0.109,0.257,0.156,-0.411,0.188,-0.064,-0.064
0.12,0.107,0.107,-0.208,-0.208,-0.194,-0.086,0.128,0.128,-0.108,0.355,0.223,0.202,-0.029,-0.016,-0.148,0.241,-0.035,0.488,0.488
-0.237,0.063,0.063,0.244,0.244,0.211,0.048,0.106,0.106,0.053,-0.059,0.296,0.265,-0.081,-0.001,-0.138,0.307,0.629,-0.029,-0.029
-0.105,-0.167,-0.167,0.026,0.026,-0.018,-0.121,-0.23,-0.23,-0.033,0.482,0.14,0.08,-0.507,-0.364,0.106,0.037,-0.133,0.106,0.106
-0.158,-0.129,-0.129,0.13,0.13,0.189,-0.325,-0.408,-0.408,-0.447,-0.311,0.494,-0.038,0.079,-0.044,0.01,-0.026,-0.245,-0.17,-0.17
-0.347,-0.146,-0.146,-0.114,-0.114,-0.346,-0.07,0.038,0.038,0.022,0.153,0.022,0.198,0.529,0.33,0.298,-0.017,0.018,-0.366,-0.366
0.206,-0.171,-0.171,0.004,0.004,0.2,-0.109,0.089,0.089,0.023,0.3,0.057,-0.181,0.216,0.394,-0.104,0.104,0.074,-0.023,-0.023
-0.166,0.477,0.477,0.037,0.037,0.018,0.114,-0.044,-0.044,0.218,-0.147,-0.17,0.005,-0.007,0.203,0.323,-0.08,-0.1,0.132,0.132
0.14,-0.191,-0.191,0.422,0.422,0.415,-0.481,-0.268,-0.268,-0.605,0.141,0.001,0.219,0.022,-0.029,0.232,-0.343,0.061,-0.011,-0.011
-0.151,0.214,0.214,0.209,0.209,0.257,-0.221,-0.075,-0.075,-0.186,0.013,0.067,0.209,-0.025,0.079,-0.13,0.225,-0.297,-0.171,-0.171
0.315,0.071,0.071,-0.239,-0.239,-0.457,0.346,-0.27,-0.27,-0.017,-0.051,0.17,0.119,0.084,-0.018,-0.416,0.092,0.167,-0.193,-0.193
