0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.201,-0.201,0.0,0.0,0.117,-0.117,0.065,-0.065,0.0,0.0,0.0,0.0,0.0,0.015,-0.015,0.003,-0.003,0.0,0.0,0.0,0.0,0.0
0.189,-0.189,0.135,-0.135,0.0,0.0,0.0,0.0,0.101,-0.101,0.0,0.0,0.0,0.0,0.004,-0.004,0.0,0.007,-0.007,0.0,0.0,0.0
0.0,0.271,-0.271,0.0,0.097,-0.097,0.051,-0.051,0.0,0.0,0.0,0.0,0.0,0.014,-0.014,0.004,-0.004,0.0,0.0,0.0,0.0,0.0
0.208,-0.208,0.115,-0.115,0.0,0.059,-0.059,0.0,0.0,0.0,0.0,0.027,-0.027,0.016,-0.016,0.004,-0.004,0.004,-0.004,0.0,0.0,0.0
0.302,-0.302,0.0,0.114,-0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,-0.013,0.004,-0.004,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,-0.125,0.1,-0.1,0.0,0.007,-0.007,0.0,0.0,0.0,0.0,0.012,-0.012,0.001,-0.001,0.006,-0.006,0.0,0.0,0.0
0.0,0.084,-0.084,0.18,-0.18,0.0,0.0,0.144,-0.144,0.0,0.0,0.0,0.0,0.0,0.006,-0.006,0.0,0.001,-0.001,0.0,0.0,0.0
0.204,-0.204,0.0,0.092,-0.092,0.0,0.0,0.067,-0.067,0.0,0.0,0.022,-0.022,0.009,-0.009,0.004,-0.004,0.009,-0.009,0.0,0.0,0.0
0.26,-0.26,0.179,-0.179,0.0,0.0,0.0,0.0,0.075,-0.075,0.0,0.0,0.0,0.01,-0.01,0.0,0.01,-0.01,0.0,0.0,0.0,0.0
0.136,-0.136,0.023,-0.023,0.114,-0.114,0.0,0.0,0.068,-0.068,0.0,0.0,0.0,0.006,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.313,-0.313,0.151,-0.151,0.0,0.071,-0.071,0.0,0.0,0.039,-0.039,0.0,0.0,0.005,-0.005,0.0,0.0,0.0,0.011,-0.011,0.005,-0.005
0.175,-0.175,0.0,0.093,-0.093,0.045,-0.045,0.021,-0.021,0.0,0.0,0.025,-0.025,0.014,-0.014,0.006,-0.006,0.0,0.0,0.0,0.0,0.0
0.142,-0.142,0.117,-0.117,0.0,0.0,0.0,0.015,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.003,0.0,0.0,0.0,0.005,-0.005
0.194,-0.194,0.0,0.109,-0.109,0.0,0.0,0.0,0.023,-0.023,0.0,0.021,-0.021,0.016,-0.016,0.007,-0.007,0.0,0.0,0.0,0.0,0.0
