0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.795,0.795,0.86,0.787,0.728,0.728,0.646,0.646,0.627,0.467,0.285,0.199,0.163,0.112,0.112,-0.018,-0.018,-0.008,0.016,0.031,0.078,0.066
0.865,0.865,0.845,0.845,0.887,0.798,0.733,0.641,0.469,0.469,0.341,0.222,0.177,0.132,-0.014,-0.014,-0.006,0.098,0.098,0.023,0.037,0.063
0.942,0.782,0.782,0.786,0.749,0.749,0.654,0.654,0.575,0.433,0.284,0.198,0.166,0.111,0.111,-0.019,-0.019,-0.006,0.016,0.033,0.079,0.063
0.817,0.817,0.865,0.865,0.883,0.711,0.711,0.639,0.507,0.46,0.309,0.189,0.189,0.116,0.116,-0.014,-0.014,0.007,0.007,0.089,0.03,0.063
0.793,0.793,0.888,0.782,0.782,0.734,0.676,0.59,0.56,0.475,0.282,0.194,0.165,0.115,0.115,-0.019,-0.019,-0.007,0.017,0.035,0.062,0.076
0.947,0.862,0.766,0.766,0.751,0.751,0.709,0.554,0.554,0.354,0.281,0.206,0.161,0.109,0.109,-0.02,-0.02,0.004,0.004,0.085,0.065,0.029
0.881,0.843,0.843,0.761,0.761,0.782,0.681,0.548,0.548,0.557,0.34,0.227,0.17,0.132,-0.014,-0.014,-0.009,0.092,0.092,0.064,0.027,0.039
0.793,0.793,0.926,0.793,0.793,0.766,0.751,0.558,0.558,0.41,0.359,0.212,0.212,0.119,0.119,-0.014,-0.014,0.007,0.007,0.088,0.06,0.039
0.853,0.853,0.82,0.82,0.859,0.738,0.681,0.604,0.514,0.514,0.311,0.206,0.179,-0.012,-0.012,-0.01,0.12,0.12,0.019,0.09,0.038,0.065
0.872,0.872,0.892,0.892,0.799,0.799,0.773,0.643,0.498,0.498,0.368,0.234,0.194,-0.013,-0.013,-0.003,0.137,0.12,0.024,0.036,0.088,0.069
0.846,0.846,0.771,0.771,0.854,0.798,0.798,0.781,0.632,0.488,0.488,0.373,0.26,0.138,0.138,0.087,0.062,0.047,0.005,0.005,-0.01,-0.01
0.849,0.849,0.879,0.829,0.829,0.739,0.739,0.598,0.598,0.45,0.317,0.198,0.198,0.119,0.119,-0.014,-0.014,0.003,0.009,0.088,0.034,0.065
0.806,0.806,0.832,0.832,0.947,0.896,0.837,0.705,0.705,0.612,0.501,0.439,0.22,0.181,0.151,-0.009,-0.009,-0.013,0.093,0.037,0.061,0.061
0.834,0.834,0.874,0.829,0.829,0.739,0.724,0.625,0.507,0.507,0.31,0.194,0.194,0.121,0.121,-0.013,-0.013,-0.002,0.012,0.087,0.035,0.065
