0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.175,0.175,-0.006,-0.006,-0.296,-0.028,-0.028,-0.018,0.023,-0.107,-0.107,0.024,-0.074,-0.307,-0.307,0.016,0.059,0.051,0.134,0.134,0.012,0.012
0.199,0.199,-0.138,-0.138,0.069,-0.182,-0.182,-0.205,0.12,-0.112,-0.112,0.076,-0.111,0.078,0.078,-0.043,-0.059,0.41,0.037,0.037,0.069,0.069
-0.193,-0.193,0.03,0.03,-0.207,0.472,0.472,0.514,-0.105,-0.058,-0.058,0.095,-0.052,0.05,0.05,-0.25,-0.09,0.392,0.093,0.093,-0.036,-0.036
-0.049,-0.049,-0.107,-0.107,-0.387,0.163,0.163,0.179,-0.327,-0.106,-0.106,0.221,0.023,0.128,0.128,0.019,0.191,-0.179,0.284,0.284,0.18,0.18
0.2,0.2,-0.106,-0.106,-0.367,0.259,0.259,0.365,-0.109,0.067,0.067,-0.001,-0.274,-0.203,-0.203,-0.221,-0.012,0.131,0.029,0.029,0.353,0.353
0.406,0.406,-0.385,-0.385,-0.309,0.14,0.14,0.14,-0.059,-0.068,-0.068,0.026,0.269,-0.085,-0.085,-0.133,-0.011,0.05,-0.403,-0.403,0.118,0.118
-0.183,-0.183,0.188,0.188,0.194,-0.004,-0.004,-0.016,0.29,-0.093,-0.093,-0.051,0.195,-0.132,-0.132,-0.341,0.173,0.205,0.449,0.449,0.451,0.451
-0.102,-0.102,0.024,0.024,-0.281,0.092,0.092,0.167,-0.089,-0.166,-0.166,-0.159,0.366,0.067,0.067,-0.077,-0.191,0.118,0.002,0.002,-0.443,-0.443
-0.091,-0.091,0.346,0.346,0.033,-0.068,-0.068,0.078,0.106,0.153,0.153,0.291,-0.085,0.178,0.178,0.033,0.194,-0.135,-0.332,-0.332,-0.26,-0.26
0.211,0.211,-0.111,-0.111,0.008,-0.112,-0.112,0.122,-0.623,-0.277,-0.277,-0.304,-0.13,-0.166,-0.166,-0.211,-0.05,0.103,0.145,0.145,-0.051,-0.051
0.089,0.089,0.048,0.048,0.186,-0.195,-0.195,-0.259,0.086,0.183,0.183,0.14,-0.118,-0.092,-0.092,-0.645,-0.334,0.509,-0.053,-0.053,-0.037,-0.037
0.087,0.087,0.002,0.002,-0.141,-0.029,-0.029,-0.091,-0.276,0.028,0.028,0.025,0.123,0.413,0.413,0.097,-0.186,0.28,-0.032,-0.032,0.237,0.237
-0.085,-0.085,0.164,0.164,0.076,-0.032,-0.032,-0.013,-0.308,-0.436,-0.436,-0.002,0.081,-0.017,-0.017,-0.03,0.112,-0.099,-0.168,-0.168,0.176,0.176
0.005,0.005,0.168,0.168,0.232,-0.027,-0.027,0.073,0.193,-0.203,-0.203,-0.236,-0.025,0.244,0.244,0.147,0.009,0.064,-0.007,-0.007,0.17,0.17
0.019,0.019,-0.097,-0.097,-0.237,0.212,0.212,0.153,0.171,0.068,0.068,0.293,-0.601,-0.316,-0.316,-0.082,0.114,0.322,-0.232,-0.232,0.095,0.095
0.261,0.261,-0.254,-0.254,-0.145,-0.002,-0.002,-0.082,0.054,-0.284,-0.284,0.414,-0.362,0.227,0.227,0.076,0.054,-0.054,0.112,0.112,-0.237,-0.237
-0.083,-0.083,0.13,0.13,0.356,-0.081,-0.081,-0.054,-0.194,0.093,0.093,0.258,-0.029,-0.238,-0.238,-0.101,-0.154,0.047,0.116,0.116,0.032,0.032
0.302,0.302,-0.148,-0.148,-0.004,0.015,0.015,-0.178,0.002,-0.047,-0.047,-0.331,0.069,-0.26,-0.26,0.087,0.465,-0.068,0.058,0.058,-0.164,-0.164
0.238,0.238,0.076,0.076,-0.088,0.411,0.411,0.394,0.236,-0.029,-0.029,0.188,-0.194,0.125,0.125,-0.134,-0.49,-0.01,0.097,0.097,-0.087,-0.087
0.1,0.1,0.084,0.084,-0.024,0.068,0.068,0.173,0.068,0.335,0.335,0.323,0.244,0.067,0.067,0.193,0.153,0.052,0.372,0.372,0.132,0.132
-0.114,-0.114,0.174,0.174,0.024,-0.156,-0.156,-0.104,-0.089,-0.084,-0.084,0.104,-0.042,-0.269,-0.269,-0.109,-0.232,0.258,-0.031,-0.031,0.077,0.077
-0.13,-0.13,0.241,0.241,0.2,0.225,0.225,0.343,-0.085,0.03,0.03,0.264,0.047,-0.025,-0.025,0.394,0.332,-0.07,-0.191,-0.191,-0.193,-0.193
