0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-0.016,0.112,0.112,-0.11,-0.11,0.039,-0.148,-0.067,-0.021,-0.137,0.236,-0.099,-0.099,-0.01,-0.01,-0.275,-0.275,-0.025,-0.155,-0.157,0.041,-0.125
-0.253,-0.159,-0.159,-0.115,-0.115,-0.13,0.161,0.422,0.32,0.109,0.17,0.008,0.008,0.053,0.053,-0.036,-0.036,-0.315,-0.108,-0.02,-0.188,0.296
0.14,-0.112,-0.112,-0.342,-0.342,-0.248,0.347,-0.214,-0.301,-0.195,0.226,0.062,0.062,0.311,0.311,0.141,0.141,0.157,0.027,0.292,-0.087,0.263
-0.027,-0.136,-0.136,-0.319,-0.319,-0.201,0.145,0.281,0.117,0.135,-0.211,0.327,0.327,0.085,0.085,-0.076,-0.076,0.078,-0.173,-0.236,-0.029,-0.11
-0.16,0.323,0.323,0.187,0.187,0.141,-0.146,0.243,0.398,0.304,-0.268,-0.218,-0.218,0.132,0.132,0.105,0.105,0.48,0.449,-0.056,0.285,0.116
0.041,-0.037,-0.037,0.057,0.057,0.005,0.07,0.072,-0.008,0.033,0.018,0.207,0.207,-0.07,-0.07,0.027,0.027,-0.238,0.343,-0.275,-0.004,0.239
-0.098,-0.026,-0.026,0.142,0.142,0.247,-0.202,-0.1,-0.014,-0.062,0.211,-0.173,-0.173,0.304,0.304,0.383,0.383,0.111,0.109,-0.344,0.292,0.024
-0.258,0.013,0.013,-0.18,-0.18,-0.168,0.066,-0.33,-0.448,-0.408,-0.019,-0.344,-0.344,0.12,0.12,0.123,0.123,-0.177,0.215,-0.321,0.037,0.237
-0.16,-0.087,-0.087,0.229,0.229,-0.026,-0.001,0.186,0.165,0.316,-0.356,-0.128,-0.128,0.067,0.067,-0.148,-0.148,-0.22,0.01,0.006,-0.065,-0.013
-0.055,0.015,0.015,0.1,0.1,0.087,-0.096,-0.249,-0.24,-0.249,-0.029,0.307,0.307,0.019,0.019,-0.408,-0.408,-0.241,-0.115,0.289,0.247,0.176
0.407,0.01,0.01,0.208,0.208,0.184,0.021,-0.12,-0.129,-0.37,0.253,-0.102,-0.102,-0.02,-0.02,-0.073,-0.073,-0.015,0.102,-0.173,0.012,0.142
0.038,0.436,0.436,0.251,0.251,0.378,-0.234,-0.258,-0.108,0.038,0.078,0.066,0.066,-0.182,-0.182,-0.347,-0.347,-0.184,-0.307,-0.124,0.073,0.229
-0.218,-0.219,-0.219,0.115,0.115,0.234,-0.332,-0.298,0.154,0.231,0.15,0.164,0.164,-0.239,-0.239,-0.109,-0.109,0.099,0.269,-0.0,0.063,0.086
-0.178,-0.044,-0.044,0.082,0.082,0.153,-0.043,-0.393,-0.199,-0.051,-0.284,-0.314,-0.314,0.185,0.185,-0.061,-0.061,-0.046,0.152,-0.067,0.018,-0.198
-0.047,-0.151,-0.151,-0.067,-0.067,-0.138,0.11,0.099,0.167,0.088,-0.057,0.047,0.047,0.258,0.258,-0.123,-0.123,-0.118,0.242,-0.103,0.716,0.459
-0.323,-0.035,-0.035,-0.095,-0.095,-0.294,0.356,-0.037,-0.403,-0.348,0.174,-0.077,-0.077,-0.08,-0.08,0.012,0.012,0.268,0.172,0.342,0.248,0.113
0.231,-0.249,-0.249,-0.087,-0.087,-0.006,0.033,0.175,-0.11,-0.143,0.115,-0.249,-0.249,-0.014,-0.014,-0.283,-0.283,0.177,0.154,-0.099,0.229,-0.03
0.085,-0.036,-0.036,-0.241,-0.241,-0.345,0.191,-0.141,-0.072,0.193,0.098,-0.152,-0.152,0.011,0.011,-0.089,-0.089,-0.041,0.031,-0.271,0.119,-0.027
-0.179,0.176,0.176,0.367,0.367,0.19,-0.199,-0.071,0.018,-0.045,0.468,0.384,0.384,0.351,0.351,0.166,0.166,0.06,-0.236,-0.299,-0.248,-0.218
-0.067,-0.239,-0.239,-0.044,-0.044,-0.17,0.198,-0.048,-0.107,-0.067,-0.294,-0.109,-0.109,0.076,0.076,0.268,0.268,0.491,-0.383,-0.021,0.06,0.199
-0.528,-0.177,-0.177,-0.127,-0.127,-0.461,0.52,-0.0,-0.185,-0.312,0.171,0.039,0.039,-0.218,-0.218,-0.267,-0.267,-0.06,-0.165,-0.169,0.001,-0.36
-0.233,0.008,0.008,0.122,0.122,0.071,-0.192,-0.138,0.056,0.059,0.101,-0.088,-0.088,-0.022,-0.022,-0.025,-0.025,0.134,0.03,0.268,-0.079,0.31
