0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.871,0.871,0.867,0.804,0.804,0.761,0.761,0.657,0.515,0.452,0.331,0.242,0.138,0.106,-0.029,-0.011,-0.011,0.005,0.074,0.052,0.034,0.034
0.874,0.874,0.838,0.838,0.782,0.759,0.759,0.582,0.525,0.382,0.326,0.238,0.133,0.104,-0.03,-0.015,-0.006,0.004,0.066,0.049,0.034,0.034
0.9,0.809,0.809,0.783,0.783,0.763,0.608,0.608,0.573,0.408,0.292,0.212,0.13,0.094,-0.03,-0.02,-0.005,0.005,0.032,0.032,0.04,0.073
0.903,0.788,0.788,0.845,0.807,0.807,0.693,0.563,0.563,0.51,0.295,0.226,0.14,0.082,0.082,-0.034,-0.012,-0.012,0.006,0.021,0.036,0.036
0.85,0.85,0.848,0.848,0.866,0.775,0.696,0.658,0.515,0.515,0.303,0.23,0.137,0.096,0.08,-0.029,-0.018,-0.005,0.006,0.033,0.033,0.042
0.859,0.859,0.879,0.823,0.772,0.772,0.751,0.51,0.51,0.338,0.295,0.23,0.128,0.097,-0.032,-0.019,-0.004,-0.0,0.054,0.054,0.03,0.03
0.872,0.872,0.86,0.86,0.874,0.788,0.726,0.649,0.516,0.516,0.297,0.233,0.141,0.091,0.083,-0.03,-0.018,-0.005,0.006,0.044,0.034,0.034
0.815,0.815,0.88,0.838,0.838,0.797,0.735,0.599,0.554,0.554,0.296,0.23,0.143,0.084,0.084,-0.031,-0.012,-0.012,0.005,0.037,0.037,0.027
0.862,0.862,0.88,0.847,0.847,0.803,0.737,0.666,0.508,0.508,0.302,0.228,0.141,0.093,0.083,-0.03,-0.018,-0.005,0.006,0.034,0.034,0.041
0.967,0.794,0.794,0.863,0.863,0.733,0.733,0.771,0.675,0.614,0.424,0.424,0.265,0.143,0.138,-0.024,-0.024,0.077,0.051,0.046,0.027,-0.002
0.797,0.797,0.87,0.795,0.795,0.748,0.667,0.631,0.538,0.538,0.286,0.226,0.141,0.083,0.083,-0.033,-0.018,-0.008,0.007,0.035,0.035,0.026
0.827,0.827,0.874,0.874,0.848,0.698,0.698,0.664,0.487,0.487,0.282,0.22,0.137,0.093,-0.031,-0.022,0.07,-0.0,0.004,0.045,0.032,0.032
0.857,0.857,0.876,0.876,0.867,0.752,0.705,0.705,0.515,0.515,0.296,0.228,0.142,0.093,-0.03,0.08,-0.018,-0.004,0.005,0.035,0.036,0.036
0.927,0.846,0.846,0.835,0.835,0.815,0.665,0.665,0.487,0.487,0.303,0.215,0.141,-0.03,-0.021,-0.003,0.003,0.033,0.033,0.04,0.093,0.075
